820849,fishdawg,2013-11-28 02:50:00,912, And that's why I wasn't smiling Brian  most enjoyable icefishing Skunk ive had was that day...
820026,lew,2013-11-24 19:05:00,12766,It was -40 that morning. We got skunked chasing perch too.  And that's why I wasn't smiling Brian
820028,Skud,2013-11-24 19:08:00,739,Here is one for you Brian.   
820031,misfish,2013-11-24 19:13:00,29133,"That was the dream team. Pike out of 60 fow,lakers caught jigging 45 degrees from the hole.LOL  Thanks for that memory.   Do you have the one where you made a cast and snapped the tip of my rod? LOL  That was a few years ago."
820033,misfish,2013-11-24 19:22:00,29133,"As for your boot question,I have gone with the baffens for my winter boot. I have two pairs of hunting boots.  Non steel toe. 3rd year and nothing but praise about them. Toasty.  http://www.baffin.com/product-p/23550000.htm  Those that say they have had good Irish setter. You must be the lucky ones. I have nothing good to say about them.  Rocky boots are total crap since they are now made in China.  The ones I have are Wolverines. Nice and dry,and I bought them a size up so I can wear a heavy wool sock."
820036,Skud,2013-11-24 19:31:00,739,  Thanks for that memory.   Do you have the one where you made a cast and snapped the tip of my rod? LOL   I had forgotten about that move. It is up there with hitting Team Empty Pockets in the back two casts in a row with a 5 once musky lure with 3 treble hooks. Some of my many embarrassing moments I'd like to forget about. LOL
820037,misfish,2013-11-24 19:33:00,29133,You and your over kill baits.LMAO
820115,Rod Caster,2013-11-25 02:02:00,5784,"for the blind or standing on ice for long periods of time, check out the Cabela's Saskatchewan boots, and they come in camo. I've used them hard for 5 years and still on the original liners, water and scent proof. I bought spares incase they discontinue them.  They are not great for walking because they are so tall..."
820122,Skud,2013-11-25 02:37:00,739,"for the blind or standing on ice for long periods of time, check out the Cabela's Saskatchewan boots, and they come in camo. I've used them hard for 5 years and still on the original liners, water and scent proof. I bought spares incase they discontinue them.  They are not great for walking because they are so tall...  I just checked them out. Very much praised. They may just end up being my deep cold boots."
820212,doubleheader,2013-11-25 18:56:00,497,"My circulation isn't what it once was so a few years ago I searched for a great cold weather pac hunting boot. One that would allow me to still hunt but keep my feet warm on stand. i settled on the Schnee's Hunter II pac boot and I've been very satisified. This boot is totally waterproof yet to be safe one should apply thread sealer. Additionally one should buy 1 full size larger than their shoe size. When I bought mine I ordered 13's, I applied the thread sealer, and subsequently after my 1st hunt realized they were just a little small. The company sent me brand new boots at no charge. The boots carry a lfetime guarantee on workmanship and if you wear out the soles you can send the in to be re-soled. The only thing I would recommened is that you use a pitch type sealer to cover the leather smell which out of the box is pretty bad, but after application and time is a non-issue. The boots are amazingly comfortable, like wearing a sneaker. For me this is the ultimate hunting boot, and you can buy and you can but camo hunting gaiters from Kenetrek, who make a very similar boot for a few less bucks. httphttp://www.kenetrek.com/products.asp?dept=13 "
820804,misfish,2013-11-27 21:03:00,29133,Came accross something you might be interested in Doug.  http://www.lacrossefootwear.com/performance/hunt/aerohead
