1266741,Paul H,2011-01-31 14:29:00,1232,Actually they do - but it's Mexican pot farms and meth. labs. - and this is really no joke -
534656,Guest,2003-08-27 09:38:00,0,"#1 -Everybody in the first several responses is assuming the poster is a US citizen.(Personally, I don't think so) #2- This looks like a classic ""trolling"" pattern..and it is getting many bites. When a post appears this dumb..somebody usually has their tongue in their cheek."
534657,Guest,2003-08-27 09:51:00,0,From what I have seen down there you could doit and no one would say a thing. It would probably improve the area.
534658,Guest,2003-08-27 09:57:00,0,As I have fished the lac saul area in a number of different places i have abandoned shacks and little places that look like they have been there for a lot longer than the 20 years I was going there. someone built them and they have not been torn down.
534661,Guest,2003-08-27 12:00:00,0,"I definitely was trolling for opinions and the question was a little out there, but I can verify that it was a serious inquiry. To clarify, we are avid fisherman, having gone to Ontario over 30 times in the last 15 years. We are not cheap. This year our group plopped down over $5K canadian on various fly-in trips. We are adventurous (many of our trips have been exploratory drive-ins checking out new lakes). We are not hillbillies, I run a consulting firm and two of my buddies include a physician and a lawyer. Also to clarify, our great lake is pike only. We wouldn't dream of such an undertaking on a walleye lake mainly because you would never find one all to yourself. This lake, however, is 40 minutes from the nearest town and a half mile from the nearest maintained logging road. We occasionally clear the old logging path to the lake with hand tools. This itself may not be within the regs, but I have been told by many that it is common and generally ok so long as its not abusive or in a park. We found it nine years ago. Many of us, including our kids and/or our parents have caught their largest pike here. We have taken only two out to eat that I recall. We don't want to rape and pillage the country side, just dreamin about how nice it would be to have a little shack by ""our"" lake. Thanks for the replies."
534709,Guest,2003-08-29 14:58:00,0,"Sorry for the assumption. But being that question was legit and all, I can understand better why some Canadians think badly of American fishermen. How'd you like it if some foreigners did that in the States on US Forest Service land?"
534712,Guest,2003-08-30 06:17:00,0,Those might be Trappers Cabins you see and it would have needed a Trappers Cabin Permit or old fly in lodge cabins no longer in use.
534621,Guest,2003-08-25 14:28:00,0,"My buddies and I have identified a decent fishing lake on crown land in Northern Ontario. We enjoy camping along this lake, but recently got to thinking how nice it would be to have a permanent structure. We figure we could throw up something for a few thousand dollars and a weekends work. Problem is we would have no permit or other authorization for such an undertaking. Does anyone know the potential legal trouble a person could get into building a small structure on crown land without a permit. We are from Ohio and not Ontario if that matters."
534623,Guest,2003-08-25 15:11:00,0,In the land of lakes and regulations I cannot imagine anyone being allowed to build a structure on Crown Land without permission. US citizens can't even camp in the boonies without a daily permit. I would check with the local district officials. There is land on some pretty good lakes for sale. The futher north you go the cheaper it gets. TGG
534624,Trailerguy,2003-08-25 16:34:00,1407,[font color=green size=3][b]Unless you are a native american from one of the local reserves you can't put any structure on crown land. A couple of years ago I read about some guys that built a cabin on crown land and bribed a native to say it was his. When the dust settled they were each fined heavily and the cabin was removed at their expense. The MNR enforces the rules zealously.
534629,hoosiercanadian,2003-08-25 20:28:00,104,"You will be throwing your money away, the structure will be ultimately torn down and removed. You could pool your money together and purchase a cottage on a legal Crown Land Lease Permit in Northwestern Manitoba for just a few thousand more, and have better fishing ."
534635,Guest,2003-08-26 06:15:00,0,Would it be OK if I build a shack on the beach at Key West this winter? Then I won't have to pay anything to visit your country either. ;)
534640,Guest,2003-08-26 08:18:00,0,"They have lots of ""rules & regulations"" in Ontario because of these dumb and dumber ideas that come up from time to time. I'm from Canada but like open water fishing, so I think I'll head down to the Mississippi this winter, find a nice walleye/sauger pool & maybe put up just a wee little shack along the shore....just so I don't have to go too far for the good fishing! I'm still laughing!!"
534642,Guest,2003-08-26 09:02:00,0,Great Guide: Would you happen to know the website link to take a peek at some of these lots for sale? Thanks!
534643,Guest,2003-08-26 10:06:00,0,"Thats the dumbest question Ive ever heard. If you decide to build one, make sure its near my area because I do report every permanent structure (on Crown Land) I encounter to the MNR (License plates too)!!!!!!!!!!!!!!"
534644,Guest,2003-08-26 10:41:00,0,http://www.rainylakerealty.com/ Contact Rainy Lake Realty. I believe that they can find property all over Ontario. TGG
534645,Guest,2003-08-26 11:33:00,0,Thanks Guide!
