508688,eelpout,2000-06-28 06:53:00,1,"I'm with you treble. If you've never fished on acid, you've never really fished!"
508680,Guest,2000-06-23 07:24:00,0,"A houseboat is considered your residence if you have a galley, you can drink all you want while at anchor, otherwise the rules of the road apply as far as drinking and driving are concerened, you can have booze on board but not within reach of the driver."
508658,Guest,2000-06-22 06:46:00,0,"What is the actual Ontario ruling on alchohol in the boat? My group enjoys a couple of beers with our shore lunch but we've had Ontario DNR officers inform us during license checks that if the OPP had stopped us we would be arrested for the empties in our boat. We police our shorelunch site pretty thoroughly and would never leave the cans or sink them as some have suggested. Do we just need to keep them out of sight or give it up altogether? If someone is obviously drunk and operating a boat erratically, bust 'em. But a couple with lunch? What do you think? We fish the Winnipeg river area north of Kenora."
508659,acp,2000-06-22 07:09:00,156,Alcoholic beverages are not allowed in a boat whether they be open or closed.Later....Al
508660,Guest,2000-06-22 09:55:00,0,"The law states that you can't have ""booze"" other than your residence, if your camping overnight then that is considered your residence, a fishing boat or a shore is not.Myself I feel here in Ont. we are becoming a ""Police State"" more and more all the time and I agree with you that a couple of ""brown pop"" with shore lunch does no one any harm, But don't let the O.P.P. catch you or be prepared to shell out some cash for fines.By the way, what is the law in your state re: Beer with shore lunch?"
508661,Guest,2000-06-22 10:02:00,0,"In Minnesota where I'm from, there is no law against alchohol in the boat but if your'e pulled over and test legally drunk you will be treated as if you are in your vehicle on the road. Jail, fines and all the rest. I have no problem with that."
508665,Jim,2000-06-22 11:03:00,238,"Can't you f*¢kîn contain yourselves??? If u are gonna get your self drunk, do it at hoe where you won't harm others driving your boat! I have no problem with drinking, but do it at home, and not when you are driving to the lake or on the lake!!!Have a designated driver 4 your shore lunch, or maybe drink some pop or something!Good fishing!JIM"
508666,Guest,2000-06-22 11:14:00,0,"Hey Jim, we're talkin' about a couple of beers with lunch, not a binge as you infer. We would rather fish than drink anyway."
508667,Guest,2000-06-22 11:25:00,0,"Jim, you need to calm down. Maybe you need a beer or something...Nice language by the way!"
508668,Jim,2000-06-22 14:20:00,238,"Doesn't matter, save the beer for back at the camp site. And yes, you say i need to lighten up, tell that to the people at the emergency room that you hit with your boat while driving intoxicated...drinkin and drivin don't mix buddy!Jim"
508672,Guest,2000-06-22 14:31:00,0,How does this law apply to Houseboats? Anyone know?
508669,Guest,2000-06-22 15:28:00,0,"Easy jim. EEEEasy does it now. I do agree with you though, cause after 1 beer with a shore lunch, I am just HAMMERED!"
