728325,spincast,2012-09-08 11:57:00,3279,that is just shameful and such a waste. too bad they didnt get a shot of the  responsible
728406,Snidley,2012-09-08 20:37:00,620,"Fish and Game rules must take into consideration the entire public not just the ones that modify their behavior so as to minimize the impact of their harvest on their local fish. If it's legal to fish with bait eggs then it will follow that massive damage will be done to harvest those eggs.  Be it poachers that slash hens (and being complete j#$k offs some males as well) or be it a bias for keeping females for the table because of the ""bonus"" eggs, or egg trips to the USA where they use proper management to supply abundance, OR to bag up the refuse eggs that idiots leave behind at the cleaning station for ""table salmon"". Salmon that are toxic unless under 20 inches but are consumed anyway because they are derby fish or the result of a large expenditure for a charter (and also don't offer even a passing resemblance to a Pacific Chinnook or Coho let alone Steelhead as far as taste in concerned. Bottom line you have to manage for abundance and conserve the resource or it will not do as well as it could. Roe ban is a great start but derby angling must also be either curtailed or, even better, made to pay for heavy stocking to replace the fish, mostly trophy fish, that their little profit center slaughters. Just like lumber companies paying stump-age AND being required to replant what they have logged. Incorporate a salmon/steelhead tag, that you pay extra for and limits ANNUAL catch and you have the beginnings of a managed resource that maximizes the potential of that resource. In other words manage these fish like they do where these fish come from. It is not hard except that leadership interests have to stand up to the roe crowd AND the cash trollers of all stripes.  Bass guys have gone a long way to establish that Bass are for fun not for food, Muskie guys virtually all save the fish at all costs, (even the stocked ones). To manage top of the food chain fish like Steelhead or Salmon you need to pull out all of the tools in the kit or spend massively to really do well and I vote for both but would settle for either one. Currently in Ontario we do neither and this month we get to see the results of the roe crowd and what they spawn first hand on all salmon rivers in Ontario."
728407,spinnerdoc,2012-09-08 20:42:00,556,"Better yet, buy them, can't imagine how much roe would one need. Stocked or not they gotta do their thing. That being said I got no problem with guys who do it responsibly and the rightway"
728411,Fisherman,2012-09-08 21:20:00,7201,Rumour has it CTV channel 5 Barrie may have a short video on the news at 6 pm this evening.
728414,davey buoy,2012-09-08 21:27:00,5505," I'm ready!,remote in hand!lol.Can't remember the young reporting lady from Barrie CTV.She was at a"" river"" recently asking about mosquito activity. Never saw the episode she was taping for. Was to be aired the same day on the evening news."
728418,Musky or Specks,2012-09-08 22:06:00,2710,"I, for one, am all for a roe ban. Also vote for specific fish tags similar to atlantic salmon."
728419,12footspringbok,2012-09-08 22:11:00,459, Guess the footage Roger took of me fighting a fish would have been too much for the general public...LOL
728427,misfish,2012-09-08 23:11:00,29133,"They showed some young fella holding a fish,and talking about how the water went up at around 3am,then stabild at 8 am,and the bite was on.  I was at the wrong bar.LOL"
728429,kemper,2012-09-08 23:20:00,2232," I watched someone shank a handsome brown, pushing 10 lbs. It immediately got the double gill grab and was tossed into the dirt. Of course I was the idiot when I mentioned it needed to go back in the water...  I had watched this fish swim past my feet about 2 minutes earlier and thought too bad, you'll never make it past the barbarians upstream."
728443,rocheleauc,2012-09-09 00:23:00,205," Damn that's unfortunate.  I understand it's in their legal right to keep the fish, but why a big brown like that..."
728444,kemper,2012-09-09 00:24:00,2232,"The fish did go back, but after the double gill hold it was bleeding badly and certainly went belly up"
728445,kemper,2012-09-09 00:25:00,2232,"Also, nothing legal about snagging a fish and keeping it. Had it been legally hooked I would not have said anything."
728446,rocheleauc,2012-09-09 00:27:00,205, Even worse than keeping it.  What a waste.  Personally I won't gill a fish unless I'm certain I'm keeping it.  Only if they understood that catch and release only works if the fish is handled with care  Ah...by shank I thought you meant he cut it open.  I stand corrected.
727769,Aangler,2012-09-06 15:38:00,2,Are there sections of the Notty that are not mud bottom and get a bit clearer?
727770,Spiel,2012-09-06 15:40:00,9065,Yes.
727772,GreenCanada,2012-09-06 16:06:00,375,"Oh yea, there are a bunch if you know where to look!  If you come across any good spots while you're out doing some reconnaissance, be sure to keep them close to your chest. You don't want people finding out or you might lose a prime area to fish!  Best way to find them is by trial and error!  "
727827,davey buoy,2012-09-06 19:02:00,5505,"Please don't report good fishing areas. The river get's a pounding enough now as it is. As previously mentioned,trial and error. Do your leg work and you will be rewarded. We all started that way. Good luck!!!Remember the river is long!"
727830,gregsalmon,2012-09-06 19:06:00,14,Hi there any advice on gear and tackle i use roe and floats and bottom bounce and have landed some loose most but love it what about (borax)
727832,northernpike56,2012-09-06 19:08:00,717,No clue but I'd love to hear about this 'borax cure' everybody talks about for their eggs.
727833,davey buoy,2012-09-06 19:09:00,5505, Your on the right track:clapping:
727871,alexmedic,2012-09-06 20:13:00,186,Lotsa.  But then again I do have 200 acres of private access
727873,gregsalmon,2012-09-06 20:14:00,14,Yes me two but good luck finding boraxxive looked for it for long time and cant find it
727875,gregsalmon,2012-09-06 20:16:00,14,Love to go fishing with u on your property lol
727876,davey buoy,2012-09-06 20:16:00,5505, Wanna share? .lol.
727877,gregsalmon,2012-09-06 20:17:00,14,What pound line i use 8lbs florcarbone with tipet is it good enough
727883,misfish,2012-09-06 20:32:00,29133," Your not looking hard enough. Lots of places to buy it. Local Zhers/Sobeys ,carry it. Even Wal-Mart."
727887,gregsalmon,2012-09-06 20:43:00,14,Thanks misfish for the info man
727912,misfish,2012-09-06 21:46:00,29133," When your looking for it,look for an old style marketing box."
727928,12footspringbok,2012-09-06 22:27:00,459,    
727931,misfish,2012-09-06 22:38:00,29133,"  I only use it, with skeen chunks."
727968,gregsalmon,2012-09-07 00:23:00,14,Your the man misfish the man will do
728009,BillM,2012-09-07 01:57:00,17367,Best skein I've ever used is right out of a Port Hope chinny caught 5 mins before.
728056,kemper,2012-09-07 04:16:00,2232," Up to your old  tricks again eh Bill  You should see the slaughter, worse than I've ever seen."
728070,misfish,2012-09-07 09:33:00,29133,"  I heard the same thing. The fish don,t stand a chance there this year."
728089,BillM,2012-09-07 11:42:00,17367, I can't even imagine dude.. I think I'll stick to bass/pike/walleye for now.  Seeing crap like that just gets me pissed off.
728153,FrankTheRabbit,2012-09-07 15:38:00,479,"Don't think it compares to Bronte last year or the usual spots on Willy. Saw quite a few fish that die on the banks, but not gutted. Either improper release or they just died from the warm waters.  Saw this one headless carcass on the banks, but a square shaped chunk was cut out, but put back in place. Any idea what that's about? I've never seen or heard...the best that I could come up with maybe MNR doing a sample of the fish?"
728323,MJL,2012-09-08 11:35:00,2427, You know it's bad when the male chinnies get slit and left to rot
728324,rocheleauc,2012-09-08 11:46:00,205," Saw a whole pile of them the other day.  1 female slit, in a pile of 5 males that were also slit..  What a shame..  This picture was posted on facebook by someone yesterday too..    Disgusting..."
