561746,44prov,2006-10-26 13:55:00,14,Slim maybe we can play for $25.00 a lb how did you make out with you bet
561718,Mike M (Sask),2006-10-24 10:26:00,374,Hi Slim Here is a link to the Saskatchewan Walleye Trail. There is lots of good information including their scoring system. One thing I would question is limiting Hp to 150. I don't know about there but around here there is a ton of rigs running over that. Hope the link helps.http://www.saskwalleyetrail.ca./
561723,Guest,2006-10-24 19:09:00,0,"Hi Slim , Look at Yamaha & A Local boat company like MistyRiver ( I think it's Harv Basler ) Or Ronds is getting Crestliner back ? You can tried Coke , Pepsi or Molsons ?"
561724,skeeterslim,2006-10-24 19:37:00,14,"Hi guys, again, thanks for all the info and emails.... there is definetly alot of interest out there on these tournaments. I kinda looked up a few dates.. take a look, I want to make sure we are not on the weekend of another tournament. May 19 and 20th/07, September 15 and 16th/07 and the final would be October 13 and 14th/07. Also, I have got a few poeple who emailed me with their numbers who would like to get involved. If you would like to be on the board, or volunteer, please email me your name and number.[email protected] thanks for now, Slim"
561726,Chad,2006-10-24 21:04:00,3523,Why not have it on the Red in September? Looks like the First and Third weekend in Oct I have to fish Selkirk and the Second Weekend I have to fish Pine Falls to avoid the October Tourneys. I know some guys have started heading up to Lake of the Woods and Nipawan to avoid the tourney traffic in the fall. ChadM
561729,manitobawalleye,2006-10-25 06:04:00,885,"probabaly the same reason you come up in october instead of september manitoba .... a 100,000 lakes how many walleyes ???? i will never have enough time...."
561731,Guest,2006-10-25 09:59:00,0,"Sounds like a decent idea. However, why not try to incorporate the Lake of the Prairies tourney instead of competing? Don't forget there is an Angler and Young Angler Tournament at Lac Du Bonnet in June, day before fathers day. I have a lot of experience helping put together tournaments. If you need some assistance let me know through this forum. This idea will need a lot of hard work."
561699,skeeterslim,2006-10-23 19:06:00,14,"Hi guys, i am looking for some ideas and suggestions about starting up the Manitoba Walleye Trail. Here is what I am thinking... 3 tournaments, Lake of the Prairies on May long weekend, Lake of the Woods or Lac du Bonnet in either late June or early July and the Red River in Selkirk in October.. the weekend after Kim's Pine Falls tournament. (BBBRRRRRRR) All Tournaments would be two day tournaments with a meal and a $350 dollars per tounament or $1000.00 if a team signs up for all 3. 150 boat cap. All 3 tounaments would be 100 per cent payout minus the advertising, meals, some prizes & any cost we would inccur putting on the tournaments. I also need help or ideas oh how we could calculate points and the team with the best points of course get some cash after the last tournament. We also would be looking at sponsors for these events and a whack of volenteers at each place as well places to hold the meetings and have the suppers. As for the suppers, I am thinking of Craig Walker to bbq a pig and put on the spread. Any ideas of what you guys think of this would be greatly appreciated. Please reply on here or email me at [email protected] Thanks for now... Slim :)"
561700,Guest,2006-10-23 20:38:00,0,Great idea I'm in. Early season and late season perfect. The middle of the summer is best spent with the family anyway.
561701,manitobawalleye,2006-10-23 20:44:00,885,"i like your idea a couple of things to consider i am sure you know when lop's current 1 is i would stay away from long weekends fisheries will not give you a permit in july so it would have to be june lacdubonnet and the cottage association has 1 3rd weekend in june july on woods would be great the red 1 is good but your slot would be 2nd weekend in oct or next weekend which as you say will be brr.... or you could do lop lacdu lotw and a championship for top 25 teams figuring out a points system would be easy you would probably have next to zero chance at walkups if your tourney is this weekend also i would be watching to see if fisheries changes the red regs to zero fish over 22"" which would make your red tourney a tough sell the walleye anglers association of manitoba has spoken out against this change and how it affects tournies but have not been informed if they are considering our voice also try not to schedule against the ontario ones if you can help it re..dryden...2 minaki...red lake etc one other thing you could consider is amalgamating 1 with minakis ie...making it a tourney stop that counts points to the championship email me at [email protected] if you would like to discuss further is that your purple and yellow skeeter? manitoba .... a 100,000 lakes how many walleyes ???? i will never have enough time...."
561702,skeeterslim,2006-10-23 20:55:00,14,"That is one thing i want to watch for sure is not to have a tournament on the same weekend as existings tournaments, it would defeat the purpose. I hope as well the new law they are trying to pass, does not pass for the Red River and Winnipeg River system. Thanks for the info.. yes, it is my purple and yellow skeeter. Slim"
561705,Guest,2006-10-23 21:46:00,0,What about Dauphin Lake in the Spring ?
561706,manitobawalleye,2006-10-23 22:00:00,885,"dauphin lake would be interesting what is the slot? saw you and your skeeter at the voyaguer tourney don't think we've ever met though danny61 was there also manitoba .... a 100,000 lakes how many walleyes ???? i will never have enough time...."
561708,Guest,2006-10-23 22:31:00,0,The slot is the same as Lake Of the Prairies
561709,Guest,2006-10-23 22:32:00,0,What about Falcon lake for spring time ?
561710,Guest,2006-10-23 23:26:00,0,"I think falcon lake would be to small a lake to host a hundred boat walleye tourney, I dont think tthe cottagers would be very happy about it either. But I would suggest a place like Hecla. Big restort community good fishing, mabye even good community support. Also one thing to consider is sponsorship. Without a good business plan you won't get sponsors. You'll need an itinerary and a well laid out structure to your tourney's. Volunteers must have an interest in seeing the tourney return every year thats why its important to have community support."
561711,Guest,2006-10-24 01:01:00,0,Hey Slim I was the volunteer at the dock that complimented your Skeeter at the Red River Walleye Challenge.You have a fine idea.The Red and Dauphin Rivers in the fall can be a go if you dress for the weather.How about Pointe du Bois or Pinawa as a second location(May or June)?.If you need help I can be reached through the Canadian Esox Association or the Walleye Anglers Association of Manitoba (WAAM). Glen
