303501,Dondorfish,2009-02-08 23:35:00,1000,   That'll be just about enough outa you Mike! - lol How ya been - haven't seen ya around much?  Don
303012,pike slayer,2009-02-07 23:43:00,1177,k definitly seized it right up and more then likely the top end. the question is how bad the cylinders are. if they arent in bad conidtion and just need to be honed then you need a piston kit. you can get full kits on ebay for $89 or though the dealer for $300ish. if the cylinders arent bad then it should be 2-3hours shop time. if you got a mangled cylinder then its gonna cost you alot unless you can find a used one. good luck!
303013,skeeter,2009-02-07 23:46:00,1907,thanks for the help pike slayer!!!!
303085,Bernie,2009-02-08 02:06:00,3190,More than likely a piston has seized. But why did it happen? These engines are quite durable. There is usually a cause to the problem. Most of the time it is because of a lean condition from a restricted jet in a carburator or a bad seal in the crankcase. See this happen often where guys come in buy the parts and get thier buddy to fix them up but they don't fix the real issue. Then they blame the machine
303089,irishfield,2009-02-08 02:14:00,26272,.. or is your oil reservour still FULL ? ie engine running on straight gas and oil injection failed. I'm real curious as to the cause since I'm driving the exact same sled in a 98 model.
303099,Bernie,2009-02-08 02:23:00,3190,"Lack of oil is a real possibility Wayne, but conditions today would call for a lot more throttle in slush and heavy snow and that's where lean carbs blow pistons. I had mine out on the lake today too and had it pinned to the bar several times. That's why I suggested that is the ""likely"" cause. It was more for a heads up to fix the cause as well as the symptom for anyone when fixing up any kind of engine."
303128,skeeter,2009-02-08 02:56:00,1907,oil tank is just under the half way mark
303135,skeeter,2009-02-08 03:03:00,1907,"someone suggested that slush might have gotten into the engine, and to take out the plugs and try to pull it over and see if water comes out.... is this a possibility???"
303137,Bernie,2009-02-08 03:10:00,3190,No it wouldn't. The only way is if it was submerged.
303141,skeeter,2009-02-08 03:13:00,1907,thanks bernie. any idea how much to get it rebuilt? and where?
303145,Bernie,2009-02-08 03:20:00,3190,Don't know too many shops down your way Skeeter. Perhaps some other OFC'ers could suggest a local for you. As far as an estimate goes it will depend a lot on what needs to be replaced. And you won't know for sure until it comes apart.
303196,2 tone z71,2009-02-08 04:38:00,1311,"would  it turn over once it cooled off,tell ya powering thru that slush is tough on them ,those Rotary 500s are tough,but nothing lasts forever,300.00 for a set of 20 thou Wisecos ,80 cyl to bore em ,get a crank from Adrien Bernard for 400.00 and a gasket set  for 80.00 ya got yourself a new plant, hopefulloy the rotary faces arent all scared from metal fragments and the brass gear survived the lock up your good to go.I do 3-4 Rotary Rebuilds  a winter 1000.00 plus your own labour your back in buisness"
303217,BUSTER,2009-02-08 08:47:00,1336,"$1000 in parts, plus labour =   ouch"
303221,Fishmaster,2009-02-08 11:20:00,920,"doing the same thing right now to the same kind of sled,,,piston melt down due to fan belt"
303226,Fishmaster,2009-02-08 12:30:00,920,"Berns sled blew a plug then just quit like yours out on the ice... We hauled it home and ripped it apart and this is what you will probably find when you get the piston out of yours...  Fan belt was slipping so no cooling or little engine cooling on the clutch side means an overheated engine, specially when going through the slush out there.      Ordering the parts first thing tomorrow and should be back up and running by Wednesday..."
303228,lew,2009-02-08 12:38:00,12766,"You may already be familiar with these folks skeeter, but if not their a snowmobile dealer/repair shop on Kennedy Road. I used to buy all my snowmobile clothing from them years ago, but never had any repairs done there.  They've been around for alot of years though, so they must be doing something right and would possibly be able to help you out if your unable to do the repairs yourself.  http://cdn-9.psndealer.com/e2/dealersite/i..._image_both.jpg   EDIT>>>>>  That link I posted doesn't seem to work but just type Snow City Cycle into Google"
303419,skeeter,2009-02-08 21:16:00,1907,thanks for all the help guys. guess tomorrow i will have a rough estimate on the price. after many phone calls.
303431,carll2,2009-02-08 21:33:00,443,
303452,F7Firecat,2009-02-08 22:11:00,347,"jeezuz those pics show what happens when it overheats big time!!!  Skeeter,  Don't just throw a new top end in it. Make sure you find out why it blew.  If it was lean could bean air leak in the seal, intake boot.  Did you pull the plugs and see what they looked like?  Coould also be an oil pump going for a sheeeeeeet.  Lots of used stuff around as mentioned before.  Good ole sleds. wrenching is fun  Bryan"
303462,skeeter,2009-02-08 22:34:00,1907,wrenchin is fun if you have a place to do it but i live in an apartment. and i dont have the repair manual for it as they havent made one yet. so im sheet out of luck.
303491,Greencoachdog,2009-02-08 23:18:00,8163," Broken sleds double as a very nice coffee table yanno!  I'm sure Miss Kelly won't mind, she seems like a very understanding young lady to me!!!"
303492,Mike the Pike,2009-02-08 23:23:00,3421,Ah just steal trakers motor he has too many toys anyway
