353260,ketchenany,2009-06-18 17:44:00,3229,  Tell that to the TTC  streetcar drivers on King street!
353086,HTHM,2009-06-18 00:55:00,4082,Because they are hoping that the seatcovers in the other boat are comperable to the seatcovers in yours'.
353091,Spiel,2009-06-18 01:00:00,9065," I always thought that was a courtesy extended in lieu of shouting over the old 2 stroke for ""thanks for not ramming into me""."
353093,CLofchik,2009-06-18 01:01:00,854," Here's the lowdown on biker waves for the unintiated.   I don't get why people in cages wave at each other, other than people pointing & laughing at a man driving a Miata."
353095,JohnF,2009-06-18 01:01:00,3494, Mebbe that's all drivers are doing.  JF
353126,corvette1,2009-06-18 02:11:00,1765,yes it's a corvette thing too
353130,DRIFTER_016,2009-06-18 02:23:00,10439,  Spoken like a true Pacer owner!!!
353133,DRIFTER_016,2009-06-18 02:40:00,10439, Yamaha has a turbo upgrade the will bring there top performance sleds up to 205 HP!!!! That's a whole lot of YEE HAA!!!!!! right there.
353146,Fishnwire,2009-06-18 03:23:00,983,"  I used to think so until I owned a Jeep.  It's not the vehicle for everyone...there's lots about them that some people find off-putting...but it's the perfect fit for me.  I guess it's all about identifying with others who also find them so appealing.  I tend to imagine (rightly or wrongly) that all Jeepers have similar lifestyles and interests to myself.  I've driven over beaver dams in my YJ to get where I want to go.  I've taken it into places some people wouldn't take their quads.  It's literally changed the way I think about bush access.  When I see another guy whose got that figured out too, I feel just fine about flashing him a wave."
353156,Jonny,2009-06-18 04:26:00,1380,"Hunters wave too.  It's kind of a ""Hey you DO see me here, don't you?"" wave.  Kind of looking for reassurance that a shot won't come your way."
353174,outllaw,2009-06-18 10:45:00,1232,jeep for sure. its kinda nice to know you aint gettin stuck. my jeep has never been back to the dealer.
353197,holdfast,2009-06-18 13:02:00,1813, Thats because they were Pink.
353228,Dara,2009-06-18 15:37:00,3052,"  Gotta love em. I have a Rage right now and figure on upgrading to something a bit quicker next year. 12,500 k in 3 seasons.  As for on the road, I have a Toyota Tundra right now with the 5.7. We have a quiet club. When you see that 5.7 on it, you know that guy has a whole lot of get up an go. You don't realize till you own one just what they will do."
353248,ecmilley,2009-06-18 17:12:00,2163,"have an apex here and it's been worked over alittle around 155hp and a stage3 clutch kit     bigger sway bar ect, get some shoulders with that one"
353251,Billy Bob,2009-06-18 17:22:00,5865, YEP..........nobody beats TUNDRA........ 
353254,Stoty,2009-06-18 17:31:00,2910,"I used to do that when I had my Z28, and Xtreme.  I only do it now to guys towing boats, when I have the Ranger on the back."
352862,Fishnwire,2009-06-17 13:54:00,983,"I've been driving a Jeep YJ for a couple years now.  I noticed shortly after I bought it that other Jeep Wrangler drivers would comonly wave (or give the two-finger peace sign) as we pass each other on the street.  My Jeep is obviously modified...lift kit, big mudders, winch, bush lights, etc...so I notice that while most Jeep drivers will wave at me, guys with units that have been worked on will almost always wave.  It's like we're in a club.  My question is this:  Has anyone else driven a vehicle that they waved to other owners of?  I have heard Toyota Prius drivers wave to each other.  Also, I'm pretty sure guys on motorbikes wave, unless one guy's on a crotch-rocket and the other is on a Harely.  There are usually little ""rules"" that come along with being in the ""club.""  Boaters often wave, as do guys on quads if they meet up on a backroad in the middle of no where.  Can anyone add to that?"
352864,Raf,2009-06-17 13:58:00,3495,as a fellower heeper (XJ) i've noticed it too.  noticed it in my former vehicles as well.
352867,Roy,2009-06-17 14:08:00,13728,"YJ here. It's kind of a neighbourly thing to do. I always wave and almost always get waved AT. But  I sometimes notice that owners of other vehicles  wave at me too. I think some of the friendliest are Mercedes owners. When I pass one in traffic and look in my rearview I can almost always count on them waving at me...well, it's kind of a wave."
352869,JohnF,2009-06-17 14:09:00,3494,"Back in the day all us sports car drivers would acknowledge the others as we passed, usually the v-sign (in the 60's and early 70's, what else?) and then I remember bikers all doing it, except for the too cool chopper leathervests who didn't deign to acknowledge anyone else unless they flew the colours. The bike salute was a little under the bars finger flick.  JF"
352870,Fishnwire,2009-06-17 14:10:00,983,"Roy, that's a one finger wave...most Jeepers use at least two.  "
352878,cranks bait,2009-06-17 14:41:00,721,I guess you could say I'm in a club.  When other people pass by me driving a Honda Ridgeline I get the wave.  I was one of the first to drive one so I've noticed it since the beginning.  I'm now on my second one.  I tend to not really notice any more.  When ever my now ex-wife was with me she called it the ridgewave?
352879,DRIFTER_016,2009-06-17 14:45:00,10439,Us snowmobiling types do the wave thing too.
352884,JohnF,2009-06-17 15:03:00,3494, I just thought they were protecting their eyes from the blast of snow and ice as I passed.  JF
352899,DRIFTER_016,2009-06-17 16:05:00,10439,"   PFFFFFFFT, PUHLEEZE!!!!!! I just cruise around on me little grocery getter.  "
352906,JohnF,2009-06-17 16:15:00,3494, Jeez. That looks raunchier than any of my racing sleds ever did back in the early 70's.  JF
352908,Fish4Eyes,2009-06-17 16:20:00,1022,"I drive VW's and people wave to me. My girlfriend drives a beetle, and when she drives by kids they start punching each other. Children refer to them as ""punch buggies"". Maybe one day i'll see a good scrap....lol j/k"
352916,bdox,2009-06-17 16:46:00,329,"I have a ZR2 Blazer, and notice other ZR2 owners will usually give a little wave or nod."
352923,JohnF,2009-06-17 17:30:00,3494,Mebbe I should start a Flex club. Instead of waving we might just pop a bicep or something. In my case it'll be a very subtle acknowledgement.  JF
352945,shane,2009-06-17 18:33:00,652,"Back in my Volkswagon van days, it was the 'snail wave'.  Kind of a modified, wiggle your two fingers, peace sign.  Man, I miss that van.  And those days."
352948,JohnF,2009-06-17 18:36:00,3494, And there had to be dense whitish smoke leaking out of every opening.  JF
352961,ecmilley,2009-06-17 19:22:00,2163,"on my yamaha sled i notice i get a lot of waves I have a hyundai tiburon i use for commuting and get the wave or light flash from other tib drivers, but the car is sllightly modified as well with stainless headers, cai and fuel tuner as well as a 2"" ball for towing"
352964,Sinker,2009-06-17 19:27:00,8692,I'm picking up a subaru forester XTi at the end of this week. I'll let ya know if there is a suby fan club. I believe there is.  S.
352965,DRIFTER_016,2009-06-17 19:32:00,10439,"  Yep, they're called Tree Huggers, Hippies................ Up here we call them Tundra Huggers!!!!"
352975,krawler,2009-06-17 19:51:00,167,"Im with bdox.  i drive a zr2 blazer, but its done up with offroad lights on the roof, roof basket, brushgaurd, mudders.  always recognize fellow zr2's.  putting on a sticker on the back windshield that will say... ""Official JEEP Rescue Vehicle""  I go offroading and cant get stuck, unlike some jeep guys i know, especially those YJ's!"
352982,Sinker,2009-06-17 20:05:00,8692," Well then, I guess I'll be waving with my highway finger  I'll be the first redneck in a suby I guess.......  s."
353009,jediangler,2009-06-17 21:21:00,1923,Since driving around with a kayak on the roof I've noticed other kayak carriers wave.
353012,DRIFTER_016,2009-06-17 21:32:00,10439," Yeah, for a trail sled it goes like a scalded cat!!!! When I can get it to hook up it tries to drive away from me!!!! SWEET!!!!!"
353019,Tybo,2009-06-17 21:51:00,1373,I use too wave at lots of cars that pass by. No particular brand. Did it just to play with your head(do I know that guy)
353024,EC1,2009-06-17 22:08:00,930,"  Yup, theres a subaru forum out there, and supposedly they wave when they see other subaru's"
353027,Raf,2009-06-17 22:15:00,3495,
