268554,tibbs,2008-11-17 21:22:00,650,mmmmmmmm...  That looks fantastic!   :worthy:
268211,Leecher,2008-11-17 00:11:00,7832," Glen, that really sounds good and appetizing but with wild meat must a least cook it til it's pink to the very least, then you know it's safe to eat Jacques"
268218,misfish,2008-11-17 00:42:00,29133,I like my meat pink.
268222,buckster,2008-11-17 00:49:00,530,  man i love pink meat
268228,Leecher,2008-11-17 00:59:00,7832,"Well guys, just finished a couple of deer steaks with my daughter and wife and man it's so tender and tasty  Tasted just like the filets that I had when I killed it... mmmmmmm For those that will have deer meat in the freezer this season, enjoy cause this only happens once a year Jacques"
268265,Mattones,2008-11-17 02:13:00,587,mouth watering.
268281,sturgman,2008-11-17 02:32:00,249,"mmmmmmm looks real tasty Leechman..... I have tried and tried to prepare venison for myself, family and friends, but there is only one marinate that can satisfy my pallett.. MILK!! Marinated for 24 hours in the fridge cooked with onions fried in butter with lotsa garlic. Lookout!"
268284,Leecher,2008-11-17 02:36:00,7832, That sounds real good sturgman    Thanks for sharing
268302,Bly,2008-11-17 03:07:00,1556,"Looks very tasty, will have to save this and try it next time I get some deer steaks.  Thank you!"
268305,Leecher,2008-11-17 03:15:00,7832," Your welcome bly, when you get deer steak and try it, let me know how you find it I'm sure you'll like it"
268503,wallyboss,2008-11-17 18:48:00,1095,"Thanks for that recipe leechman, must be good on the BBQ.  One thing I usually do is that I make sure that my plates have been in the oven for a while, so they are nice and hot to put the steaks in . I find that if teh steaks get cold they get very tough. But if I can keep them warm they stay tender.  I actually have cast iron plates with wooden holders that I keep just for venison."
268508,Headhunter,2008-11-17 19:02:00,5703,"Garlic is my birthstone!  I put it on Froot Loops!  A little red wine in the marinade will help ya out as well  You need some kind of acid to help break down the large fibers.  Also, try punching the crap out of the steaks while they are marinading in the bag... poor man's tenderizer!  Also, consider orange juice/rinds in yer next batch!  Some folks use soy sauce instead of salt!  Gotta go... feeling garlic deprived... must eat gyros!!!!!!!  HH"
