999602,wkimwes,2017-04-07 19:18:00,76,"My SAIL in Cambridge had a bunch of the glide baits in the clearance bin, I mean lots on Monday."
999061,Gallie,2017-04-04 02:01:00,1215,"I ve got a couple pike in the glide rap, im not real big on glide baits in general though so ive caught way more on dbl jointeds, super shad raps, original floating, rapala minnow spoons etc etc lol"
999063,Old Ironmaker,2017-04-04 02:20:00,8243,"If it says Rappala it will catch all manners of Esox species. Number 1 go to lure when in doubt always comes out of a box that says ""Rappala"". I bet those Subwalks will hammer Small Mouth. I really can't tell the difference between an old Shad Raps and the new Glidin Rap. Now I need to spend more money on tackle I just have to have and sure don't need, thanks Pump! I was looking at the new displays at our Canadian Tire store today, man the prices of Rappala's now, under lock and key like jewelry, no wonder. They all start at $12.99."
999067,kickingfrog,2017-04-04 02:38:00,8333,"The super shad rap acts like a floating crank bait. The gilding rap's action is imparted by the angler and its a slow sink/neutrally buoyant lure. The amount of slack and the twitch rate control the lures erratic action.  Thinking about that fly-in, the main reason I settled on the gliding rap was that while trolling it was the lure that put the least amount of stress on my arm/wrist. I was on the tiller and couldn't switch arms."
999068,Tjames09,2017-04-04 02:51:00,664,"I have also caught multiple fish on SSR. The hooks are on the small side, but it does well. I love the action on it. Ive even caught some monster bass on it."
999093,singingdog,2017-04-04 11:19:00,1047,"I have had a couple of very good musky days on the Glidin Rap. It's easier to throw than a lot of the big, heavy glide baits, and won't wear you out working it."
999107,manitoubass2,2017-04-04 15:07:00,11391,"Gliding rap is great, but the clown colour subwalk is worth its weight in gold.  Thats my go to pike lure, absolutely love it! I've caught 5-600 on one lure  Don't be surprised to get some wicked bass on it too especially in the fall"
999128,kickingfrog,2017-04-04 21:22:00,8333,I'd be disappointed if the gliding rap is discontinued.
999130,manitoubass2,2017-04-04 21:43:00,11391,If it is Rob let me know. My local has a huge stock if anyone needs some
999169,Ron,2017-04-05 01:54:00,1683,"The Gliden Rap has been discontinued for more than 3 years now. If you can find them, buy em all. Sail just had a bulk order come in from rapala of discontinued lures to blow out. Oshawa got emptied of the Gliden Raps in the first hour of opening."
999179,kenzy31,2017-04-05 02:24:00,261,"Sub walks are great for pike and bass, good success the last couple seasons on GBay with them. Like the Glide baits, they require lots of slack to work best and get the cadence right. A length of stiff mono works well, I use 8-12"" of 20lbBig Game for bass and 40lb flouro for pike. Same setup with super spooks too, zero line tangles with trebles. Slack line in braid will foul all the time, real PITA!"
999230,JoshS,2017-04-05 14:06:00,729,Glidin raps have a time and place. my fav colour is bluegill. That jointed clackin rap looks like it would be good too fished slow with shakes of the rod to twitch it back erratically. Guess I'm gonna buy one now ! There's a lot of jointed hard swimbaits out there.
999271,PUMP KNOWS,2017-04-05 16:44:00,937,"If anyone picked up an extra Glidin Rap in Firetiger (BPC) and wanna trade for other colours, let me know.  I need to get my hands on some of the Super Shads if I can find them on sale."
999554,kickingfrog,2017-04-07 14:23:00,8333,"The Gliden Rap has been discontinued for more than 3 years now. If you can find them, buy em all. Sail just had a bulk order come in from rapala of discontinued lures to blow out. Oshawa got emptied of the Gliden Raps in the first hour of opening.   Well that stinks, but I guess if it's been that long I'll somehow manage.  Now I might be hesitant to use the ones I have for fear of loosing them."
999591,kickingfrog,2017-04-07 18:19:00,8333,The smaller gliding rap (top left) was the one I mentioned earlier. After having so much success with it I picked up the larger size.    Even the smallmouth like the big gliding rap.  
999594,kickingfrog,2017-04-07 18:33:00,8333,"Found some photos from that fly-in trip:  Gliding rap    Like I said, I tried everything to see what the eyes wouldn't eat up there.     Saltwater x-rap:      Third cast and second fish of the trip.  Topwater walleye: "
999596,manitoubass2,2017-04-07 18:59:00,11391,"Nice Rob!!!! Great pics!  You're brave. I ditched the ""lure in mouth photo"" years ago"
999601,kickingfrog,2017-04-07 19:13:00,8333,"Nice Rob!!!! Great pics!  You're brave. I ditched the ""lure in mouth photo"" years ago   To hide secret lures? Or lessen the possibility of hook in a body part?"
