1056693,NILS Master Lures,2020-02-24 16:20:00,24,What a unique deer! Thanks for sharing the photos and your experiences. Too cool!
1056500,lew,2020-02-18 22:45:00,12766,"I've actually thought about a camera Brian, there's always some interesting critter wandering thru the yard."
1056501,misfish,2020-02-18 22:48:00,29133,The night time shots will surprise you I am sure . They are easy to use. Just remove the SD card and plug into a camera and on the computer.
1056502,lew,2020-02-18 22:51:00,12766,"Thanks Brian, sounds interesting."
1056503,ketchenany,2020-02-18 23:53:00,3229,It’s there B. Just like the alarm lol. Great shot Lew 
1056504,LostAnotherOne,2020-02-19 00:04:00,956,Really like your feeding setup Lew.  We've have the same family of Blue Jays live in the pines for almost five years.  They know when the back door opens up they are going to get feed.
1056508,Old Ironmaker,2020-02-19 02:36:00,8243,"Amazing, I have never heard of let alone seen what Cisco referred to as ""Albinoism."" Thank you for the amazing photos you get at your place. Did I say amazing?  An article explaining ""Abinism"" in White Tail Deer. Albino, all white is something like 1 in over 30,000 Deer. A ""Piebald"" Deer is partially white. One thing I love about OFC is I can learn more than 1 thing everyday. And it keeps my noggin from going to mush. Thanks again Lew. https://www.deeranddeerhunting.com/content/blogs/dan-schmidt-deer-blog-whitetail-wisdom/just-rare-albino-deer"
1056513,SirCranksalot,2020-02-19 13:31:00,3291,OK---it's a new day so here's something new for you---That wasn't a 'sheep' you saw. That was a ram!!!😁😉
1056521,Old Ironmaker,2020-02-19 16:36:00,8243,An L.A. Ram?
1056525,Rodbender,2020-02-19 22:21:00,1027,Nice Lew I'd like a better pic of the fawn looks like really dark possible Melnistic ?
1056526,lew,2020-02-19 22:29:00,12766,"If you look at the left side of the very 1st picture at the top of this page from last Saturday you can see the fawn much clearer, at least part of her, and you'll see she's not as dark as she appears in the other pictures. There's quite a few fawns around here and she's about the same colour as the others and she's always with the Piebald Deer."
1056555,lew,2020-02-20 20:46:00,12766,This pretty lady is  becoming a regular in my yard now and I got a couple good shots today.     
1056563,misfish,2020-02-20 23:02:00,29133,"Awesome Lew.  If thats the same fawn, then thats the mother.  And whats with  that turkey ? Hey,look at me . Hey,I am right here. "
1056565,lew,2020-02-20 23:45:00,12766,"It's hard to keep track of those Gobblers some days, there's so many of the silly things LOL   "
1056590,Old Ironmaker,2020-02-21 19:40:00,8243,"Now I'll post this in the right thread. I sent the pics to my cousin in the States. His group has a hunt camp in Western NY and they take young folks from the inner cities of Niagara Falls and Buffalo NY there to teach them safe gun handling and ethical hunting with emphasis on proper environmental stewardship. He asked me to thank you for the fantastic pics of the Piebald Deer (the new word of the week, maybe month.) He has never seen 1 either after 50 years of hunting."
1056595,Rattletrap2,2020-02-21 20:31:00,1652,"That is so cool Lew! In the one shot, there was a squirrel at the Doe's feet and now all those turkey's! All these creatures hanging out together to get some feed. We had an albino deer near our work quite  a few years ago in the Clairville Conservation area, but have not seen any for a few years now."
1056633,Sinker,2020-02-22 14:29:00,8692,Very cool Lew. Its amazing the wildlife you have there.  S.
