547131,jcd,2005-04-19 09:17:00,185,"Water snake, turtle, clam, seagull"
546985,Guest,2005-04-12 16:07:00,0,"A filleted walleye. Snagged it in the lip, too. Everything was there but the meat. Both sides ...skin still attached. It was about a 24 incher.....but, no fight at all.. LOL!"
546986,Guest,2005-04-12 16:46:00,0,about ten years ago caught a pelican in the fl. keys good eating exsept for the beak
546987,Guest,2005-04-12 17:36:00,0,My father took me to Canada when I was about 10. It was our first trip and we didn't have much money and could only afford a guide for a day. I snagged and old baitcasting rod and reel combo off the bottom of the lake. The guide took a look at the rig and offered to make a trade. An extra day of guiding if I gave him the rod and reel. I guess it was one time the kid (me) finally was able to pay his own way. We had a second day of great fishing. Wingman
546989,Larry S,2005-04-12 20:25:00,666,"When I was a teenager on a family vacation to Minnesota in the 1960's I cast out a minnow on a bobber,a seagull swopped down and grabbed the minnow flying away. I fought it for a few minutes until it let go Larry S"
546951,Guest,2005-04-11 15:26:00,0,Not counting fish what is the wierdiest thing you ever caught while fishing? My wife caught a metal smokers pipe a few years ago. Unfortunatly it wasnt still burning when she caught it.
546952,Hump,2005-04-11 16:48:00,578,A loon A webbed lawn chair - fought like crazy. .
546954,Guest,2005-04-11 18:52:00,0,As a kid I hooked what my cousin called a waterdog. It is a salamander that still has its gills. It was the weirdest thing for a kid. I was trying to take the hook out and it would grab me.
546958,Pooch,2005-04-11 21:01:00,4619,"Every year we catch several ""magnetic"" rocks. (Really!) Have also caugth old stringers, metal amd nylon. Old lures (several times). Other peoples jigs and broken line are common. Other stuff that I no longer can recall. Pooch"
546959,Guest,2005-04-11 21:04:00,0,"i once caught a metal stringer with three, 5# walleyes on it. It was the chain/loop type stringer and the last loop was missing and i caught it in the last chain link . Fish were still alive so released them.. It was near Minaki"
546960,OHIOPILOT,2005-04-11 21:05:00,19,"believe it or not, about 20 years or so ago while fishing with my dad, we were trolling for walleyes and had a pretty good stringer of walleyes...well as Im sure a few of you have done the stringer was dragging pretty close to the prop and it was cut off. Didn't relize it until we went to put another fish on it. well after trolling the same points for a few more hours I hooked onto something and sure enough, I caught the stringer with all the fish still on it."
546961,ankorklankor,2005-04-11 21:08:00,273,"I caught a umbrella, the large kind that golfers use. Kind of a boring catch, their not big scrappers."
546963,Guest,2005-04-11 21:56:00,0,one morning a day after a tourney I went to a local lake. The first fish I broke off my worm. I hadn't retied. Went home ate lunch and went back. First time I felt a tap i set the hook and came back with the hook i lost earlier.
546965,balsl6,2005-04-11 22:17:00,426,"Was fishing with my two boys 4&8 at the time, the youngest said he lost a fish and his jig. Thought he just got snagged, 10 minutes later I caught a 5lb walleye with my sons jig in his mouth. I did give him the credit of catching it."
546966,Guest,2005-04-11 22:27:00,0,I caught an otter while icefishing.I cut the line at the top of my quick strike rig to release it back into the hole.The hooks were barbless so he probaly worked it out I hope.
