662242,NAW,2012-01-31 17:31:00,4022,Congrets on the new project man!
660496,bassassin,2012-01-26 04:00:00,152, i plan on building a 10' x 10' bunkie to start off!!  Heres a local guys catches on the lake my lot is on:  http://www.ontarioanglerawards.com/Entry/Details.cfm?EntryID=28640  http://www.ontarioanglerawards.com/Entry/Details.cfm?EntryID=30369
660498,Skipper D,2012-01-26 04:06:00,1970,"  Send me a Pm and i'll show you my web site , i might just be able to keep you with in your budjet or at least for some of it"
660500,irishfield,2012-01-26 04:09:00,26272,"If you can clear his lot, put in a driveway and build him a cottage for 5K Ron... I want a 2 for 1 deal!"
660501,bassassin,2012-01-26 04:12:00,152, Good idea that means i only need to cough up $2500... 
660504,Skipper D,2012-01-26 04:16:00,1970,  Well i was thinking i could do something for him where the clearing and driveway are consern
660505,bassassin,2012-01-26 04:19:00,152, Message sent...
660506,irishfield,2012-01-26 04:22:00,26272,.oh and as for the trailer. Get your inspection for septic system.. install it first if you know where the cottage will go. Make a level pad for the trailer so you can easily park it and just have it drain it into the septic. Leave it there three weeks at a time and then tow it home for the following week. Then bring it back... or just tow it up each weekend.
660507,spud7378,2012-01-26 04:27:00,68,"im a hydro lineman/ electrician, maybe i could help you out with your power? let me know when your ready i could give you a price!"
660513,bassassin,2012-01-26 04:48:00,152, there's a transformer between this lot and the lot next to it!
660514,Skipper D,2012-01-26 05:08:00,1970,"P.S Jason , remember its cheaper to remove the trees with the stump with the excavator , so don't go cutting them all down till you know for sure ."
660515,ohhenrygsr,2012-01-26 05:18:00,947, That's an awesome website
660536,bubbles,2012-01-26 12:27:00,591,"Way to go man, let the fun begin. Let us know when the house warming is!"
661588,walleye wanderer,2012-01-29 02:12:00,64,"  Sweet! Never fished Shawanaga but I snowmobiled the hell out of it. I have fished Lorimer Lake for many years and the fishing is still very good there and very restricted as there is a Tim Hortons camp on it. Many years ago we did stop in MNR office in Parry Sound and reviewed the local marine biologists reports on Lorimer, I am sure they would have similar info for Shawanaga and I'd say it is worth the stop. Regardless, this is a beautiful place with lots of peace & quiet and not loaded with houseboats and jet skis, you will enjoy! ps. nice lakers in Lormier in the winter  "
661607,bucktail,2012-01-29 03:16:00,1857,Big pike and you dont have far to go to Geo Bay!
661808,hookerdown,2012-01-30 00:48:00,110,"What my brother (Bassassin) didn't mention is that he already recruitted his older brother as cheap slave labour to clear his lot by hand.  We chipped him and bought him a chainsaw for his bday (which was the same week he took possession of the lot.  But he told me that I will have to use a hatchet and that he wants to keep his chainsaw in mint condition.  He also mentioned that he can't wait to watch me try to bring down some of the larger trees with the hatchet, while he sips down a couple of brown pops.  And if I survive that, he will let me drop a line from shore using a stick and line (but no hook).  Ahhh family."
661856,4x4bassin,2012-01-30 03:08:00,1025,"I have a place over on Lorimer but I have heard some good things about Shawanaga,I'm going to try to get over there this summer and chuck a spinnerbait around .Congrats on your new lot , it will bring you and your family good times for years to come"
662153,bassassin,2012-01-31 03:17:00,152, Lorimer is beautiful too! cant wait to start playing around up there.
662202,SmokestackLightnin,2012-01-31 13:19:00,390,"PM me your email address and I can send you a lake summary in PDF that was done in 2003, here is what it says regarding the species and stocking history:  Game Fish Species: Walleye (1979), Smallmouth Bass (1998), Lake Trout (1983), Northern Pike (1998), Yellow Perch (1983), Largemouth Bass (1998) Other species present: Cisco (1983), White Sucker (1998), Rock Bass (1998), Pumpkinseed (1998), Iowa Darter, Johnny Darter, Brown Bullhead (1961) Exotic Species: Stocking Record: 1979 Northern Pike 131 adults 1959 Walleye 1,215 fingerling 1959 Walleye 955 fingerling 1958 Walleye 50 fingerling 1956 Walleye 600,000 eyed eggs 1954 Walleye 1,000,000 eggs 1954 Lake Trout 1,500 yearlings. 1953 Walleye 1,000,000 eggs 1952 Walleye 1,000,000 eggs 1951 Walleye 300,000 eggs 1951 Smallmouth Bass 300 fingerling 1950 Walleye 300,000 eggs 1950 Smallmouth Bass 5,000 fry 1949 Walleye 200,000 eggs 1948 Walleye 200,000 fry 1947 walleye 200,000 fry 1947 Smallmouth Bass 5,000 fry 1946 Walleye 150,000 eyed eggs 1946 Smallmouth Bass 500 fingerling 1945 Smallmouth Bass 5,000 fry 1944 Smallmouth Bass 5,000 fry 1944 Smallmouth Bass 800 fingerling 1944 Walleye 250,000 eyed eggs 1943 Smallmouth Bass 1,000 fingerling 1943 Smallmouth Bass 5,000 fry 1943 Walleye 250,000 fry 1942 Walleye 300,000 fry 1941 Walleye 200,000 fry 1941 Smallmouth Bass 5,000 fry 1941 Smallmouth Bass 5,000 fry 1940 Walleye 300,000 fry 1940 Smallmouth Bass 5,000 fry 1939 Walleye 100,000 fry 1939 Smallmouth Bass 100 5 - 8”"
