6558978,warefisher,2021-05-08 11:47:00,5,I caught five nice trouts last evening!
6557518,@Lunker,2021-05-04 13:11:00,835,Our Ontario camp owner shared today that supposedly the government is supposed to make a determination by and share with them on May 15th what the border opening situation will be. Just sayin'....
6557522,johnboat,2021-05-04 13:27:00,2014,"I'm not real optimistic but my owner seems to think things might possibly be turning around as well.It's kind of hard to believe, but I'll go with it.He mentioned possibly August. There'll be a few hoops to jump through, but I'll sure give it a go."
6557526,kettyspanky,2021-05-04 13:34:00,271,That will hopefully be some good news for the camps and resort owners. They might finally get an idea if it pays for them to open for the year or not. Also might give them some much needed revenue. Fingers crossed.
6557532,Hookhunter135,2021-05-04 13:56:00,129,I just read Saskatchewan’s plan. They have a 5 stage system. Stage 5 being lift long term restrictions. They have themselves slated to be at stage 4 by July 21. If things go well maybe fingers crossed for August with a vacc passport.
6557536,That Minnesota guy,2021-05-04 14:03:00,8293,"Nope, won't happen."
6557542,prov1800,2021-05-04 14:10:00,5010,Only hear that they will let owners in.Don't get to excited yet.
6557564,Eckohlt,2021-05-04 15:33:00,3685,"It's a go for fall,we are back"
6557566,That Minnesota guy,2021-05-04 15:35:00,8293,"I'm not getting excited. I said months ago it wouldn't be until 2022 that the border opens. People keep hoping and the date keep moving towards fall. I understand the hope, but look at it realistically. If the border opens in August does it really save anybody? I think not. If these resorts don't get the months of June & July part of August and a bit of Sept. isn't going to save them. If that in fact is the case why would the government rush to open up? I don't see the point. Keep hoping and praying for the best but I would make alternative plans."
6557606,Eckohlt,2021-05-04 17:09:00,3685,Have contacted a resort in Ontario for oct fishing they said bring it on come on up
6557610,That Minnesota guy,2021-05-04 17:11:00,8293,Get back to me when you actually get across.
