311050,snag,2009-02-26 04:03:00,1932,  Kudos
310654,Photoz,2009-02-25 12:31:00,792,"When I first started fishing the Ganny, I too fished the sanctuary, because of my belief the sign at the back of the bridge (which was completely concealed from a 'newbie' walkin' up from the south side) marked the boundary line of where the sanctuary started. Luckily it didn't take a 'local' long to suggest I 'get my a$$ outta there,' because I was poaching. When I pointed out where the sign was, he just told me perhaps I should read my regulations book? Until the 'new' sign was posted, without reading the regs, it was STILL confusing to people who really believed the sanctuary started at the sign, but those who DID know, and just didn't care, just went ahead and brazenly fished there, regardless, figuring the'd just play 'dumb' with the C. O.! I even DID mention in my original post ""BUT . . . if you didn't check the regulations book (which you should) there was some confusion as to where the sanctuary started, with only the sign around the back of the trestle,"" which I believed made it pretty clear.  If those of us who regularly fish there keep the calls to the MNR coming, with photos of those who have their own regulations & boundaries, POACHING fish, there and other popular spots, I think it would go a long way toward cutting the illegal catching right out! I wonder how many know about the new trout limits (2) in ALL the eastern tribs, which is in place, and has been for about 2 years? If you're into LEGALLY 'limiting out,' with 5 trout . . .   gotta go down to the lake. (Why would ya want FIVE trout anyway?)  This is the 'OLD' original sign, on the back of the bridge that caused much of the confusion. END OF STORY!   "
310669,Greencoachdog,2009-02-25 13:11:00,8163,"The sign makes it perfectly clear, as for the regs stating the South side of the bridge... there are many people that couldn't tell you which way West was if the were looking at a sunset!!!  I run into this nearly daily on the construction site and have had to teach it to a lot of people!"
310703,Beans,2009-02-25 14:45:00,3339,I hope I don't lose any friends over this but...  I think the MNR (or the Board of Health) should make the whole damn river a year round sanctuary !!!  Who wants to fish in a bloody sewer anyways ???...What's with that black crud that bubbles up from the bottom every once in a while...reminds me of the Don River In Toronto...YUCK !  Surely you wouldn't want to eat fish from there or even touch them (skin rash)...  Tony...you are right...LET IT GO !!!...however I don't think anybody is giving away any secret spots...I've read about the Ganny and Wilmot in fishing magazines for the past fifty years or more...  Cheers !!!...Mates
310715,ehg,2009-02-25 15:22:00,2666,"  Cameco has been dumping radioactive tailings in the Ganny and Port Hope harbor for many, many years. Might explain the black crud bubbling up from the bottom.  Here is a picture of tarped tailings near a playground in Port Hope. "
310740,Photoz,2009-02-25 16:14:00,792,"I don't think it would be a bad idea at all, to do the same with the trout season, EVERYWHERE there's special exceptions (Ganny, Wilmot, Graham's, Bowmanville etc.) as what they started doing with pike a few years ago, while they spawn. My bet is the population would really jump quickly, even if they only closed it from early March to April. But to close the Ganny year round . . .  aw w w w  c'mon Beansie, have a heart . . .    that's my favorite carpin' spot!  "
310879,lookinforwalleye,2009-02-25 21:20:00,4399,  What`s the Ganny where`s the Ganny! Duh!
310885,diggyj,2009-02-25 21:30:00,548,Ganaraska River
310896,fishhunter,2009-02-25 21:56:00,604,As Ron said and i was standing beside him when we were told by C.O. As long as the sign is on both sides of the bridge it would be open fishing. we said take the other one down and we got the look lol if you would like the C.O. number and name pm me i have his cards on me all the time. Great guy and lays lots of charges other then the bridge.
310898,misfish,2009-02-25 22:14:00,29133,"   I believe sometime ago (way back when), I had suggested that a river/trib(FLIP A COIN AND PICK ONE) should be closed for a year,the whole thing.Help with the spawning and growth of the great lakes and rapeing of the resouce.SNAGGERS.  Myself ,I enjoyed fishing all the tribs when I was younger.Lots of fish to be had, and to be released.Yeah I know it,s a catch and keep project.   Norm,ya never lose a friend like I."
310913,Jigger,2009-02-25 22:57:00,1237,"I don't know about closing all the tribs. Maybe, as someone suggested perhaps here or another board, the tribs should be closed on a rotation. One year, closed on the Ganny. Nextyear Wilmot. Then Bowmanville, Oshawa, Rouge and so on down the line from L.Ontario up through Superior. It would take a long time to get back to the front of the line again.  Like hundreds of guys and a few gals out there, I grew up streamside and spent maaaaany hours of my youth catching fish out of the Rouge( insert your own home creek). Also, the access is great for new guys to get in on a little easy action and get into the sport this way. I go out sparingly in the spring only to satisfy my need to wet a line and more often than not it will be where no-one else is fishing. I also like the fact that I can just get on a bike like old times and find some running water just because I have an hour to kill. I'd hate to not have that option, even if I didn't fish trout once this year. You don't have to pack up the boat and gear, drive, launch, etc... You just go. Although if you do keep a rod in the car, its also nice to drive over a a bridge and spy a nice  looking pool, hit the breaks and throw a spinner in just in case. Like I said, I'd hate to not have that option.  As far as the sign and regs go.. Theres always someone that wants to put the odds in their favour and NEED to get fish so bad that they feel like bending the rules to meet their purpose is OK. Regs will always be disputed, boundaries will be disputed, public/private boundaries will be disputed. All to do some bobber fishing. Because thats what most guys fish for trout with. Very expensive bobber outfits."
310917,misfish,2009-02-25 23:06:00,29133," My post,or am I daft???????????????    "
310918,diggyj,2009-02-25 23:06:00,548,"The idea of these rotational closures is a great idea, however I think the only that will happen is someone from this board is elected as Minister of Natural Resources.  The Ministers themselves rotate from year to year. Last year Donna Cansfield was the Transportation Minister.  We need people in these positions that are actually hunters and fishers."
310926,misfish,2009-02-25 23:22:00,29133," Will you vote for me?  Or is that would?????? You are right though. People who know whats what,not what they think. Something like an engineer.Yep it,s says it works,,,,on paper.LOL  dumb"
310928,Jigger,2009-02-25 23:27:00,1237,"I read your post Misfish. I just know that the idea was floated out there a long time ago. Its entirely possible that someone else had the notion as well. If it was yours, great. Forward thinking, indeed. Not like you re-invented the Uni-knot. Geez..."
310936,misfish,2009-02-25 23:40:00,29133,signs No worries jig
310980,Guest steel'n'esox,2009-02-26 01:23:00,0,
310987,irishfield,2009-02-26 01:34:00,26272, Great advertising for them isn't it? Too bad they didn't spend $'s on something that's actually sustainable...  As for the Ganny... my sister use to live in an old house on 2 that would probably be about the big grocery store across from the Chinese all you can eat place... that would be back about 1973 or so. Ganny madness.. poaching snagging was an issue way back then above/below the bridge.
310991,Kerry,2009-02-26 01:45:00,383,"Seeing as the other thread was locked.Kemper had asked about the numbers that run up the ganny.I'm pretty sure at one time I read there were as many as 20,000 salmon running it in a season back when it was popular to enhance a fishery.Not really sure what the numbers would be for rainbows but I remember catching way more rainbows than salmon off that pier. Kerry"
311040,Ron,2009-02-26 03:46:00,1683,"I have spoken with the MNR today. I made mention of this sign once again on how it is deceiving. I also made note of the sign being out of date to show the new season regulations. The sign shows ""the last Saturday in April"" where as the new regs show the 4th Saturday in April. It doesn't make a difference for this year but it will in other years.  Long story short, they will be replacing the sign and removing the sign on the upstream side. I have volunteered to do this for them. Once the sign is made, it will be changed."
311044,irishfield,2009-02-26 03:53:00,26272,You're a good man Charlie Brown !
