919601,wkrp,2015-06-11 21:05:00,656,My sincere condolences.
756514,trasker,2013-01-05 06:22:00,26,"Daniel is still missing, hoping 2013 is the year for answers.  For those following Ottertooth updates, we had to start a new page, prior one filled up.  Here is a link to the new page http://www.ottertooth.com/discus/messages/3/75578.html?1347565605  We appreciate all the information, leads and support from the Ontario Fishing Community.  Please continue to spread the word about Daniel missing and be on the lookout if in this area."
756515,trasker,2013-01-05 06:27:00,26,
756516,trasker,2013-01-05 06:39:00,26,"A digital version of the Reader's Digest article in the Jan. 2013 edition titled ""Vanishing Point"" is available online, starting on page 74 http://ca.zinio.com/reader.jsp?issue=416246661&o=int&offer=500149029&pub=500313358&prev=sub   This is the same story of Daniel previously published in Explore Magazine, fall 2012 edition titled ""Into the Light"", written by Conor Mihell."
805318,trasker,2013-08-28 05:16:00,26,"Summer Search Update:  Great news, Daniel's back pack was found on Aug. 12, 2013 by MibSAR team and it was recovered by the OPP the next day.  Another piece to the puzzle, now we just need to find Daniel!  Next search planned for Sept. 13-23, 2013.  For details, see the update on Ottertooth: http://www.ottertooth.com/discus/show.cgi?tpc=3&post=18201#POST18201  Also:  MibSAR have setup a site for Daniel's case: http://www.tinyurl.com/DanielTrask  I have attached the current flyer (will need to update again) and a link to a FB page for Daniel: https://www.facebook.com/pages/Daniel-Trask-is-Missing/141269306065266?ref=hl  Anyone in this area should remain on the lookout for signs of Daniel, he's there somewhere. Dan Flyer Aug 2013.pdf"
805334,Muskieman,2013-08-28 11:48:00,2472,Eyes open ! Keep up the awesome work !
805507,big guy,2013-08-29 14:27:00,414,"One thing I find odd about all this is that there is no mention of what type of canoe Daniel had, unless I missed it. I read all the stories about it, did he not have a canoe with him? If he did, it seems odd that they have located so many pieces of clothing and gear, but no canoe, which is obviously considerably larger. Most canoes and boats are designed to float at water level if swamped, just seems very strange to me that if he had one with him, it has not been found."
805508,solopaddler,2013-08-29 14:31:00,8605,"So glad to hear this, I'm praying you find your boy."
805509,irishfield,2013-08-29 14:34:00,26272,He did not have a canoe Big Guy.. he was on foot as far as his parents know.
805510,trasker,2013-08-29 14:37:00,26,"big guy, Daniel did not take our canoe from home.  Although there were an abundance of canoes at Camp Wanapitei and stashed canoes up there, we believe he was walking the shoreline.  But, no way of knowing for sure.  A number of abandoned canoes were found and checked, but no evidence of use by Daniel.  Again, so many possibilities.  At least we know he is/was in this specific area, narrowing our search down to about 50kms.  When he went missing (Nov. 3, 2011) the small waterways were beginning to freeze up, but there were a few warm days where water travel may have been possible.  Based on where his winter clothing and back pack were found, we believe he was walking."
805530,big guy,2013-08-29 16:26:00,414,"Thanks for the reply, now it makes more sense to me, definitely an arduous task finding someone in an area that big.  May God be with you."
818250,trasker,2013-11-13 20:01:00,26,"Daniel's been missing for over 2 years now, and still no physical signs of him.  Updates will continue on the Ottertooth Temagami forum if any further evidence or leads.  Once again, we appreciate all the support and assistance we get from communities like this one.  Ottertooth Temagami News Brief http://www.ottertooth.com/Temagami/newsbriefs.htm  Ottertooth Temaagami forum for Daniel, ALERT-Missing Person Daniel Trask  http://www.ottertooth.com/discus/messages/3/129857.html?1372649740  Daniel's site by MibSAR, with search updates and 2014 search plans http://therucksack.tripod.com/MiBSAR/Cases/Trask/Trask.html  Daniel Trask is Missing page on FB https://www.facebook.com/#!/pages/Daniel-Trask-is-Missing/141269306065266?fref=ts"
818312,frodobuggins,2013-11-13 23:32:00,127,I can't even imagine what this has been like. I wish you the very best in your search for Daniel and also for your piece of mind.
865127,trasker,2014-07-28 04:32:00,26,2014 update on our search for Daniel:2014 Updated flyer:  http://therucksack.tripod.com/MiBSAR/Cases/Trask/TraskPoster2014.pdfMibSAR Spring search results and upcoming search plans (Aug. 29 - Sept. 7): http://therucksack.tripod.com/MiBSAR/Cases/Trask/Trask.html#UpdatesCurrent Ottertooth thread: http://www.ottertooth.com/discus/messages/3/135293.html?1402189548Map of items found: 
919581,trasker,2015-06-11 18:40:00,26,"Bittersweet news, but we can now end our journey of uncertainty. For an update on the MibSAR search resulting in finding some remains of Daniel on May 24, 2015, news links, and the Celebration held on Sun. June 7, 2015, which is also Daniel's Birthday, go to the website page www.danieltrask.ca Thanks to all of you on this forum who have helped in keeping our message out there and supporting us to help find Daniel, greatly appreciated. Don and Maureen Trask"
919590,Gallie,2015-06-11 19:47:00,1215,Im terribly sorry for your loss.
645114,TJQ,2011-12-03 15:47:00,7806,"Dan Trask is missing in the Temagami area, I thought I would post a link to ottertooth.  http://www.ottertooth.com/discus/show.cgi?tpc=3&post=15999#POST15999"
645131,Joey,2011-12-03 17:40:00,9122,"Wow, that really sucks TJ.  I read the whole thread on Ottertooth.  I sure hope they find him!"
645135,Skipper D,2011-12-03 17:57:00,1970,Make ya wish you could do some thing to help .
645154,Dozer,2011-12-03 21:16:00,896,"Wow, its over month thats he's been missin... do hope things turn out well."
645162,Billy Bob,2011-12-03 21:49:00,5865,OMG.....PLEASE get the Volunteer Fire Fighters involved ASAP....NOW...I am a Volunteer Fire Police Officer and would have been the first there.....ACT NOW...PLEASE.
645177,NAW,2011-12-03 22:27:00,4022,"Most people don't know this, but Ontario has several Volunteer SAR teams.  I am very surprised I didn't get a call on this.  The OPP must think they have things under control. Or the OPP officer in-charge has something against volunteers..  That happens a lot  .  The OPP is very very hesitant to call in volunteers, even if they are highly trained, and certified.  Hey Billy Bob, volunteer firefighters in Ontario, at least the ones I've worked with, are not trained enough as they should be in Ground SAR.  They are great in the water, and ice, but when it comes to bush whacking, not so much.  Ontario is a little messed up when it comes to utilizing willing volunteers."
645179,misfish,2011-12-03 22:29:00,29133,Nick I was wondering if you were going to get a call on this one. How did your search on the weekend go? PM me.   Hope all turns out well.
647038,trasker,2011-12-10 14:37:00,26,"Thanks TJ for this post and the link to ottertooth, where all information and leads are being reviewed by the OPP, every piece of informtion helps to put this puzzle together.   www.ottertooth.com  forum under Temagami.  Daniel has been missing since Nov. 3rd.  Only sightings were his car being found on Red Squirrel Rd on Nov. 11; a clerk who believes he bought fresh produce (fruits and vegatables) from the Temagami grocery store on Nov. 3 or 4, and that he asked for a map at the gas station on Nov. 4.  He is believed to be in Temagami backcountry.  Ground, air and water searches of the area have been conducted serveral times, but no sightings to date. "
647041,trasker,2011-12-10 14:48:00,26,
647042,Ralph Field,2011-12-10 14:53:00,1018,I hope all turns out well for everyone concerned.
647044,trasker,2011-12-10 15:03:00,26,"Hi, I'm Daniel's mom, Maureen.  We have been working closely with the OPP for ground, air and water search efforts.  This includes the Bear Island Police doing shoreline water search.  The problem is we don't know exactly where he is.  OPP have also done ground search with dogs, as well as Daniel Cyr from Massey, who volunteered his dog (Hunter) search services several times, and he plans to continue again.  We were fortunate to have an expert of this area, Hap Wilson assist with OPP ground and air search efforts.  They are now waiting for snow, will then decide if another flyover is doable, looking for tracks or signs of Daniel.  My husband, Don, is retired from Kitchener Fire and our older son Adam, is a full time firefighter there now.  Everyone is willing to do a search, but I have to agree, these are specific search skills for getting through the bush.  My husband has been up twice assisting OPP with search ang providing information about Daniel, where he might go.  He too checked out various vacant cabins with a friend, not an easy trek, a definite learning experience for them.  Daniel was up there most of the summer canoeing, portaging, living on his own in the bush - but winter is a different story, and he has no communication devices and no information was shared with us before he left, big puzzle for us to put together !  Daniel is very resourceful and can likely find a place and edible plants to feed on.  However, we are very concerned for his safety and well being, we need to know he's OK.  Please get our message out to trappers, prospectors, snowmoble clubs or winter hiking clubs who may be in this area, every set of eyes will help.  We understand that others want to help, but searching through this area must be done in a coordinated way to be most effective and ensure the safety of the volunteers.  Any thoughts/ideas would be appreciated, tks."
647050,bassman87,2011-12-10 15:40:00,586,good luck and prayers be with you and your family
647051,Skipper D,2011-12-10 15:41:00,1970,"  Thank you Maureen for bringing us up to date , we will be watching this thread closely ."
647065,Rich Clemens,2011-12-10 17:28:00,3131,Sure to hope he is found safe and sound - and very soon.
647070,trasker,2011-12-10 17:56:00,26,
647072,trasker,2011-12-10 17:57:00,26,"Hi:  I'm Daniel's mom, I've been asking if there was professional search and rescue coordinator, would love to know more, contact me via email, thanks."
647088,fishing n autograph,2011-12-10 18:56:00,2540,"i'm not sure for volunteer search teams, but I can email my search commander tomorrow morning when I get to work. I'm sure he'll have some information.  If you want his contact info, please pm me."
684395,trasker,2012-04-06 19:32:00,26,
684397,trasker,2012-04-06 19:34:00,26,"Hard to believe Daniel is missing for 5 months now.  We are hoping for the ice to be out soon, so we can do shoreline searches and checking spots where we believe he may be, it's such a large area though.  If you can remind the spring fisherpersons to keep an eye out for Daniel, greatly appreciated.  I should also mention that the Sudbury SARs team (work with the military) did an air ""training"" exercise in mid Jan. to search for Daniel, 6 planes, 12 searchers, but negative.  Conditions were exceptional, couldn't be better, but no signs.  Thanks again to those who are going out of their way to search for our son."
684399,trasker,2012-04-06 19:48:00,26,
684400,trasker,2012-04-06 19:51:00,26,"Hi:  I see you are from Kitchener, we are actually in Waterloo, Daniel was living with us before he went missing.  We are in the process of planning a spring search, so any help from your search commander would be appreciated.  You can email me any contact info at [email protected]  thks."
705832,trasker,2012-06-14 17:07:00,26,
705833,trasker,2012-06-14 17:17:00,26,"NOTE: We have updated Daniel's flyer (attached) since his winter clothing was found on May 20, 2012.  Paddle with Purpose: If you are in the Temagami Diamond or Lady Evelyn lake areas, please be on the lookout. What to look for and what to do if you spot anything is detailed on the revised flyer, thanks for your help in our continued search for Daniel.  The Ottertooth forum will continue to be updated with information and leads: http://www.ottertooth.com/discus/discus.cgi?pg=next&topic=3&page=71257   "
706483,ch312,2012-06-17 04:22:00,1590,let's keep this one up top.
706514,Live2fish85,2012-06-17 12:39:00,1633,I agree with ch312. I read the entire post on ottertooth forum. Hope he is ok but sounds like he was doing this out of the love of nature.  Hope someone finds him and makes sure hes alright.
