919182,leaf4,2015-06-09 12:49:00,2466,1850 tyee with the motor trimmed in + swing tongue fits
919287,jtracc,2015-06-09 23:35:00,97,"Yup 6% -5% for duel axle trailer.  That's what my shorelander trailer owners guide says, I'm not a trailer expert but if that is what my trailer manufacture is saying....  Not trying to get into an argument here I'm just saying that's what shorelander says and that about 98% accurate to what I have. So...."
919289,Bondar,2015-06-09 23:56:00,817,"I though it was 6% as well ,but a quick goggle is showing that I learned something new today"
919291,glen,2015-06-10 00:02:00,2641,One time I had a flatbed single axle trailer and the stuff I was hauling didn't  fit.  I only had a few miles to move the 2000 lb load so I put it on but it was pulling up at the ball.  Everything was fine till the one time I went over 40 km ph. That trailer went crazy tring to jackknife.
919300,DRIFTER_016,2015-06-10 00:42:00,10439,"Yup 6% -5% for duel axle trailer. That's what my shorelander trailer owners guide says, I'm not a trailer expert but if that is what my trailer manufacture is saying.... Not trying to get into an argument here I'm just saying that's what shorelander says and that about 98% accurate to what I have. So....  Didn't know it was a dual axle."
919381,Mister G,2015-06-10 16:12:00,1429," Good point; I think the new Evinrudes add a foot or more compared to other motors. Not really, when I ordered my new boat back in early March the dealer and myself measured a 90hp Yammy on a boat and a 90HO E-Tech and really could not see much if any difference. I would think that a regular 90 hp might be even less in length but we did not measure that motor."
919060,LeXXington,2015-06-08 19:26:00,1928,Hi All:  Does anyone store their boat (bigger than 15’) inside a regular city sized double car garage?  I heard you can fit bigger boats if you put the boat in on an angle.  I am looking into a bigger sized boat but I need to make sure I can store it at my house and up to what size will fit?  thanks
919062,Walleye72,2015-06-08 19:40:00,156,"I store my Tracker Proguide 162 on a shorelander trailer in my garage because the trailer has a swing away tongue.  The boat, with motor mostly down and almost touching the wall just barely fits.  I have a couple of inches of clearance at most. I was delighted to find that it fit when I got it home.  I will measure my garage floor from back to front and let you know how deep it is.  I'm gonna say a swing away tongue is a must though.  Edit:  The length of the garage is 19 feet 6 inches of usable space.  It's a double car garage and is 18 feet wide."
919063,lew,2015-06-08 19:55:00,12766,Any chance you can bumped the back wall of the garage out a few feet Paul ?
919064,buick14,2015-06-08 19:57:00,741,21 feet total front of tongue to back of motors longest point for me.........fits on an angle in a standard 2 car garage.  Most 1 car garages are like 20ft long with an ~8ft opening......
919066,Whopper,2015-06-08 19:58:00,2174,"Paul my 17.5 footer fits in my two car garage, no angle needed. I even bought a trailer with a swing arm and it wasn't needed"
919071,kickingfrog,2015-06-08 20:17:00,8333,"Hard to say definitively, an inch or 2 can make all the difference. Some of the newer houses have very small garages. Measure your door width. Measure the depth of the garage and you've got something to work with."
919073,LeXXington,2015-06-08 20:34:00,1928,"LOL, Lew.. I spoke to my wife about expanding it but she was unwilling to let me reduce the size of the kitchen..  I figured I could make a cabinet about the same size of the outboard and you won't even notice but she would not go for it."
919074,lew,2015-06-08 20:40:00,12766,"LOL, Lew.. I spoke to my wife about expanding it but she was unwilling to let me reduce the size of the kitchen..  I figured I could make a cabinet about the same size of the outboard and you won't even notice but she would not go for it.  Wives just don't understand the real important things in life Paul"
919075,glen,2015-06-08 20:46:00,2641,Maybe you can add on to the front of the garage.  I take the transom saver off and tilt the motor down for more space.  A bit of a pain but ok.
919076,LeXXington,2015-06-08 20:48:00,1928,"Hard to say definitively, an inch or 2 can make all the difference. Some of the newer houses have very small garages. Measure your door width. Measure the depth of the garage and you've got something to work with.  ahh for an extra inch..  Yea the newer houses the garage keeps getting smaller.. I see the new ones are at 19.8 /10  double is 40/20 hate to buy the new boat and it not fit"
919077,Terry,2015-06-08 20:49:00,14456,"my 18ft  lund takes up both sides of my double car garage and its on an angle , folding tongue .... just fits"
919079,LeXXington,2015-06-08 21:03:00,1928,Thanks Terry.. Do you have the Tyee?  If I squeeze it all in I am hoping to have room for a Snowmobile
919082,Terry,2015-06-08 21:20:00,14456,impact
919085,fishnsled,2015-06-08 21:35:00,3520,"A buddy of mine has a 17ft skeeter with a 75 and swing away tongue, it fit but just a couple of inches at either end.  He has a double garage.  Measure everything 20 times and you shouldn't have to cut that hole in the kitchen....but mistakes can still happen..."
919087,spincast,2015-06-08 21:45:00,3279,"17.5 Starcraft, 115 and a 20. With swing tongue and motor down I can get it across pretty easy and still have access for it as a main entrance Look at my PA day post and you should get a good idea. During the winter we can get the truck and the van in with room to walk between ( so long as I park at least one of them, anyway:: )  Not to get too technical, but you could draw it to scale?.  - rectangle for the garage, triangle for the boat . lay the triangle over the rectangle. Mineis a full 2 car garage though - lots of newer homes are promoted as double car, but really only a car and a half. We had to add width and depth when we built to get the full two car."
919089,jtracc,2015-06-08 21:55:00,97,"My fish hawk 1750 with 115 opti fits in mine with tongue folded away. I have a 22ft deep garage and there is room to spare. The problem is the width.  At 96"" beam plus trailer there is literally less then one inch on either side. Takes me 15 min to back my boat in."
919092,davey buoy,2015-06-08 22:01:00,5505,Try Tiffen Barrie about 2pm on a Sat.Your doing well !!!!!
919093,DRIFTER_016,2015-06-08 22:02:00,10439,My 18' Fisher with 115 is about 1' too long to fit in a 10'X20' portable garage. If the tongue folded it would probably just fit.  So I have 2 garages joined together to give me 10'X40'!!!! Plenty of room now and I can even work on stuff!!!
919106,irishfield,2015-06-08 22:57:00,26272,I put my boat in the garage Paul !! Buy the snowmobile first.... thanks ! ...
919132,John Bacon,2015-06-09 01:27:00,3277,"LOL, Lew.. I spoke to my wife about expanding it but she was unwilling to let me reduce the size of the kitchen..  I figured I could make a cabinet about the same size of the outboard and you won't even notice but she would not go for it.  Better to beg for forgiveness than to ask for permission."
919139,chimpboy_to,2015-06-09 02:56:00,27,"Thanks Terry.. Do you have the Tyee?  If I squeeze it all in I am hoping to have room for a Snowmobile  I have an 1800 Tyee, it does 'just' fit in my double garage, it's 20'10"" long with the swing tongue. You could probably get a snowmobile in, but it would be a very tight fit.  Good luck!  Andrew"
919157,Mister G,2015-06-09 10:20:00,1429,"My fish hawk 1750 with 115 opti fits in mine with tongue folded away. I have a 22ft deep garage and there is room to spare. The problem is the width. At 96"" beam plus trailer there is literally less then one inch on either side. Takes me 15 min to back my boat in. BINGO............my brand new 179 WT Polar Craft with a 90 high output E-Tech (it's really a 115hp  that's detuned to a 90) fits length wise pretty well with about 6"" to spare (swing trailer). HOWEVER, it has only 4"" (2"" on each side) to clear the garage door and I have to be VERY careful or crunch goes the boat trailer and garage door opening. ALSO it only has about 3"" to clear the garage door with the windshield when hooked up to the truck.  I was going to just get a 16 footer instead of the 18' but the dealer said it uses the same 102"" wide trailer...........so I might as well fill up the trailer, eh !"
919166,aniceguy,2015-06-09 11:49:00,1094,"I have a 19 1 boat with a swing tongue I tried every conceivable way to do it bought go jacks to move it side to side, no use at all, ended up doing an addition to make it fit"
919167,Rizzo,2015-06-09 11:49:00,4754,"I had the same issue...garage at 19'8"" in a newer house. Measured the boat/motor a wack of times before buying and was able to get a 16'8"" Alumacraft in with a swing-tongue trailer. I also have to trim the motor down. Sometimes even the make of the engine can affect total length...each of them has a slightly different shape I believe, might be able to shave an inch or 2 depending on brand!"
919168,Rizzo,2015-06-09 11:50:00,4754,or turning engine to the side may buy an inch or two as well
