918858,Dan668,2015-06-07 00:07:00,1120,"Try cross,  i caught some really nice fish there last year. Sort of out of the way though."
918662,Stef,2015-06-05 15:01:00,63,"The West Arm will be somewhat different than West Bay for fishing simply because the water is generally deeper here.  I'm a walleye fisherman and don't target Musky but I used to in the 70's and early 80's in Georgian Bay, Ottawa River and the French.  My Muskie tackle and some baits reflect that period and it was trolling mostly as we didn't have the reels of today for casting.  Still, I get a lot of incidental fish when I go for pike or have pickerel chewed up pretty bad trying to get them away from a hungry Musky.  The Top 50 pike tournament is tomorrow here and I'm in it, checked out some spots yesterday and formulated my attack plan, seem to get a Musky every second year or so during the tournament and am not happy when it happens because getting them in and released uses up time..."
918669,lew,2015-06-05 15:44:00,12766,"seem to get a Musky every second year or so during the tournament and am not happy when it happens because getting them in and released uses up time...  Funny, but I'm just the opposite.  Never target pike but can't keep the silly things away some days when I'm looking for a musky. It always amazes me how those little snot rockets will hit a bait darned near as big as themselves    Good luck on your tourney tomorrow."
918709,Rich Clemens,2015-06-05 18:45:00,3131," Oh yeah, there's always a back up plan. LOL  That purty 50 incher in my avatar came off a rock point near Muscrat. Hmmmmmmmm.   I mayknow which point you are referring to.   She's gotta be REAL BIG by now"
918712,bow slayer,2015-06-05 19:10:00,1074,"I am trying to free up a couple days to go visit my dad and do some fishing next week,he lives on the lake in Lavaigne,if I do make it  i will let you know how the weeds are shaping up."
918714,misfish,2015-06-05 19:15:00,29133,"Pike, the other bait fish,,,,,,,,,,,,,,,right Lew  You two have a great time up there ."
918717,doubleheader,2015-06-05 19:28:00,497,"Rich, As Frank Burns once said, ""It's nice to be nice to the nice""   West Arm Rider if you want to give up some of your pickerel haunches in the west arm to a broken down old man that can hardly see............ I'm your guy.   Have a great day all."
918718,lew,2015-06-05 19:45:00,12766,"Appreciate that bowslayer, we stay just a few miles south of lavigne   Hmmmmmmmm.   I mayknow which point you are referring to.   She's gotta be REAL BIG by now  Yup, you know EXACTLY where I'm taking about Rich, go get her !!"
918719,Rich Clemens,2015-06-05 19:46:00,3131,"Pike, the other bait fish,,,,,,,,,,,,,,,right Lew  You two have a great time up there .  Brian:  You will notice that Lew is holding that Pike as far away from him as he can"
918721,misfish,2015-06-05 19:50:00,29133," Brian:  You will notice that Lew is holding that Pike as far away from him as he can  Straight arm hold  Yup, it looks huge."
918758,lew,2015-06-05 22:58:00,12766,Doesn't take much to turn a 1 pounder into a brute
918764,esoxansteel,2015-06-06 00:26:00,1307,"Id call it a firemans cradle, oh I forgot, retired firemans cradle"
918831,John,2015-06-06 18:49:00,2956,Maybe time to try the spot you and I scoped out last year Lew? At least for one day?
918843,lew,2015-06-06 20:01:00,12766,"Maybe time to try the spot you and I scoped out last year Lew? At least for one day?  Yup, it's already set up John, Regan & I are heading up.  Just have to watch for that crazy detour we almost missed in the channel when the 4 of us took made the trip."
