841723,Beans,2014-03-17 15:12:00,3339,I'm not sure if even her mother would mind that crew anymore Cliff...
840773,misfish,2014-03-11 22:41:00,29133,"Sorry you will not convince me that stuff is good. Joe ran into town and got us a tray and the first 3 bites were heaven and the 4th one just hit me wrong. The 5th one was my last.   Art   Well it,s no red beans an rice,(still my fav)"
840799,bigugli,2014-03-12 02:50:00,6138,"Sorry you will not convince me that stuff is good. Joe ran into town and got us a tray and the first 3 bites were heaven and the 4th one just hit me wrong. The 5th one was my last.   Art Can't be any worse than the chili  cheese fries they serve up in the States, or butter biscuits and canned gravy"
840813,motv8tr,2014-03-12 08:27:00,2587,"I'd enter, would love to try a fly in some day, but alas there is no one willing to stay with my current crew for one day let alone 4  Good luck to all who have entered Maureen"
841040,Big Cliff,2014-03-13 16:54:00,6899,"Moe I love you dearly but even I wouldn't be willing to do that for you if you did win, besides, I'm going to win anyway so I wouldn't be here to do it for you!"
835044,bigugli,2014-02-07 05:33:00,6138,Boy would that be an experience.
835050,adempsey,2014-02-07 06:47:00,1498,"Nice to see a contest like this!  BTW, who's the ""One additional person in attendance""?  Your body guard?"
835051,chris.brock,2014-02-07 07:01:00,4053,"it's in the fine print- it's the ""doesn't shut-up, thunder snoring, annoying, nudist guy"",  so don't bother entering"
835057,solopaddler,2014-02-07 11:56:00,8605,"Thanks again everyone, and good luck to all!   Nice to see a contest like this!  BTW, who's the ""One additional person in attendance""?  Your body guard?   Good catch! It was originally going to be Aaron Shirley but OOD nixed that idea because of a conflict with their own Angler And Hunter Television. Then the host of that show Mike Miller was going to join but sheduling wouldn't allow it. Then they discussed Ray Blades joining me. Ray is the managing editor and an avid angler himself.  At this point it's not sure yet who'll join me. I dropped all the details for the contest in their lap on Monday and they've scrambled to get things up and running for the Sportsman's Show, with just this ""one"" detail not ironed out.  Rest assured whoever it is will be a welcome addition to the group."
835132,Brettiop,2014-02-07 19:18:00,279,"Thanks again everyone, and good luck to all!     Good catch! It was originally going to be Aaron Shirley but OOD nixed that idea because of a conflict with their own Angler And Hunter Television. Then the host of that show Mike Miller was going to join but sheduling wouldn't allow it. Then they discussed Ray Blades joining me. Ray is the managing editor and an avid angler himself.  At this point it's not sure yet who'll join me. I dropped all the details for the contest in their lap on Monday and they've scrambled to get things up and running for the Sportsman's Show, with just this ""one"" detail not ironed out.  Rest assured whoever it is will be a welcome addition to the group.  If you have trouble finding someone, I guess ill volunteer to be the second guide...."
835152,aplumma,2014-02-07 21:11:00,6896,Read the finer print it says the other person is going to be someone from Hamilton Virginia USA.     Art
835158,misfish,2014-02-07 21:30:00,29133,10*2-5=?  Is this  10 x 2-5=?
835159,BillM,2014-02-07 21:31:00,17367,"You got it.  Remember, BEDMAS"
835160,Roy,2014-02-07 21:33:00,13728,"Yes, the asterix is a multiply sign but be careful....there are no brackets."
835161,Roy,2014-02-07 21:33:00,13728,"You got it.  Remember, BEDMAS  That too!"
835162,misfish,2014-02-07 21:34:00,29133,"LOL I maybe a newfie,but I can do math.LOL  Answers 56.   Thanks Mike for putting this out there.  Good luck to all that enter."
835165,spinnerdoc,2014-02-07 21:42:00,556,This will be an awesome trip for sure
835168,highdrifter,2014-02-07 21:54:00,2534,Brian..  that's a linear equation...  You'd have to do the multiplication before the substraction...  10*2-5.. (10 X 2) - 5 = 15!!  How the heck did you 56?!?!
835189,misfish,2014-02-07 23:08:00,29133,Brian..  that's a linear equation...  You'd have to do the multiplication before the substraction...  10*2-5.. (10 X 2) - 5 = 15!!  How the heck did you 56?!?!  Yer not from my parts are ya? LMAO
835211,Pikeslayer,2014-02-08 00:38:00,1443,Newfmatic.
835220,BillM,2014-02-08 01:39:00,17367,Brian..  that's a linear equation...  You'd have to do the multiplication before the substraction...  10*2-5.. (10 X 2) - 5 = 15!!  How the heck did you 56?!?!  Even I got the newfie sarcasm!!!  LOL!
835547,Paulus,2014-02-10 18:16:00,522,"it's in the fine print- it's the ""doesn't shut-up, thunder snoring, annoying, nudist guy"",  so don't bother entering  Gee guys, thanks for the heads-up! I guess I don't need to let my wife know that I'll be part of the group, since you already spoke to her about it, right Mike?    p.-"
835581,solopaddler,2014-02-10 21:46:00,8605," Gee guys, thanks for the heads-up! I guess I don't need to let my wife know that I'll be part of the group, since you already spoke to her about it, right Mike?    p.-   Would love to have you along Paul (and that goes for every one of my OFC friends!)  The magazine will ultimately decide though.  Regarding the newfie sarcasm, you guys wouldn't believe how many people messaged me about the skill testing question LOL!"
835582,misfish,2014-02-10 21:53:00,29133,  I wonder if Dave (fishfarmer) got the same answer as I? LOL
835584,Gallie,2014-02-10 21:54:00,1215,"It would be a really nice trip, especially in the fall"
835621,Acountdeleted,2014-02-11 01:25:00,2562,I'm in. I'd love to bring my grandfather to something like this. I think if the two of us went we would just sleep in the boat.
835655,Entropy,2014-02-11 03:27:00,747,"My first question was .... ""Who is Mike Borger, and why would I want to go fishing with him?""  I don't consider myself new, care to fill me in?  Ignorant I'm sure, but honest none the less.  Can I take my Father or Son or Daughter?"
835659,BillM,2014-02-11 03:35:00,17367,"My first question was .... ""Who is Mike Borger, and why would I want to go fishing with him?""  I don't consider myself new, care to fill me in?  Ignorant I'm sure, but honest none the less.  Can I take my Father or Son or Daughter?  I guess you don't read many trips reports here"
835662,Fish Farmer,2014-02-11 03:45:00,2234,"Quote from Misfish: Gezz bro, I can't help you out, I was in the work force at age 15 Good job the figures weren't any higher, had to take my socks off, good job I have all my toes and fingers. 10X2 =20-5=15 Make this homer feel good Mike, did I get-er right. My Quote tab doesn't work???"
835663,solopaddler,2014-02-11 03:52:00,8605,"My first question was .... ""Who is Mike Borger, and why would I want to go fishing with him?""  I don't consider myself new, care to fill me in?  Ignorant I'm sure, but honest none the less.  Can I take my Father or Son or Daughter?  There's probably many people who don't know who I am, although I'm somewhat surprised that a regular on this board wouldn't.  As far as why you'd want to fish with me at Anjigaming, I'm used to guiding people and think I have a pretty good rapport with most. I've been to this lake in September before and am 100% dialed in as to where the giant walleyes are. There are good numbers of 10lb plus trophies in this lake. I would certainly do my best to make sure the trip is a success for everyone involved.  As per the rules laid out by OOD you can bring anyone you like as long as they're an Ontario resident and age of majority.  Cheers"
834904,solopaddler,2014-02-06 20:17:00,8605,"    Hey everyone I'm pleased to announce a great new contest Ontario Out Of Doors magazine is offering in conjunction with myself and Park's Fly In Fishing in Chapleau.  Two lucky winners will join me at Anjigaming Lake in late September for 4 nights - prime time for trophies!  This trip includes air transportation from Toronto to Timmins then ground transport to the airbase, so no long drives.  You can find all the details here:  http://www.oodmag.com/contests/fly-in-fishing-contest/   Good luck to all, and if anyone would like more details from me directly don't hesitate to drop me a line.   Cheers,  Mike   "
834908,solopaddler,2014-02-06 20:38:00,8605,"Forgot to mention, the trip along with the winners will be featured in a piece in the magazine!"
834909,fish_fishburn,2014-02-06 20:39:00,1311,hmmm not sure  about the skill testing question.
834911,kickingfrog,2014-02-06 20:41:00,8333,"hmmm not sure  about the skill testing question.  One fish, two fish, blue fish?"
834914,Whopper,2014-02-06 20:50:00,2174,Well rule #9 rules me out
834915,Jds63,2014-02-06 21:04:00,1365,Hey that fish looks familiar  ... do OOD subscribers get to enter more than once ? ...
834916,bronzeback,2014-02-06 21:04:00,30,Trip of a lifetime for someone for sure.  My entry submitted as fast as I could type.
834918,Cosmos,2014-02-06 21:13:00,588,"Done, thank you for sharing Mike"
834920,bare foot wader,2014-02-06 21:21:00,1354,"dang, that sneaky #9...  cheers to the winners, maybe we'll see the report posted here"
834922,solopaddler,2014-02-06 21:32:00,8605,"Thanks guys, and good luck to everyone! And yes Julian, that fish should look familar. You know better than anyone what this lake is like in late September!    Well rule #9 rules me out   dang, that sneaky #9...  cheers to the winners, maybe we'll see the report posted here   Truly sorry about that guys. I promise you the next one will include everyone!"
834927,T-Bone,2014-02-06 21:38:00,160,"Two quick questions with regard to Rule #9:  What does ""age of majority"" mean? At or higher than the average age of the entire population of Ontario? [Just kidding there, but I really have no idea what that means...]  What if you're from Quebec, the States, etc.? Not eligible?"
834929,kickingfrog,2014-02-06 21:49:00,8333,In Ontario age of majority is 18.
834932,RickOnt,2014-02-06 21:59:00,669,"Mike   ConGrats on getting this done!   Its gonna be ""GOOD""   Cheers Rick  "
834935,solopaddler,2014-02-06 22:03:00,8605,"Two quick questions with regard to Rule #9:  What does ""age of majority"" mean? At or higher than the average age of the entire population of Ontario? [Just kidding there, but I really have no idea what that means...]  What if you're from Quebec, the States, etc.? Not eligible?  Two quick questions with regard to Rule #9:  What does ""age of majority"" mean? At or higher than the average age of the entire population of Ontario? [Just kidding there, but I really have no idea what that means...]  What if you're from Quebec, the States, etc.? Not eligible?  18 or over in Ontario bud, and the contest is only open to residents of Ontario.  (I'm guessing I may be apologizing more than once or twice for that!  )"
834936,solopaddler,2014-02-06 22:04:00,8605," Mike   ConGrats on getting this done!   Its gonna be ""GOOD""   Cheers Rick      Thanks Rick!"
834937,aplumma,2014-02-06 22:11:00,6896,I found the loophole only the contestant has to be from Ontario the guest can be from Hamilton Virginia USA...hint hint....   Thanks for the contest OOD and good on you for having Mike as a guide he is aces with me.   Art
834939,Whopper,2014-02-06 22:23:00,2174,"Kind of funny I rarely ever win anything, although I did win something from OOD a few years back. I'm good Mike  Good luck to those who enter"
834941,Handlebarz,2014-02-06 23:09:00,3790,That is awesome congrats mike
834980,moparhawk,2014-02-07 01:39:00,146,One of a very rare contest worth entering. I'm not eligible but wish all of you good luck. Just imagine the fun and comradery.
835004,DRIFTER_016,2014-02-07 02:25:00,10439,I would enter but having to spend a week in a boat with you again............................ Plus I'm gonna be in Alaska chasin' fishes.
835007,solopaddler,2014-02-07 02:33:00,8605,No need to enter if you want to fish with me. Just haul your rapidly shrinking butt back to Ontario.
835009,AmongU,2014-02-07 02:34:00,10,I'm in!  This is really kinda cool.  Cheers!
835010,DRIFTER_016,2014-02-07 02:37:00,10439,No need to enter if you want to fish with me. Just haul your rapidly shrinking butt back to Ontario.   Or you could haul yours to YK.
835014,BillM,2014-02-07 02:48:00,17367,"I think a YK trip is in order, lol."
835036,TJQ,2014-02-07 04:30:00,7806,Good job!
