443635,tb4me,2010-03-14 04:48:00,3295,hey how do I use google earth hybird? I thought it was a pay service?
444084,packrat,2010-03-15 20:27:00,93,"""used to be tons of chubs, rockbass, smallmouth and suckers""  Still is, its just that MOST of the time its combat fishing at its worst and my personal opinion is its not the place to try to teach a youngster how to fish.  You obviously lucked out to have the pad to yourself."
444133,brifishrgy,2010-03-15 22:08:00,559, I believe I was on continental shifts then so it would have been during the week .. almost every time down there during the summer months we were the only ones there
444158,jackal68,2010-03-15 23:25:00,68,"Pakrat is correct about ""combat fishing"" Some days you go there and you jump back in the car. They also changed the layout after teenage boy drowned crossing the damn. Plus u need to take three pounds of jigs due to all the snags.lol I used to live just down the street from wilkes"
444416,jackal68,2010-03-16 17:46:00,68,Went for a short road trip to waterford. Checked it out! Some guys were there already. They gave me the 411 on bass as well. I cant wait for the warmer weather
444417,CRAPPIE,2010-03-16 17:54:00,213,Are they ice fishing there in Waterford of shore fishing on open water? Thanks!
444420,bassman87,2010-03-16 18:08:00,586,why are people still mentioning ice fishing?
444432,ch312,2010-03-16 19:34:00,1590, because in many places there is still safe ice once you manage to get off shore without getting wet. ill take a drive out to waterford tomorrow to see whats going on.
444472,raptorfan,2010-03-16 21:40:00,126,I am hitting up waterford tonight for some crappie and panfish with the kids.....will post a report later
444489,jackal68,2010-03-16 22:49:00,68,open water at the culvert. No hits on the lines though
444539,raptorfan,2010-03-17 01:38:00,126,"Yup, as caribou said, I think the ice will be completely gone by thursday, barely an inch left where I was fishing, and the one pond was already clear.  No hits tonight, about 8 people fishing blueline bridge and no one was getting into anything.  Lots of swells though, and geese too"
442984,jackal68,2010-03-12 17:26:00,68,Hi guys I am new to this forum. I was wondering if anyone could tell me where to go crappie fishing (from shore) around the Brantford area please?
442998,Dondorfish,2010-03-12 18:17:00,1000,Try either side of the bridge that crosses the Holland River on #11. Few more weeks and the place will be packed with crappie hunters.   Don
443002,bow slayer,2010-03-12 18:26:00,1074,I think he meant Brantford not Bradford.
443005,Dondorfish,2010-03-12 18:29:00,1000,LOL - sorry guy's - time to clean the glasses!  Don
443117,vinnimon,2010-03-13 00:15:00,2593,"Waterford is the closest around branford,for all year round fishing.Crappie make there way up the grand come spring time.As for waterford, there are quite a few lakes/ponds to choose from.Binbrook is another as well as mountsberg resevoir."
443204,jackal68,2010-03-13 02:59:00,68,Where could I get more info on waterford? My bait store doesnt offer a lot of help
443238,dannyboy,2010-03-13 04:27:00,367,"If they can't help you use the bait they sold you find another bait store as they will be out of business shortly anyway.  Head south on 24 out of Brantford, turn east on Mechanic Road after about 1.5 k you will start to see the ponds, or carry on one road further to Thompson and turn left, fish in the fishy looking spots.   Dan"
443272,skinny,2010-03-13 11:53:00,442,I fished the ponds a ton last summer but mostly for bass there was always people there fishing for crapie i fished the ones off Mechanic  mostly
443274,vinnimon,2010-03-13 11:57:00,2593,Mechanic rd is your best option for crappie.
443281,tknohpy,2010-03-13 12:10:00,162,I have never fished Crappie before.  When do you start fishing for them?
443308,brifishrgy,2010-03-13 13:44:00,559,"Mohawk Lake in Brantford has some crappie in it ..there are a few spots off shore from Grenwich st or from Mohawk park ..  just look out for the shopping carts, broken bottles and used syringes .. oh and dont eat the fish"
443319,jackal68,2010-03-13 14:57:00,68,"Funny i took a ride out there yesterday. And your right dont eat the fish. Thanks Massey,And sunnoco"
443320,jackal68,2010-03-13 14:58:00,68,Thanks guys
443323,jackal68,2010-03-13 15:12:00,68,"Ok forgive me! I was looking at mapquest and I see the old 24 runs through town. I am assuming its the new 24 that you turn right on Mechanic st? Secondly these ponds are ""crown"" land?."
443471,jackal68,2010-03-13 20:39:00,68,bump please
443473,tributaryhunter,2010-03-13 20:54:00,108,IN THE TOILET LOL
443474,vinnimon,2010-03-13 20:57:00,2593,"Usegoogle earth hybrid.On mechanics rd between rr 24 and hwy 24, and you will see the town and a couple of bridges.And I do beleive its mostly crown land except for R/V adventure.There are some huge bass in those ponds as well.5 lbs was my largest in there but not the biggest I caught in the ponds in that neck."
443477,tknohpy,2010-03-13 21:15:00,162,I see what looks like ponds at 24 and Maple Ave?  Am I at the right place?  Can someone add GPS coordinates?
443479,vinnimon,2010-03-13 21:25:00,2593,"Funny Guy Seem like it though, doesnt it?"
443482,vinnimon,2010-03-13 21:29:00,2593,"42 deg 56 min 02.63 sec North 80 deg 18 min 36.83 sec West Or just go to googles eath Hybrid map and punch in waterford, ontario, canada Simple! You will see the ponds on mechanic rd and tompson rd. "
443485,vinnimon,2010-03-13 21:36:00,2593,"Now zoom in at the bridge on mechanics rd, between the 2 ponds.Thats where you will park your rod and butt for some crappie fishing.NOT CRAPPY FISHING  But for some crappy  ,pike and bass as well. I hope that helps."
443501,skinny,2010-03-13 22:38:00,442,i've never done crappy but if the time is right i would meet you  I'm not too far from the ponds
443618,dannyboy,2010-03-14 03:29:00,367,Jeez next thing they'll be asking for the names of the fish!  Dan
443627,vinnimon,2010-03-14 03:59:00,2593,"Luwie, Stuwie and Chuwie.Oh and dont forget about Chumie.Chumie was a sick minnow that was adopted by the three brothers parents.Papa Fluwie and Mama Truwie.Well Chumie had issues growing up.He stole from the rich as well as the poor.Your baits and strategies werent safe with Chumie lurking about.He was mean indeed,you name it, he chewed them off all right.Rapalas, krocs,frogs,mepps,you name it, he collected it.  Well  Dannyboy, you got names and a breif history.Shall I go on? I couldnt resist Kinda of a Saturday late night funny, Eh! Shall I continue?"
443634,ch312,2010-03-14 04:25:00,1590, 5.5lbs for me  
