761166,ah_long,2013-01-21 08:08:00,354,"for low HP motors, why not go for the pirhana props instead?"
760864,welderman44,2013-01-20 11:18:00,3,"Mike  That prop should go on no problem, around here I sell aluminum props to Honda owners all the time, lots of rock here. The 40 50 and 60 hp will use the same prop, just in different pitches. We replace aluminum Honda props with Yamaha because Yamaha is easier to repair, SS props on the other hand repair very good. When in doubt look for an NMPA shop.  DB."
760867,Terry,2013-01-20 11:58:00,14456,"people don't understand modern ss props it's like the guys who tell you not to store your battery on cement old info and not valid anymore  well same with ss props  as far as I know all   newer ss props have the rubber hub in them that breaks easier then the aluminum on your aluminum props so there is no damage to the rest of your engine ss props are the way to go, unless you are hitting rocks daily"
760872,lew,2013-01-20 12:26:00,12766,I bounced my SS off rocks twice on the West Arm of Nippissing last summer and it survived both hits with nothing more than a bit of road rash.  I blame the 1st hit on Tybo and the 2nd on Art....that's my story and I'm sticking to it
760888,aplumma,2013-01-20 14:07:00,6896,Well if you hadn't been drinking and trying to show me how fast the boat could go we would have never run OVER that island. It was not the little rash on the prop that was bad it was removing the pine trees from the rub rails that made it a pain in the butt.   Art
760891,lew,2013-01-20 14:18:00,12766," Yer right Art, I should lay off those COKES when we're going warp 7"
760892,RangerGuy,2013-01-20 14:19:00,564,"I'm look'n to put a stainless on my 75 hp Yamaha this year.  I've heard some shops will let you try a few to find the right one.  Anybody know of such a place?  Also, what's the average price for 16 & 17"" ss prop.  I'm think'n on a merc 3 blade SS with the flo torq lll hub kit. I'm just not sure what model to get."
760895,lew,2013-01-20 14:47:00,12766,"Greg, I've heard it said that an SS prop won't make much difference on motors under 100 HP, but I'm no expert and perhaps someone will chime in that knows for sure."
760899,davey buoy,2013-01-20 15:00:00,5505,"In my experiance,there not good with I/O drives either."
760914,RangerGuy,2013-01-20 15:35:00,564,"Hi Lew,  I've heard that as well. I not looking for performance improvements just more bow lift and less prop cavitation.  I had to lift the motor another hole (now its on the 3 hole down) to get the cav plate 1/2"" above the bottom of the hull which should get my cav plate just above the water when running.  Currently I have to trim almost all the way just to get some bow lift.  Talking to some guys in walleye central they say Yamaha props are stern lifting props and merc are bow lifting. Not sure if there is any truth to it, that's why II want to try one before dropping 500+ on a prop haha!"
760950,mike rousseau,2013-01-20 17:30:00,4661,Thanks everyone  The dealer ended up throwing in an aluminium prop for free so there was no need to use the stainless I already had....  And he explained that there are no performance gains with a stainless prop on a 50hp...
760952,BillM,2013-01-20 17:34:00,17367,I'd like to know if a SS prop on our Yami 115 would be worth it or not...
760956,mike rousseau,2013-01-20 17:40:00,4661,From what I understand the more HP the more gain you get with a stainless.... Apparently the prop flexes on high HP motors witch means  loss of energy at the prop....
760960,BillM,2013-01-20 17:44:00,17367,"Our Lund definitely isn't a speed boat, I don't know if I need anymore mph out of it really (I can hit 49mph in it now by myself)"
760962,Terry,2013-01-20 17:45:00,14456,on my 90 hp merc  a  ss prop gave me 5 mph more and totally stopped the bow from bouncing up and down at speeds over 30 mph with the aluminum prop I was riding a bucking bronc ...
760973,RangerGuy,2013-01-20 18:04:00,564,"I've heard the same about the SS props.. They have much more bow lift. I was talking to a guy who lives in high altitude, and was loosing a lot of power on his Merc 75 hp 4S. Same boat as mine 18' Alaskan but his is a single console where mine is a tiller. With my extra weight in the back I thought bow lift would not be an issue but it is.. I can only get the front 1/2 of the boat out of the water even when alone and my cav plate was still just slightly under the water when running unless I fully trimmed out.  He said once he lifted to the 3rd hole down and put a SS Merc prop on he barely has to touch the trim to get all but the last 1/4 of the hull out of the water. So I can imagine with the right prop I probably will have to barely trim at all to lift my tiller out of the water  I'm pretty much at the max performance, I can hit 6000rpm and run 38mph gps by myself with a full tank of gas and between 35 & 38 with 2 people and my dogs (65lbs each), which is confirmed on my phone and Garmin 278c. This is plenty fast for me  LOL!  I would really like to try a SS before investing the cash tho.."
761021,wormdunker,2013-01-20 20:48:00,1711,Kawartha prop repair will test your boat with different pitch props so you will get the optimum performance.  I believe they charged me $150.00 for this service.  They are located in Buckhorn.  Give them a call.  Hope this helps.
761024,GYPSY400,2013-01-20 21:00:00,191,"I only have a 30 merc, and I'm looking into getting a SS prop.. Marginal gains, but gains much the less."
761044,glen,2013-01-20 21:55:00,2641," ""And he explained that there are no performance gains with a stainless prop on a 50hp...""  I know for a fact that he is wrong."
761055,aplumma,2013-01-20 22:26:00,6896,On my 150 the SS gets me 7 mph but most importantly it rides flat and on the back pad just where it should be. It is a Ranger 1985 365.   Art
761111,RangerGuy,2013-01-21 01:17:00,564,It does help thank you :-)
761164,mike rousseau,2013-01-21 07:49:00,4661, Care to explain then?  We are a trying to learn about props... If your gunna say someone is wrong... You should say WHY he's wrong... So we can learn...     Also  Anyone that experienced performance gain with a SS prop... Was it the exact same pitch and diameter of your aluminum? Or different specs?   ...
