972580,Moosebunk,2016-06-06 13:19:00,3970,Beauty Brian!  And the Meeger makes some great lures.
972393,Terry,2016-06-04 19:50:00,14456,"  see, relax...I got the net in plenty of time lol"
972395,misfish,2016-06-04 20:00:00,29133," see, relax...I got the net in plenty of time lol  LOL Buddy, yes you did."
972409,Old Ironmaker,2016-06-04 21:18:00,8243,Brian your name and a Meegs are synonymies. I have caught exactly 1 whitefish in my entire life many Moons ago on Bear Creek on Nippising. It tipped the scales at 9 freakin' pounds and the Ontario record was 10 something then. It was the largest fish to date in my novice fishing career around 1980. We didn't even know what it was until we asked a neighbour to ID it and weigh her. I have to admit it wasn't entirely legal as I was having a nap in the cottage when I caught it.
972411,chris.brock,2016-06-04 21:29:00,4053,"Beauty tank laker Bri!  I wonder what the story about loosing half its tail.  I've never heard of using an ice rod for open water jigging, what's the advantage?"
972412,misfish,2016-06-04 21:39:00,29133,"Beauty tank laker Bri!  I wonder what the story about loosing half its tail.  I've never heard of using an ice rod for open water jigging, what's the advantage?  Thanks bud  It,s my set up for the toon, so it,s what I used today. I will say though, it gives the same feeling as when ice fishing. Movement wise. Although, I was using the same jig on a 6.6 UL Ugly stick last weekend and still got fish.LOL  Those R-Type rods have some major back bone. I have 4 now, and love them."
972415,manitoubass2,2016-06-04 21:53:00,11391,"Id imagine using an ice rod for jigging in a toon would be alot of fun! And save alot of space, increase mobility"
972417,misfish,2016-06-04 21:58:00,29133,"Id imagine using an ice rod for jigging in a toon would be alot of fun! And save alot of space, increase mobility  Space for rods is not a problem. I have rod holders behind the seat. I,ll be adding 2 more before the bass season opens."
972418,manitoubass2,2016-06-04 22:02:00,11391,So whats with the ice rods? Just for vertical jigging lakers and whities?
972419,misfish,2016-06-04 22:04:00,29133,So whats with the ice rods? Just for vertical jigging lakers and whities?  WINNER
972420,chris.brock,2016-06-04 22:08:00,4053,"  I've got way more hours vertical jigging lakers on an ice rod rather than a long rod in a boat, so there's a comfort factor there too  this could be a new trend"
972423,manitoubass2,2016-06-04 22:12:00,11391, Watch it catch on and ice rods get up to the $80/$90 dollar range???
972429,chris.brock,2016-06-04 22:23:00,4053,"There could be some money to be made on this, the bass guys likely NEED 3, 3.5 and 4 foot drop shotting rods to cover all their bases for all circumstances"
972430,manitoubass2,2016-06-04 22:43:00,11391,Lol
972444,spincast,2016-06-05 00:18:00,3279,nice one .... you'll know that one if you find him again...
972501,shimano19,2016-06-05 19:50:00,196,"I caught one with the top of the tail missing 2 ice seasons ago, was wondering myself what could have caused it "
972524,Meegs,2016-06-05 22:15:00,249,Way to go Brian.  Your on fire!!!
972527,kickingfrog,2016-06-05 22:26:00,8333,Interesting to see a similar injury of 2 different fish.
972569,manitoubass2,2016-06-06 09:09:00,11391,"Is it possible these fish are in an area competing for space with pike and or muskie?  Ive seen pike take a swipe at other fish, not to eat them, but just kinda a ""hey, this area is mine"" type a thing"
972574,shimano19,2016-06-06 11:54:00,196,That's the first thing I though of was a pike since this laker came out of 25fow. It looks pretty fresh to
