558368,idapaul,2006-06-12 19:22:00,82,need to shoot them not hang them . save the hemp for smoking
558359,pikemike,2006-06-12 15:49:00,95,">Okay, you're right. I'll ignore all future requests for >information on this topic. >The guy's post sat here for hours with nobody responding. >Thought I'd respond. No more. :boohoo:"
558361,Rlcrouse,2006-06-12 17:48:00,286,"Got back last Sat. and didn't get checked either way. While we were there we were told about the increased activity, but either we missed out or it was just a rumor."
558365,Guest,2006-06-12 18:26:00,0,I had to bring a relative to the US for medical treatment in the spring. I had to go through a full check by US customs right back to where I was born. It was very comprehensive and although I felt uncomfortable I was not afraid. I had a feeling some profiling was going on. I have dark skin and had been away for some sun in the winter. With whats happening these days the border guards have their hands full...... I pray our government does the right thing with our home grown group in Toronto this past week. I'd like to see treason charges and a length of good Manitoba hemp.......
558367,Guest,2006-06-12 18:35:00,0,Oh...I'd like to see the same hemp used for reporters who inflame the situation and make these guys out to be hard done by. We have troops in harms way in Afghanistan..........
558128,Guest,2006-06-06 20:36:00,0,"Last week crossing into Canada at International Falls, checked license and a couple of questions, crossing into USA,they were checking everyones trunk. That was different then the past few years, but there were no lines to get in."
558134,jigman 2003,2006-06-07 07:07:00,981,"Okay, I fail to see how my first response was impolite. I offered information regarding his question and how to deal with border checks. I'm thinking there's a little thin skin around here."
558138,Guest,2006-06-07 07:41:00,0,It was a simple enough question....he didn't deserve to take any flak over it. Kind of a rabid response.
558139,jigman 2003,2006-06-07 07:56:00,981,"""What's to worry about? If they check you, they check you. Don't break the law and you have nothing to worry about. Plan a little extra time into your trip in case you get stopped and searched."" ""Why ask if you're not concerned? Yes, border checks have increased. It's been that way since 9/11. Each year it seems to get a little more intense. No big deal, just part of the trip planning."" Those are rabid responses, eh Gord? Guess I'm a mad dog gone wild. Sorry if I offended anyone, especially the newbie. I guess I'm just a little too ""rough talking"". I'll try my best to play nice in the future."
558140,Guest,2006-06-07 08:40:00,0,"in answer to your question, yes. nothing really increased on the way into canada. drivers license and the standard questions. lots more scrutiny on the way back home. and longer lines. at least that's my experience the last couple of years."
558143,Guest,2006-06-07 09:25:00,0,">What's to worry about? If they check you, they check you. >Don't break the law and you have nothing to worry about. Plan >a little extra time into your trip in case you get stopped and >searched. Don't bring any of your eggs, milk, or meat back across the border from Canada (not even jerky). Had a nice long visit with and agricultural inspector last weekend."
558154,Guest,2006-06-07 14:26:00,0,"<""Why ask if you're not concerned?> Yep... he must be guilty and trying to hide something. SHEEESH. Do you work for homeland security??"
558155,jigman 2003,2006-06-07 14:46:00,981,"Unless I'm mistaken the reason you ask questions about border checks is because you want to know if something you are taking is prohibited, you plan to take something that is prohibited, you want to know where you can get a list of things that are prohibited, you want to know if there will be backups, etc. All of things show CONCERN."
558158,Guest,2006-06-07 15:41:00,0,Or you want to get an idea of how long it will take you to get through customs.
558159,Guest,2006-06-07 16:06:00,0,And maybe Just curious?
558105,CH47,2006-06-06 08:54:00,29,"I've read some recent posts around the net about increased frequency of border checks (both directions). Has anyone noticed anything recently? Thanks in advance, CH47"
558106,jigman 2003,2006-06-06 09:20:00,981,"What's to worry about? If they check you, they check you. Don't break the law and you have nothing to worry about. Plan a little extra time into your trip in case you get stopped and searched."
558110,CH47,2006-06-06 11:27:00,29,Don't think I said anywhere that I was worried did I? Just curious.
558112,jigman 2003,2006-06-06 11:50:00,981,"Why ask if you're not concerned? Yes, border checks have increased. It's been that way since 9/11. Each year it seems to get a little more intense. No big deal, just part of the trip planning."
558113,CH47,2006-06-06 12:06:00,29,Wow. Why ask any questions on this or any other board?
558114,jigman 2003,2006-06-06 12:41:00,981,"You ask questions to get answers about things you are concerned about or that you need more information on. I gave you the information you sought. This topic has been dealt with here ad nauseum. If you do a search for border checks, hassles at the border, border crossings, etc. you will get all the information you want and more. Sorry if you take offense, just sick of hearing about this stuff."
558115,Guest,2006-06-06 12:59:00,0,Don't read his question if you're sick of them. I'm never worried about the 15 - 20 minutes it takes if I get checked. It's the 3 mile line waiting to see if I will be checked that gets on my nerves.
558116,jigman 2003,2006-06-06 13:08:00,981,"Okay, you're right. I'll ignore all future requests for information on this topic. The guy's post sat here for hours with nobody responding. Thought I'd respond. No more."
558126,Guest,2006-06-06 19:37:00,0,Good idea to pass. It was a good question and deserved a polite answer!
558127,Schief79,2006-06-06 20:30:00,11,"Two of us crossed near Thunder Bay today, and had a nice conversation about where we were going and that was about it. Never even had to show any type of ID. He knew as we drove up where we were from by the plates on the car. Easiest time I have ever had crossing the border. Usually cross at Internation Falls. Go Navy. Schief79"
