592167,lew,2011-06-12 09:35:00,12766,"Atta boy Wayne, good to hear you finally got it out !!"
592423,danc,2011-06-13 03:23:00,4677, Your call Bud. Here's how they look in mid Sept around a full moon. There's one of these out there waiting for you. That pectoral fin is almost 5 inches long.  
592425,irishfield,2011-06-13 03:27:00,26272,You had to eh... how am I gonna sleep tonight now?
592555,mpt,2011-06-13 17:22:00,158,"Congrats IF, finding and fixing the valve issue is icing on the cake. It took me a month to get a stripped lug nut off of a minivan and the joy when it comes off is unexplainable."
592561,bigbuck,2011-06-13 18:00:00,2449,"Good Job!! Most people would have not bothered to keep at it. Your a good man Charlie Brown!! I hope your son appreciates the trouble you went to get that thing running so he could use it. You are right in one of your earlier posts, this is an incredible community, you had some real good advice from a lot of different people."
592564,Terry,2011-06-13 18:05:00,14456, now you're just rubbing it in with pictures of fish like that  why are photos allowed on this site anyways......
591827,irishfield,2011-06-10 23:56:00,26272,"3"" recessed hole Dan. The 5.4 litre removal tool was your better idea! LOL I can get same from the local Ford dealer if I need it."
591828,vinnimon,2011-06-10 23:56:00,2593,"I may have to make an inquiry Thanks Cliff . We deal with a lot of stainless, and its a pain is rear to get screws out to change a light on a unit. I like using castles liquid torch, it works better than most Ive tried."
591835,vinnimon,2011-06-11 00:12:00,2593,"Not to be an just my 2 canadian cents worth For anyone thats wants to weld something to the plug, wedge something in, be perpared, you will have another issues to deal with. A broken bit is enough headaches. There is a guy in the hammer that specializes in this. And he is good at it. He has warned what not to do, just in case. And what to do. If it was not an engine block or a cylindar head, I would say go for it. Damaging the threads in any manner could cause a plug bow out or a compression leak.   "
591839,spinnerdoc,2011-06-11 00:35:00,556,Have you tried heating the plug red hot then spraying wd 40 at it to cool it down rapidly and to penetrate into the threads? This is a trick that works like a charm at our shop when it comes to taking ceased up bolts.
591877,Muskieman,2011-06-11 02:38:00,2472,Eh!....  try using SEAFOAM  I'm kidding...  try using Iodine instead of the Branded Penetrant .. like Releaseall.. Break Away...ect.. Iodine is 100% better put it in a spray bottle...  Good Luck..  
591883,dhickey,2011-06-11 02:49:00,1038,Hears what I do. get a torques key 1/16 smaller than the outside diameter of the siezed bolt.(aprox +/-) Drill a pilot hole as close to centre as posible without going through the plug(you know best) Then drill a hole 1/16 smaller than the closest thread on the head(should be about 3/8) dont go through. Taper the torques just enough to make the pionts look like wedges. Heat the plug to the piont it becomes soft(malluable). Then quickly drive the torques into the plug DO NOT REMOVE!!! (heavy hammer 5 to 8 hits you will know best) Put tapping fluid on it Go have lunch .(cool down) It should spin out without doing any damage to the threads.  Hope this helps. Problems like this outside the shop are trying at times. Good luck.  
591887,irishfield,2011-06-11 03:01:00,26272,Don... all that is left is the outer plug thread and the neutral electrode. It's already hollow..
591891,tedley,2011-06-11 03:08:00,36,"I like to use a snapon 3/8 drive  torx as an easy out, tap it into plug to cut the torx grooves into the plug. wiggle to remove torx, then heat with torch, and cool with a water hose, reinstall torx work back and forth ,should come out, if not repeat heat and cool again. Good Luck"
591892,irishfield,2011-06-11 03:11:00,26272,You spray water into a cylinder Tedley?
591900,dhickey,2011-06-11 03:33:00,1038,Drill out and retap.? Or try driving the torques in then remove it put it back in(no force) and hopefully it will start turning.  Hard to say without being there and seeing it?   
591906,mrpike,2011-06-11 04:10:00,151,Lot's of heat and  use your EZ-OUT . Just make sure its really hot you may only get one shot at it. And make sure you got the EZ- OUT in good before you give it a turn.   GOOD LUCK WAYNE.    O and vacum out after you get it out .
591909,OhioFisherman,2011-06-11 04:32:00,6623,"Looks like a project to me, the last time I fooled around with a broken bolt I drilled a hole in it and took a 1/8 carbide cutter and put it in a dremel and cut almost to the threads in a few spots, then put a took a tap and started it in the hole and the bolt fell apart.  You don`t have a lot of room to work there though, and given your location no idea how hard it is for you to find carbide cutters in unusual shapes or lengths.  Cast iron cylinder head? excessive heating or cooling could cause more problems? cracking? and assuming the piston is aluminum?  Duct tape over the end of a vacuum hose and push a small diameter plastic hose through should allow you to clean out metal chips or filings? and since you have a bore scope? You could also use a thin piece of metal like a brake line to blow air into the spark plug hole to suspend any chips and vacuum at the same time to remove them? A small magnet might also work on suspended chips?  Good luck Wayne!"
591935,misfish,2011-06-11 11:07:00,29133,"Ok Wayne up and at it. Im sure it,s soaked enough now.  Good luck."
591936,skinny,2011-06-11 11:20:00,442,here is a trick I have used many times on old Volkswagens all you need is heat a candle and prob in your case a easy out. heat it up and run the candle around where the thrads match. this will wick the wax into the thread. Then you need a method to turn the plug protion out be it a easy out gently taped in as to not expand it or tap the out side with a chisel. might sound od but I have used this method several times with great luck.  Tobad we are not closer I have the Left drill bit too and extra long easy outs also a long helicoil install kit for spark plugs (got it to do VW's without pulling tin off
591944,fishnsled,2011-06-11 11:50:00,3520, Never had to pull a broken spark plug before but almost think I could now. Yep best fishing forum on the net. Lots of knowledge here.    And some not so useful help but funny as all hell.  Good one Randy    Most likely is Brian but perhaps a longer soak was decided upon. That way he could sneak in a couple of hours of fishing first. I hope that is what happened.
591961,Tybo,2011-06-11 13:29:00,1373,HEAT WRENCH AND TAPERED EASY OUT. you already have the hole threw the threads.heat just the threads.Since it can't expand it will contract on it's self. I have taken out way more with a torch then  having to drill. Use this way to take out broken bolts and inner races. Use liquid wrench.It's non-flameble.
591964,tomO,2011-06-11 13:47:00,363,Try cutting a potatoe in half and sticking it on the plug and turning. Wait thats for a broken light bulb!
592072,Uncle Buck,2011-06-11 23:03:00,1000,your snap on easy out set... is it this one?    http://buy1.snapon.com/catalog/item.asp?P65=&tool=all&item_ID=77413&group_ID=1262&store=snapon-store&dir=catalog  this has saved me more time then i can remember...
592084,Handlebarz,2011-06-11 23:33:00,3790,Wow no reply from Wayne yet I wounder how many pieces his keyboard is in. Hope it went well for ya today Wayne
592106,Guest gbfisher,2011-06-12 00:49:00,0,Did ya get it done yet? Tuesday and Sat look good.
592107,misfish,2011-06-12 01:03:00,29133,Leahs keeping him busy.
592113,irishfield,2011-06-12 01:19:00,26272,"I just came in... been out there since 9am other than 20 min for supper, Leah brought out my lunch! Don't need another day like that.. half of it pouring rain while I worked on the damn thing. My own fault... don't let your machinery sit idle, it does it no favours.  Well I used almost everyones suggestions... even Randy's although the Seafoam went in the tank to hopfully clean up a leaking carb float needle.  Penetrant soak over night... torched it to glow red... put my EZ-out in it and if I turned it any harder I knew that EZ-out would shatter. Heated it again... and tried the quick cool with Liquid Wrench. EZ-out.. same deal.  Put my thinking cap on.. no fun working down a 3+ inch recess. Since the neutral tip was still in place I took part of a cotton ball and pushed it tight to the tip to seal the remainder of the plug. Drilled about 1/2 the wall thickness away almost to the very end and the cotton ball kept all the chips out of the cylinder. Remove cotton ball... heat again and tried the EZ-out again... NO JOY  Went for broke... drilled to 7/16ths... 15/32 would have been right to the thread roots. Heated it again.. hit it with Liquid Wrench.. hammered the EZ-out in and it came out so easy that I thought the EZ-out was just spinning.  Vacuumed out with a 3/8 tube.. borescope and then cranked over so it could blow anything out I missed.  Got a new set of plugs from CTC... match what came out anyhow.. NGK V - power GR4 Good thing they sell them in pairs at CTC and that I have a spark plug cleaner / tester. Only 3 plugs good out of 4... good thing it's a 3 cylinder!  Spent from 3pm to 7pm building up weld beads to fill all the rust out holes in the exhaust manifold. If anyone's worked on these things the intake and exhaust manifold is a combo.. and they rot out because people don't throw a can over the exhaust outlet to keep the rain out.  Still not done with it... has a point/condenser issue making it tempermental. Now to find a point set for a 3 cyl gas.....  THANKS for all the suggestions lads, every one of them had merrit... even the Potato Tom!! "
592117,dhickey,2011-06-12 01:29:00,1038,Nothing like a good hammer /heat and somthing to grab the garbage with?  good job.
592119,vinnimon,2011-06-12 01:31:00,2593,
592154,fishnsled,2011-06-12 03:53:00,3520,
591793,irishfield,2011-06-10 23:02:00,26272,"In all my years of wrenching on engines (since I was 13 years old) I've never had this happen (and why I always put antiseize on plug threads).  Working on getting my JD350 dozer going so my son can grade his lot and of course the one plug (out of 3) that wasn't firing was seized in place. Couldn't turn it with a 3/8 ratchet.. so of course I hit it with the 1/2"" and broke it off. Looks like about 1/2 inch of thread section left in the head.  I've sprayed some penetrating oil at it... and thought I'd come here and ask the mechanics what their plan of attach would be! I'm figuring maybe an EZ-out.. but with it being about 3inches recessed I don't know....  Thanks!  "
591798,aniceguy,2011-06-10 23:08:00,1094,"thats a tough one dont think and easy out will work you might be stuck drilling it out and having to re tap the hole, but risk enlarging it..go have a beer and think it through"
591799,irishfield,2011-06-10 23:11:00,26272,That's the delema... can't drill it without putting chips on top of the piston. If the EZ-out slips.. same deal. Sure don't want to pull the head on this old beast. The recessed hole is so damn tight that I had to taper grind the end of my thin walled 13/16 plug socket even!
591801,Terry,2011-06-10 23:17:00,14456,could you hammer in just the right size chisel or screwdriver into it and unscrew it  any room to add a spot wield to it and the chisel once it's hammered in tight 
591802,Bernie,2011-06-10 23:19:00,3190,"There appears to be a lot of material on the wall of that plug Wayne. I think I would apply some penetrating fluid on it, let it soak in for a day or two. I might hit it with the torch to break the thread rust-locked to the block. Then use an easy out. I like the Snap-on tapered easy outs for spark plugs. Haven't had one yet I couldn't get out."
591803,irishfield,2011-06-10 23:19:00,26272,"I figure it was so rusted in I couldnt' turn it and going bigger broke it off. I heard this happens a lot with some Ford engines, hoping Bernie jumps in soon.. I sent him a PM. I'm afraid of the extra pressure of an EZ-out hammered in expanding it and making it even tighter to get out."
591804,misfish,2011-06-10 23:20:00,29133,"Wayne  If you can,try to turn it back down using an ezyout. If not,drop a few drops of tapping fluid to the threads and let it soak abit. Give the fluid time to seep in. Then use the ezyout to get it out.(Up, down, up, down)Im sure it,s just some rust thats built up .  What ever you do,DO NOT TRY TO DRILL IT OUT AND RETAP.Im sure I dont have to tell you why and what will happen."
591805,irishfield,2011-06-10 23:22:00,26272,And there he is! Thanks Bernie... thought about hitting it with the torch as well. That's the only way we ever get juniors lug nuts off his Ford Focus... otherwise the studs snap.  I have a set of Snap on EZ-outs... I'll spray again before going to bed and try it tomorrow.
591806,misfish,2011-06-10 23:23:00,29133,Did we all type at the same time.LOL
591807,irishfield,2011-06-10 23:24:00,26272,Thanks Brian and Terry.. Louis.. Anyone else that stumbles in post post.
591808,Bernie,2011-06-10 23:27:00,3190,If you need to drill (sometimes we need to) Put it at the top on compression stroke. We made an adapter that fits on the end of a vacuum cleaner that reduces it to a thin wall hose that fits into the cylinder and vacuum it out. Then we verify we got it all with a borescope.
591809,irishfield,2011-06-10 23:29:00,26272,Okay thanks Bernie.. I have a flexible borescope!
591810,vinnimon,2011-06-10 23:30:00,2593,"  Ive been there before , but you have easy access to it. You will need a left hand drill bit, one that cuts in reverse for starters( one thats about 1/16 to 1/8 of an inch smaller than the max diameter of the plug) . A shop vac, and reduce the hose end to reach inside the cylindar bore. You already have a guide at the plug. A thin magnet. A can of Liquid Torch. A very good small sharp pointed chisel and a small hammer( just in case). Ive been lucky on a few cat. detroit 55 and 60 series, cummins and volvo engines with the same issue, except they were fuel line fittings seized in the head. Most times the heat generated from the left hand bit frees them up As for easy outs, I find most of them expands what your trying to free up. Snap on has the best Ive used.If it moves then use the easy out. Just my 1.9238 american cents worth."
591811,SBCregal,2011-06-10 23:31:00,688,putting grease on the drillbit helps with trapping the shavings as well
591812,ketchenany,2011-06-10 23:33:00,3229,"I' m not the sharpest tool in the shed, but could you not  drill into it and 'lock'  . . .  glue etc.  the bit, after it sets try to nudge it out? Hope all goes well Wayne! I did a snow blower two years back almost with the same PITA and after 2 days it was freed. Didn't snap it but it was close.  hate to have to take it apart.  A."
591813,irishfield,2011-06-10 23:34:00,26272,"About the only thing I don't have in my arsenal, of multiple roller cabinets, is left hand bits Vince. I always mean to grab some one day.. but it never happens!"
591814,JeffBornFishin,2011-06-10 23:36:00,260," Here's an old school trick. Put the problem cylinder at bottom dead centre. Next take some small diameter hemp rope or equivelant and fill the cylinder with it to the base if the plug hole after soaking the rope in water. Now you have two options. Carefully drill the thing out and now you don't have to worry about cuttings going into the cylinder. If that's a no go heat the broken portion with oxy/aceteyne. Once its nice and hot use a wide blade heavy duty slotted screwdriver, chisel or eazy out with plenty of non flammable liquid wrench. Then carefully try removing the stubborn broken off plug.  You get better results if drill the bulk of the broken off piece out first then try heating/removing the leftover. It will tend to split and come apart easier.  The rope keeps crap from getting into the cylinder. Once you get the stubborn piece out, take a shop vac and put it over the hole and draw out the rope.  Don't worry about damaging the threads in the head too much, a heli-coil kit works wonders."
591815,Bernie,2011-06-10 23:36:00,3190,Sometimes if it's accessible with a die grinder I use a small bit and cut a slot almost to the block threads. This will reduce the pressure of the plug thread to the outside. This also allows the use of the easy outs.
591816,irishfield,2011-06-10 23:38:00,26272,Thanks everyone... I'm gonna have an El Dorado Silver Deluxe or three ... and get on it in the morning!  A broken plug wasn't what I needed after 6 hours of working on it in the woods to finally get it to fire (while being eaten alive the whole time) and then running enough to at least move it to the hangar.
591818,vinnimon,2011-06-10 23:40:00,2593,"  If theres an auckland granger store around, im sure they will have it. usually open till noon on saturdays. ps those bits are extremely expensive."
591819,irishfield,2011-06-10 23:42:00,26272,"Thanks! And many wonder why OFC is the most successful/busiest ""fishing"" forum on the net! LOL"
591820,Big Cliff,2011-06-10 23:43:00,6899,Wurth has a product that freezes things to -40 or something close to it. I have used it to undo bolts that I didn't think would ever come undone. I wonder if it would work for you in this case. Give them a call.
591822,misfish,2011-06-10 23:44:00,29133, Good call Bernie. That will allow the thread to collapes abit and allow for a much easier take out.
591823,aplumma,2011-06-10 23:45:00,6896,Just had to do this one on a bolt. Soak it with a light lube and then a 1/4 extention chucked up in a hammer drill. Run it in reverse for the vibration factor for a few minutes a few times. Wash off with brake cleaner to remove the oil then try to see if you can stick weld an piece of square stock on the top of the plug base. Vacuum any spatter and re apply the oil  then put the square stock into a socket and use the hammer/hand impact extractor.  Don't mess with it till Saturday so it has time to soak.   Art
591826,PERCHER,2011-06-10 23:54:00,787,If you have the room take a mig welder and weld a bolt to it>then heat the plug and remove it with a socket. Just an idea. Dan
