540477,Ivy,2004-06-09 11:33:00,556,I believe it's your Duty to drink Beer!!!! What was the question again? Ivy
540365,Guest,2004-06-06 07:55:00,0,Buy from the locals ..they appreciate it. There are many here who rely on the business. Ontario is looking at changing their restaurant rules where you can bring your own beer and wine with you to the restaurant. Some of the posters would sure want to do that if they ever eat out. You'll save a dollar maybe two and that's significant if you tally right to the penny.
540368,Guest,2004-06-06 08:31:00,0,Just imagine the beer the fishermen would consume and the money that could be driven into the Canadian economy if it weren't illegal to drink a beer at a shore lunch on the lake and then transfer the empty back to camp. You get cauhgt with emties in your boat and you'll get a fine. No drinking in the boat or at a shore luch outside your cabin.
540458,Alces,2004-06-09 05:14:00,35,"This is not the case in every provinces, in Québec, you can drink almost everywhere, anytime as long as the person operating the boat is not drinking. It is illegal to drink in a vehicule while it is in motion, but it is not illegal to drink in a boat while it is in motion, except for the operator. Beer: the proof (alcool %) in american beer is almost half the alcool volume in canadian beer. If youd american BUD says 5% proof and the canadian BUD says 5%Alcool volume, you have twice the alcool in the canadian beer than the american, which mean, instead of bringing 14 cases of american BUD, you buy 7 cases of canadian BUD and get drunk faster and it is also cheaper in the process...."
540309,BB,2004-06-04 16:09:00,15,"How much duty is on a case of beer? Is it worth bringing more than the allowed 1 case of beer? Do you have a better chance of getting searched if you bring more beer than allowed? Or do you simply tell them how much you have, pay the duty, and go on your way most the time??"
540330,BB,2004-06-04 16:09:00,15,"How much duty is on a case of beer? Is it worth bringing more than the allowed 1 case of beer? Do you have a better chance of getting searched if you bring more beer than allowed? Or do you simply tell them how much you have, pay the duty, and go on your way most the time??"
540310,Guest,2004-06-04 16:28:00,0,"Canadian has terrific beers. Not cheaper, but delicious."
540331,Guest,2004-06-04 16:28:00,0,"Canadian has terrific beers. Not cheaper, but delicious."
540311,Guest,2004-06-04 16:41:00,0,I did a little research on it. It appears that it is slightly less expensive to bring extra beer and pay the duty on it. Obviously there is a time savings because you do not have to hang out at the beer store. The Canadian beer is good though and often times has a little more alcohol.
540332,Guest,2004-06-04 16:41:00,0,I did a little research on it. It appears that it is slightly less expensive to bring extra beer and pay the duty on it. Obviously there is a time savings because you do not have to hang out at the beer store. The Canadian beer is good though and often times has a little more alcohol.
540313,68 starcraft,2004-06-04 18:09:00,32,"Just got Back: Bought 2 cases of beer from duty free store $14/case Bud Duty on the second case was about $5 If you buy your beer in the states and pay about $19/case you would not have to pay duty as long as you have the receipt for the beer. Cigarettes are a great deal $20/carton Remember you can not drink in a boat in canada we got checked and we had beer in the boat, lucky we had no emptys with us."
540334,68 starcraft,2004-06-04 18:09:00,32,"Just got Back: Bought 2 cases of beer from duty free store $14/case Bud Duty on the second case was about $5 If you buy your beer in the states and pay about $19/case you would not have to pay duty as long as you have the receipt for the beer. Cigarettes are a great deal $20/carton Remember you can not drink in a boat in canada we got checked and we had beer in the boat, lucky we had no emptys with us."
540318,retire55,2004-06-05 06:23:00,1029,You might benefit from the information posted at: https://www.walleyecentral.com/dc/dcb...e=search#32580
540339,retire55,2004-06-05 06:23:00,1029,You might benefit from the information posted at: https://www.walleyecentral.com/dc/dcb...e=search#32580
