369884,BillM,2009-08-05 17:42:00,17367,  Lots of places do exactly that...
369166,Billy Bob,2009-08-03 16:46:00,5865, I agree Roy with you 100% and unfortunately our government is also heading that way now..........
369168,Jer,2009-08-03 16:54:00,1426,"  I don't think Roy is disagreeing with you. The Nazis called themselves a ""socialist"" party as well.  Big business owns government (facism)...government owns big business (communism)...it all works out to the same thing...the little guy gets screwed."
369182,Fishnwire,2009-08-03 17:51:00,983,"  Calling yourself a socialist and implymenting socialist policies are two different things.  National Socialist Worker's Party sounded better than World-Domination-Bent Holocust-Creating Rascists.  One cannot look to the Nazis under Hitler as an example of socialism is my point.  It's an example of the total absence of socialist policy.  All I'm saying is that if you agree that big business has too much control over government policy making, and say it's a result of an ""ultra-socialism""...you're contadicting yourself.  I'm not a socialist myself or anything like that.  I just figure one should know his enemy.  You might feel we live in an ""ultra-socialist"" country because of things like Medicare, public education, and social programs...you could blame those things on socialism, but you simply can't blame big business' strangle-hold on policy on anything remotely resembling socialism."
369223,Billy Bob,2009-08-03 20:49:00,5865,Catering to the many special interest/minority groups while using (forcing) my money equals socialism in my eyes.........
369245,Jonny,2009-08-03 22:37:00,1380,"Back to the matter at hand... that being... we Ontarians should be well aware of the proposals that are going to be put in place re: this HST (tax).  It wouldn't hurt to make some noise about it while it still has not come into effect, and if it STILL does, remember who gave it to us!"
369292,Fishnwire,2009-08-04 02:18:00,983,From reading this thread it would seem an argument could be made that both the Conservative Federal government and the Liberal Provincial government are equally to blame.  Are you suggesting we vote NDP across the board from now on?
369301,Dara,2009-08-04 02:35:00,3052,"  My suggestion is to band together as a country and not give any MP or MPP a second term. A second term gives them a pension. If you want to be heard, let them try that on for a while.  Somehow we gotta make these guys understand that we can't afford anything more"
369326,Jonny,2009-08-04 05:19:00,1380,"As I understand it the HST is a policy that the federal Liberals brought into being. The Conservatives at least cut the GST by 2% from 7% to 5%, even though they're pushing harmonization.  What has McGuinty done for us? An expensive-as-hell health tax and now the HST. Too long in power --- time to kick him and the provincial Liberals out next chance we get.  But those who say we are replacing one bunch of crooks with another bunch of crooks have a point. The only thing we seem to have the power to do is make sure that one bunch of crooks don't get too comfortable."
369329,CLofchik,2009-08-04 06:10:00,854, Turned Ontario from one of the most robust economies in the world into a have-not province.
369332,Fishnwire,2009-08-04 06:33:00,983,"  It's not like the rest of the country (or world for that matter) is doing so hot right now.  I would never defend McGuinty but pretty much everybody who's been in charge in the last year or so was in the wrong place at the wrong time.  Liberals and Conservatives alike found themselves in the middle of an economic crap-storm and the best anyone seemed to be able to do was hold on for the ride.  I'm more interested in seeing who's able to pick up the pieces at this point, than point fingers at who screwed up."
369380,JohnF,2009-08-04 13:26:00,3494,"Friends should never argue politics with friends. The dirt rubs off and spoils otherwise good relationships. The smart move is to leave the politicians to roll around in the dirt with each other and spare the rest of us the stench. We Canucks are resilient and so far have been able to bounce back from whatever pollution the pols have brought down on us. For instance, paying too much tax is a small price for living here.  JF"
369406,Jonny,2009-08-04 14:26:00,1380," While all that is true enough, JF, it's part of what makes us so ""governable"".  Personally I can find many points of political agreement with friends, maybe not always on the party but on things like not leaving one party in power for too long. And many a political discussion over a hunting or fishing campfire has been enlightening and... I daresay... fun, as long as we know when to call it quits, which we seem to be good at.  Once in a while you run across somebody with too little sense. I recall a pheasant hunt where we had a new member to the group who wanted to talk politics - his politics - ad nauseam. He was basically ignored by the rest of us and was not invited back to the group the following year."
369610,JPD,2009-08-05 01:31:00,296,"This new harmonized tax won't help anyone except the government... businesses will have to charge more but it's not their money... their remittances will just get bigger every month... as for the consumer end of things.. I had the opportunity to talk to a PST Auditor while he audited my company and he even said that the $1000 rebate was bogus since it will cost the average Canadian household $5000 more per year!!!  The only thing that will be easier on the business end is the ease of remitting once rather than separately and for the businesses that have to track taxable items that fall into different categories like Tax Exempt, PST only, GST only or Both Taxes... Now I'm wondering what they are going to do with the liquor tax?  They are all crooks but somehow I think we as Canadians will find a way!  JP"
369663,CLofchik,2009-08-05 02:56:00,854," I'm more interested, now that whatever excess cash has been squandered during what passes for bountiful times, in who ISN'T going to screw me for my last dollar now that times are tough and every level of what passes for leadership is scrambling for cash.   If the Provincial and Federal taxes are harmonized as proposed, people in S.Ontario earning between 36k-80k/yr will be taxed around 60% of their income, and if they take advanage of every possible subsidy and resource will be lucky to see $0.30 on the dollar.  Just curious, but exactly how much of your money does the gov't have to steal before you'd say enough is enough?    Same as always, cheat.  I already do a ton of shopping on native reserves and the US, can't remember the last thing with a $100+ value I actually bought from an Ontario retail outlet."
369710,Chris,2009-08-05 11:40:00,405, That kind of thinking is what got us the tax burden we have now.....and will let things continue to get worse in the future.
368461,Jonny,2009-07-31 16:05:00,1380,"Fishing related? You bet!  The Harmonized Sales Tax (HST) that the Ontario goverment is commiting to means that many things that are currently exempt from Provincial Sales Tax (PST) will become taxable under the federal/provincial HST.  Among many other ramifications, it mean that any fishing gear we buy out-of-province or from the USA will become taxable at a higher rate. Currently we pay no PST on out-of-province purchases, only the federal  5% GST (Goods and Services Tax). Under the HST scheme we will pay 13% !  Don't forget about this at election time."
368472,TC1OZ,2009-07-31 16:19:00,987,I heard about this but haven't read anything from the government yet...  Is this a for sure thing yet?
368477,Jonny,2009-07-31 16:30:00,1380,"It was already announced in the provincial budget in April.  Here's an older news clip...  http://www.njnnetwork.com/njn/?p=6933  Note that it says that hopefully some business cost savings will be passed on to consumers.... wish us luck!  And McGuinty is adding a bribe to Ontario residents to smooth the acceptance --- so you know it's going to cost us plenty in the long run and he's trying to buy us off for the next election.  You'll hear only what they have to tell you from the Ontario gov't. The quieter they can keep things, the more they'll like it."
368478,Fisherman,2009-07-31 16:31:00,7201,"Hurry and stock up on everything now and save the tax down the road, although the taxman will probably come by and bone you anyway 'cause you had premeditated though of screwing him out of their share."
368483,TC1OZ,2009-07-31 16:40:00,987,All I have heard is a few stories on the news.  So I assume this isn't 100% then...?
368499,Jay T,2009-07-31 17:20:00,282,"Everyone needs to send this yahoo a message. I did and got back a bunch of crap, all this does is make it easier for businesses not the regular folks. As of July 2010 it will be in effect!!! Here is the link to send him a message  http://www.premier.gov.on.ca/feedback/default.asp?Lang=EN Like the government doesn't get enough taxes out of OUR pockets. Overload his inbox with messages, we need to speak up."
368506,Billy Bob,2009-07-31 17:38:00,5865,"Oh boy.......government spends $1.31 for every tax dollar collected........  Now guys, I am very near the boarder.....maybe I should set up a pick up site for you guys (fishing/hunting related only of course). You order and have the stuff shipped here. We meet and I get say 5-10% handling charge........"
368509,Jonny,2009-07-31 17:45:00,1380," It's 100% unless McGuinty thinks it could lose him an election. The agreement has already been made with the Feds.   Now there's an offer it could be hard to refuse, for guys on this board who live close to the border too!"
368516,TC1OZ,2009-07-31 18:05:00,987,"  Then we would have to smuggle over the border, if we get caught its way worse than paying 14%...."
368524,Dara,2009-07-31 18:17:00,3052," We have a depot for that here in Sault michigan. A dollar a package charge.   Lemme know what you want jocko, I send stuff to my daughter in North Bay all the time    You don't need to smuggle. Anything under a hundred bucks is no charge. Over that is minimal."
368529,jpmclean,2009-07-31 18:31:00,9,It will also affect things like RENT which they expect will have to go up on average between $180 and $300 depending on rent costs and how things like your insurance is set up through the landlord/corporation and how they will have to pay for the added expence for them also. It will affect Mortgages and Property Tax as well as far as i understand from what i've read into the subject  We definately all get screwed with this new tax.
368532,POLLIWOGG,2009-07-31 18:40:00,835,"This was pushed by the feds.  If I recall right the feds refused to collect pst at the border, the way it has been is that when you return from the U.S. you are supposed to figure out the pst on any U.S. purchases and remit the tax yourself. Now you can imagine how many actually do that. So to collect pst at the border they have to man crossings with a provincial agent or do the HST. As you are already required to pay the pst on U.S. purchases they can claim its not a tax hike its just a way of collecting tax owed."
368541,Jonny,2009-07-31 19:03:00,1380," Thanks!!!  I'll keep that in mind, especially if I run across something where the shipping charge is high to Canada or they won't ship to Canada."
368547,Dara,2009-07-31 19:27:00,3052,"  They are loosing a drop in the bucket at the border. This IS a NEW tax. It is a provincial GST We never had a service tax before  If they had any credibility at all, they would put it at 4 or 5 percent rather than 8. Thats what the maritimes did when they enacted this. They are hugely raising taxes. The rebate is a dangling carrot."
368669,POLLIWOGG,2009-08-01 03:50:00,835,I remember now.. the feds were going to hold back equalization payments unless the prov. did the hst.  Ontario has been trying to get a fairer share and hst was part of the deal.
368670,Dara,2009-08-01 04:10:00,3052,  even that wouldn't mean they have to leave it at 8% 4% would be a lot more fair
368697,Jonny,2009-08-01 12:37:00,1380,"As I understand it, the total tax rate we pay will remain the same, but we will be paying tax on a wider range of items, some of them quite costly.  Currently we pay 8% PST plus 5% GST (At least the Feds have reduced the GST by 2% over the last several years).  Under the HST we will pay a ""blended"" PST+GST of 13% --- the same total tax rate, but the blended tax will apply to things that were never taxed with the PST before... that's where the extra cost to us consumers will come in.  The Feds and the Province will be raking in more tax dollars with the blended HST than they did with the separate PST and GST. It's the typical shell game that gov'ts play with us to take more money out of our pockets without us screaming too much.  The best evidence that it's going to cost us considerably more is the bribe being offered by McGuinty, to the tune, if I understand it correctly, of a one-time $1000 ""rebate"" per taxpayer family (hush money) that we're supposed to be paid at about the time the tax comes into effect.  Like we don't pay enough tax already!  This article details some of it...  http://www.citynews.ca/news/news_33227.aspx"
368701,Beans,2009-08-01 12:55:00,3339,The most sickening part I find is the taxes on funerals goes from 5% to 13%  There shouldn't be any taxes on funerals in my opinion...How low can they (govs) go ?...
368728,Dara,2009-08-01 14:48:00,3052,"If you have a plumber come to your house, you will now pay an additional 8% on his labour bill. never mind that 50% of his bill is already a tax of some sort. employer health tax, wsib, and a host of other taxes a company has to add to an hourly rate above wages.  The part I remember is that to get elected McGuinty said NO New Taxes.  And the thousand dollar rebate will not apply to my family because there is a cap on houshold income to recieve it."
368731,mrdylan,2009-08-01 15:03:00,111,Pretty sure this starts in January does it not? This affects many things like Gas too which is already ridiculous.
368738,POLLIWOGG,2009-08-01 16:03:00,835,"Many years ago I was working and listening to the talk radio station and It might have been Harris that was giving a huge tax rebate and people would call in and say I'm buying a car or fridge or whatever with the money. Then someone did the math and it added up to something like 5 bucks. The sad thing is how much it costs to run all the different taxes and user fees and rebates. They could save a bundle with one tax no Bull user fees and rebates, spend the money and git er done."
368740,Fishnwire,2009-08-01 16:23:00,983,"I actually don't mind having to pay taxes...roads, schools and hospitals cost money...but if the government wants about half of my income, I'd like to see two things happen:  1) Don't waste my money on stupid stuff.  I worked hard for that money and if you're gonna take it away from me, do something constructive with it.  2) Tax wealthy individuals and profitable corporations at the same rate as I am taxed...give them the same amount of tax breaks and subsidies (which equals none) as I get.  This notion that the super-rich should be exempt from the burden of taxation because they ""create jobs"" or ""drive the economy"" is the biggest load of Bull and yet one of the most widely held beliefs.  You boss doesn't keep you employed out of the goodness of his heart, he does so because he makes a profit off your labour.  He can't ammass wealth without people to work for him.  If tomorrow he could figure out a way of letting you go, without affecting productivety, he would do it without hesitation.  The owning class is not owed a debt of gratitude by us working stiffs...it's the other way around.  Rant over.  (For now.)"
368744,Canuck2fan,2009-08-01 17:10:00,1444,"I like everyone here do not like to pay unfair taxes... For that very reason what I don't understand why all the anger is directed to the Liberals in Ontario. The Conservatives in Ottawa have been doing everything possible since they got in to make the HST in Ontario a reality. They have held back transfer payments and refuse to collect PST at the border. It also the FEDS not the provincial government who are going to foot the bill for the so called bribe, McGuinty stated that the HST would not go ahead without significant start up money from the Feds!!!! So why would Ottawa bribe us? Because they are going to reap billions from doing this too.  Even overlooking those facts I still don't see why people on here feel it is perfectly acceptable to pay GST on those same items they are complaining about having to pay the harmonized tax on after July 2010..... To me if the tax is bogus at the provincial level it still is at the federal level and we HAVE been paying that. So where is the uproar against the Feds for backstabbing us all along with those taxes?"
368747,Dara,2009-08-01 17:21:00,3052,"  I could live with the HST as its does save a bit for bussiness, but, being at 8% is what gets me. That is a huge increase and it is a new tax. This from a guy that PROMISED NO NEW TAXES he is a LIAR. We have been screwed out of our power generation, started by Harris I know, but being finished by this idiot now, and now he is lying about new taxes. They keep wanting more money for more programs. This stuff helps very few people and costs money. I will totally rebel if they come through with this subsidised child care thing.  And NO, my rant is not over"
368750,Fishnwire,2009-08-01 18:04:00,983,"  Isn't some form of government subsidized child care a necessity for the thousands of single parents out there who earn close to minimum wage?  How else could they get by...quit their jobs and go on welfare?  I really don't mean to ruffle any feathers, but I'm curious what other options you think we should explore.  Hey, as a childless person, I sometimes recent the fact that my tax dollars ""subsidize"" an eduacation system for other people's kids.  Why should I pay for your kids to learn their ABC's?...well the reason is because it's for the good of the country.  It's cheaper to teach them how to read and write today and have them become productive members of society than to pay for them to be unemployed for their whole lives tomorrow.  It's arguable that affordable/accessable child care is also a societal cost that we all must bear.  Maybe I'm wrong...I'm sure someone will tell me so!  "
