839199,TJQ,2014-03-01 19:29:00,7806,Welcome aboard!!
840920,SirCranksalot,2014-03-12 22:21:00,3291,Google chrome all the way!!!
841023,Jds63,2014-03-13 15:06:00,1365,nice to meet you Doug ...
841050,davey buoy,2014-03-13 18:55:00,5505,How did you make out with your browser issues?
841112,akaShag,2014-03-14 01:06:00,2073,"back to davey buoy................that takes more brain power than I can muster most days so I have not even tried yet.  But I DID can a bunch of goose breasts today, some with bacon and others with bacon and maple syrup.  So I did actually spend some time doing productive things..............  Doug"
841183,aplumma,2014-03-14 11:56:00,6896,Well then lets make it a contest first person to fix your computer gets a can of goose breasts. Doug a man of your youthful age should know the barter system backwards and forwards by now.   Art
841194,akaShag,2014-03-14 12:41:00,2073,"back to Art............I would be pleased to do that but of course here in Ontario it is illegal to buy, sell, trade, barter, etc fish and game..............  Just sayin'.........  Doug"
841217,aplumma,2014-03-14 15:35:00,6896,For those Domestically raised goose breasts you raise from eggs you bought from an organic farmer to help support him and his 12 kids.???    Art
841226,akaShag,2014-03-14 15:58:00,2073,"back to Art..............yep, those would be the ones!  Until they check the DNA............  Doug"
841241,aplumma,2014-03-14 18:06:00,6896,If they go that far just pay the ticket lol.  Art
838651,Moosebunk,2014-02-27 01:53:00,3970,"If you don't behave I'll just deny ever telling you about the place, or even knowing you for that matter."
838654,akaShag,2014-02-27 01:55:00,2073,"back to sinker, that's me, have not been on Ben's site a lot lately, but had him here for a lunch when he was in ON a month or so ago.  Our mutual friend ""Winston"" has got a new job in Nova Scotia, I spoke with him today and he is really looking forward to it.  He will be a Program Manager with the NS Dept of Inshore Fisheries or something like that.  Thanks for the welcome, I appreciate it.  Doug"
838657,akaShag,2014-02-27 01:58:00,2073,"back to Moosebunk........... that is YOUR camera that has the incriminating evidence.  Of course since I cannot do a QUOTE to copy the pictures, if you edit that post they are gone forever.  Curse you, Red Baron!!!!!  Doug"
838660,akaShag,2014-02-27 02:08:00,2073,"OK let's try this.  If it works, this is my ""BURKA"" picture where I am showing solidarity with all those repressed women who have to wear the face veils and all that.  Doug "
838666,limeyangler,2014-02-27 02:28:00,5204,Pleasure to make your acquaintance sir!
838678,Old Ironmaker,2014-02-27 03:51:00,8243,"On most websites, posting pictures involves incantations and black magic that I have not yet mastered, only having attended my first three years at Hogwarts before they threw me out.  But I will endeavour to figure out how to post pictures here, if only to prove that I have actually caught some actual, real fish, not just the Internet variety..............  Doug  When you learn how to post a pic larger than a few kb's and quote a portion of a post please teach me. You have posted a few pics already you're far ahead of me. No one believes you any longer without documentation today."
838679,Joey,2014-02-27 03:57:00,9122,"Welcome aboard Doug.  I don't mind hijacked threads, they add to the fun of this place.  You seem like you'll fit right in here and I look forward to hearing all about your adventures!!"
838707,Fisherman,2014-02-27 12:15:00,7201,"Oh, there's some adventures to be told and some not, some that I have have been subjected to over the early years...."
838717,akaShag,2014-02-27 13:37:00,2073,"back to Fisherman, the statute of limitations on that kind of thing is ""forever.""  Like what goes on at the hunt camp stays in the hunt camp.........  Doug"
838718,akaShag,2014-02-27 13:41:00,2073,"Ok let's try this:  Hmm, I am on the ""more posting options"" page and still cannot PASTE to the reply thread.  I CAN attach files, but they show up as thumbnails like this one:     "
838722,solopaddler,2014-02-27 13:55:00,8605,"Ok let's try this:  Hmm, I am on the ""more posting options"" page and still cannot PASTE to the reply thread.  I CAN attach files, but they show up as thumbnails like this one:      You need to use a hosting site like photobucket. Obviously you first have to create an account with photobucket and upload some pictures which is pretty straight forward.  Once that's done follow these instructions:   "
838727,akaShag,2014-02-27 14:20:00,2073,"Back to Mike Borger, thanks for your time.  But yes I already have an account with Hunt101.com which is much like photobucket, and which I use on other websites.  But when I go to PASTE the image here, nothing gets pasted to the reply box.  It is the same when I try to copy and paste from elsewhere on this site, it does not work.  And when I hit the QUOTE button here, it does not copy the quote to my reply.  Roy the administrator says it has to be an issue with my computer and hopefully I can get it figured out.  In the meantime, I can use thumbnails which I can load directly from my computer."
838728,solopaddler,2014-02-27 14:28:00,8605,"Back to Mike Borger, thanks for your time.  But yes I already have an account with Hunt101.com which is much like photobucket, and which I use on other websites.  But when I go to PASTE the image here, nothing gets pasted to the reply box.  It is the same when I try to copy and paste from elsewhere on this site, it does not work.  And when I hit the QUOTE button here, it does not copy the quote to my reply.  Roy the administrator says it has to be an issue with my computer and hopefully I can get it figured out.  In the meantime, I can use thumbnails which I can load directly from my computer.   What you need to do is click on ""more reply options"" then in the top right corner enable HTML. That should do the trick."
838731,akaShag,2014-02-27 14:50:00,2073,"  Hallelujah!  Santa Doug THANKS you, Mike!"
838732,akaShag,2014-02-27 14:53:00,2073," back to Old Ironmaker:  When you learn how to post a pic larger than a few kb's and quote a portion of a post please teach me. You have posted a few pics already you're far ahead of me. No one believes you any longer without documentation today.       AHAH!!  Yes, you go to the ""more reply options"" page and hit the ""enable HTML"" box on the upper  right corner  Now I have to work on the QUOTE button"
838734,akaShag,2014-02-27 14:56:00,2073,"Hmmm, I wonder why the spaces in the HTML enabled text don't show up?????????????"
838757,BITEME,2014-02-27 16:16:00,1968,Welcome That is some serious bad ass man fur  Cheers Peter
838833,wkrp,2014-02-27 20:58:00,656,akaShag you have attracted almost as much attention as Steel Bunny's intro.
838839,SirCranksalot,2014-02-27 21:19:00,3291,"akaShag you have attracted almost as much attention as Steel Bunny's intro.  No offence, but I think Steel Bunny is a tad better looking!!"
838849,akaShag,2014-02-27 22:05:00,2073," No offence, but I think Steel Bunny is a tad better looking!!    OK now I have to go find Steel Bunny I reckon............and by the name and comments I am guessing she is a she and not a wrinkled old fart with gnarly facial hair................"
838850,akaShag,2014-02-27 22:06:00,2073,WOOHOO!And a QUOTE worked that time!!!!!!!!
838878,wallyboss,2014-02-28 00:13:00,1095,Having met Doug a few times I can vouch that he is a guy I would fish with anytime. and if you guys want to talk rifles or shotguns he's the guy to talk to.  By the way welcome aboard Doug
838888,akaShag,2014-02-28 00:47:00,2073,"Ok, so the QUOTE button worked for one entire post woohoo!...............  back to wallyboss, thanks Dan, good to see you over here too!  That ""other"" site seems like there is a lot of bickering and nastiness these days, and I just do not have time for that childishness.............  Doug"
839022,motv8tr,2014-02-28 17:19:00,2587,"Welcome to the family Doug, looks like you've had some great adventures and I look forward to hearing about more of them.  Maureen"
839039,moxie,2014-02-28 19:08:00,1566,Welcome aboard Doug.
838548,akaShag,2014-02-26 18:41:00,2073,"Well, if there is an ""introductions"" forum or thread I missed it, and I have been hijacking other threads (notably Tyler's Derby pictures) for newbie questions and comments.  So my real name is Doug, but that user name was already taken here.  And my old nickname is Shag, so I went with akaShag (aka = ""also known as"")  I am retired old fart and have been fishing for over fifty years.  I am happy wetting a line for practically any species, but I did have a spell when I was a fairly dedicated steelhead addict, and have been known to pursue bass with some enthusiasm.  I unapologetically keep some fish to EAT and consider fresh fish to be one of the great benefits of the sport.  You want to practice C&R, go right ahead, but please don't slam me when I keep a feed of crappies or perch (or whatever).  I moved around a bit with my career but now call Kingston home and I like it here.  Yes that is my picture in the avatar, taken during a road trip I took in 2011 when I fished and hunted my way to the Yukon and back.  It was a great trip (and I did it solo).  I have friends in every province and territory, and several states, and like to visit them and share fishing and hunting adventures.  My big trip this year will be to Great Slave Lake with a couple buddies, one of whom lives in Yellowknife and has all the kit we will need.  I hope to bring a ""mature"" perspective to this site.  So far I like the tone (as in, NOT rude!) and I see some friends both old and new amongst the membership.  I look forward to being able to figure out some of the technological problems I am having, but did not grow up with computers and admit to some technophobia.  Now back to regular programming, and I promise to hijack less threads.   OK once more on the Tyler thread to link here, if I can make the machine do that.......  Doug "
838557,davey buoy,2014-02-26 19:43:00,5505,Good to see you jumped on board!Your input is more than welcome.
838568,12footspringbok,2014-02-26 20:21:00,459,"Nice reading your input Doug. That is some impressive hair you had there, I hope to grow a beard that impressive one day, but I think the one I have now will be gone once the ice and snow leaves. I read your comment in the Tyler thread, about getting out on Simcoe. I certainly don't guide but would be game to hook up and giver' out there any day.  Martin"
838573,akaShag,2014-02-26 20:38:00,2073,"Thanks Martin!  It would be good to meet up again, it has been a while...........  Do you still have a snowmobile that does a hundred miles an hour?  Doug"
838576,12footspringbok,2014-02-26 21:10:00,459,No doug I had another sled that would do 110 mph   until I sold it last night... Still have my other  sled though (old Betsey) that carries all my ice fishing gear and hut in tow at a decent speed.
838583,wkrp,2014-02-26 21:25:00,656,"Looks like you're plugged into this site. Nice avatar , Welcome"
838587,bare foot wader,2014-02-26 21:53:00,1354,"nice intro, this site definitely has one of the friendlier tones going for internet forums, I moved to BC and still linger around here, one of the better forums imo  I've been on lesser slave a few times, but great slave is on my to do list, I want one of those 50lb lakers....please feel free to pm coordinates of your hot spots lol  that Yukon trip sounds like a pretty sweet trip, any pics, hunting or otherwise? my dream job will be 14x14 at one of the mines up there, some day hopefully  cheers"
838590,NAW,2014-02-26 22:07:00,4022,Sounds like your going to be a great addition to OFC Doug!  You should post up some pics from your past trips!  We love fish porn here...
838591,Big Cliff,2014-02-26 22:20:00,6899,"Well Doug, I have to tell you if that really is a picture of you, you have a double named Dennis (my first wife ran away with him and he's been trying to bring her back for over 30 years now). All kidding aside (and I am serious about the double) Welcome to the board! There are several of us old farts on here that were brought up in the days when fishing and hunting were for food not for sport as it is today.  I still carry a lot of the old values with me; don't take more than you can use and if you do get more then you share it. Always give a man a hand up rather than a hand out, Well from the posts I have seen so far we share a lot of the same ideals! I hope we get an opportunity to share some time together this year! I'm up on Sturgeon Lake in the Kawarthas, if you are ever inclined to head this way give me a shout!"
838592,Fisherpete,2014-02-26 22:30:00,1814,"Welcome to the board, O mightiest of hair and beard! Looking forward to reading about your adventures."
838593,Old Ironmaker,2014-02-26 22:31:00,8243,"As a junior member here I know you won't be disappointed with the tone and membership here. No trollers and people acting like babies. There are disagreements here like everywhere and usually never get silly. I would love to read and see more about the cross country trek, sounds fantastic. Is there a book and eventually a movie in the works?. Grissley Adams could play you but he's too old and may not even be alive today.  I lost my cat a few years back, take a look in your beard and let me know if you find it. I don't use acronyms or smiley faces, if I say something stupid I may be trying to be funny or are saying something stupid.  Welcome."
838612,akaShag,2014-02-26 23:46:00,2073,"Thanks folks.  No cats in my beard although there have been other things and since this is a G-rated site we won't go there.  I did eat cougar a couple times of course, both times the four legged variety and found it surprisingly good.  I had believed that people hunted cougars for sport and trophies only (like grizzly bears), but cougar meat is delicious!  And I did hear, last time I was in the Yukon, that ""some"" folks do eat grizzly bear meat, but that is very rare indeed because most grizzlies live on carrion and the rotten flesh they eat imparts a similar flavour to their flesh.  Apparently, I do not know...................and have zero intention of finding out unless somebody offers me some when I have seen them eating it already and from the same pot!  I wrote a blog while I was on my trip, and that is basically most of the writing I plan to do about that.  Back when Darryl Choronzey had the Ontario Fisherman magazine, I did write for him on a freelance basis and that was fun...........  Doug"
838617,Tim Mills,2014-02-27 00:23:00,476,Quality avatar.  You look familiar did you ever work at the Science Center? JK  Post some pics of the Yukon adventure when you have a chance.
838620,akaShag,2014-02-27 00:40:00,2073,"back to Finesse Fan.............IF my machine allowed me to use the ""QUOTE"" button, which so far it has not, I would just have done that rather than work my poor fingers down to nubs with my two finger typing..............or I guess it is called KEYBOARDING these years.  Kind of like skateboarding but it is much slower and thankfully does not usually involve broken kneecaps and black eyes.............so where was I again?  Oh, yes..........the Science Centre...........  Yes you are correct, that is indeed the Van De Graaf Generator look, I thought it was pretty awesome myself.  When you build up a sufficient static charge, however, you want to be exceptionally careful just what part of your body is sticking out, if you catch my drift, because that is where the shock comes aboard.  On most websites, posting pictures involves incantations and black magic that I have not yet mastered, only having attended my first three years at Hogwarts before they threw me out.  But I will endeavour to figure out how to post pictures here, if only to prove that I have actually caught some actual, real fish, not just the Internet variety..............  Doug"
838629,strik,2014-02-27 01:19:00,175,you are going to be a fun guy to have around
838632,akaShag,2014-02-27 01:28:00,2073,"back to strik, I think that is a compliment, and thanks for that.  But if you mean you want to make FUN of me, I will have you know that I am a persecuted member of a minority - that being older, fatter, balder white males who speak English as their first official language..........  (J/K)  Doug"
838634,Handlebarz,2014-02-27 01:34:00,3790,Welcome aboard
838637,camillj,2014-02-27 01:37:00,1988,Just two word ... welcome aboard .. ok 2 more ... NICE LID !
838638,SirCranksalot,2014-02-27 01:37:00,3291,"Welcome aboard. But before you can really fit in here you have to tell us all   where you stand re the Leafs! You an post those comments on page 160 or so on the thread just below, or maybe just above!"
838639,Moosebunk,2014-02-27 01:37:00,3970,"     Well Sir Doug...  welcome aboard here my friend.  There will be more fish coming this spring I hope.  Your avatar is beard at it's gnarliest but, the man I know keeps himself in check  and has heart of gold.  Your years fishing and hunting will be an asset to this place.  "
838640,akaShag,2014-02-27 01:37:00,2073,"Back to Mike P......  Yes sir, I surely do believe.  Do you go door-to-door with copies of The Watchtower?  Just curious.............."
838645,akaShag,2014-02-27 01:41:00,2073,"Back to Moosebunk........  Thanks for those kind words and for some pictures of my more trimmed facial hair.  And (I hope this is not a secret) THANKS for letting me know about this site, I sure appreciate it!  Doug"
838647,solopaddler,2014-02-27 01:48:00,8605,Welcome oh bearded one!  I for one would like to see some pic's from your travels as well!
838648,akaShag,2014-02-27 01:50:00,2073,"OK maybe I can figure out picture posting, but it does not work from a picture hosting site (so far)  Here is one from before my twin brother was executed.  Doug "
838650,Sinker,2014-02-27 01:51:00,8692,"Hey Doug, I think we have talked before, but mostly about waterfowl.....that you?  Regardless, welcome to the site!  S."
