1002491,Triton Guy,2017-05-07 00:37:00,8,Sweet ride!
1002455,GBW,2017-05-06 02:25:00,8460,"   When I went from the 2012 Avenger, to the 2014 1500, my issuance dropped $400. Interesting.    I'm no insurance agent, but these days I think they look more at how likely they'll have to pay out for parts to fix YOU not the vehicle in the event of an accident.  You're less likely to get hurt (or worse) in the RAM than in the Avenger.  Used to be the crappy little 4 bangers were cheapest to insure, not anymore.   Similar thing happened to the girlfriends dad, from what he was told if he was in an accident in his f150 vs the Elantra, it was likely the damage would be far worse on the compact car vs the truck as per the other quoted here starting with B:  Yes it went up do to ""MY"" safety in a crash.  I'm much safer in a truck vs a car is what they claim and also it's a car that is 10 years newer than the Ram was."
1002468,Old Ironmaker,2017-05-06 15:30:00,8243,"You mean to say it's a company vehicle that is yours to use exclusively? Nice. Usually all the trucks we had inside the plant were OK but zero bling, manual windows, no carpeting not even A/C, yours is bling on bling.  A word to the wise Rick, my good friend was in sales and had a beautiful car that was a company vehicle. Hid daughter borrowed it with his permission and totalled it. In the fine print of his lease agreement she was not covered to drive it, him and him alone or another employee of the company. To his amazement he wasn't even supposed to drive it unless on specific company business. After that happened everyone at his office and others I know that had company vehicles including myself for a time got a rude awakening. Ask and if they say yes get it in writing."
1002471,grimsbylander,2017-05-06 16:00:00,3016,"Wow, he's in sales/executive and didn't know that his daughter would not be covered under the company insurance policy? Letting anyone that is not an employee and generally 21 years old or older, is not covered and cannot drive the vehicle regardless of getting permission."
1002472,manitoubass2,2017-05-06 16:26:00,11391,"No I bought this truck.  I mean when I worked in the oilfield I always had a company truck. No personal vehicles allowed, understandably"
1002479,Old Ironmaker,2017-05-06 22:20:00,8243,Not all successful people are the sharpest tools in the shed. In fact some of the most intelligent people I have been around have zero common sence.
1002483,Tom S,2017-05-06 23:50:00,362,"Not all successful people are the sharpest tools in the shed. In fact some of the most intelligent people I have been around have zero common sence.  I can attest to this. Professional Engineers hired to test product who need me, the Technologist who does an engineer's work, to set up tests and explain how to interpret real world results.  PS. Nice target... I mean truck. Got to keep a close eye on new trucks around here."
1002484,manitoubass2,2017-05-06 23:54:00,11391,"Thanks!  Not much vehicle theft here, so im not worried about that.  Too small of a town/area"
1002489,Old Ironmaker,2017-05-07 00:31:00,8243,There's enough vehicle theft where Tom S. a I live has the highest percentage of vehicle theft in the country according to a recent Hamilton Spec. article. The Cops know exactly who steals them and where they end up. 5 vehicles have been stolen from the lot at my wife's store this year. I wonder why my phone can take HD videos and store security cameras take grainier pictures than a 1910 silent movie?
1002316,manitoubass2,2017-05-04 19:54:00,11391,"After using basically every truck imaginable in the oilfield/mining, I finally found one I was happy with buying and pulled the trigger.  "
1002317,leaf4,2017-05-04 20:04:00,2466,"Beauty! Congrats! I've been mulling over getting one myself... Just finished my last block of school and once I write/pass my C of Q I get a 20% raise, those Sierra elevation editions have caught my eye"
1002318,Old Ironmaker,2017-05-04 21:06:00,8243,"Well at least now I know you have good taste in both women and trucks. I drive a 2011 silver grey Chevy Silverado, crew cab, with the chrome package including running boards. First ""new"" vehicle I ever bought for myself. Actually it was a gift from Tich. Based on the chrome wheels it is close to if not a 011'. Welcome to the F-150 and Ram killers club Richard. I can't give you any advise on what can go wrong because I haven't had to do anything outside normal service every 12000 KMS. Tires, brakes are all normal wear and tear. Changed front pads last week at 110,000 KMS and put new tires on, Cooper Discovery. The Discovery's are more aggressive than the all seasons that came with it new. The only thing hat happened within he first 10,000K was rear brake adjustment and a slight leak in the rear gear case. Don't forget to run her in 4X4 high once and a while as well as low for a few hundred meters.  Congrats on buying a real truck."
1002324,aplumma,2017-05-04 22:43:00,6896,Awww sorry I would have stopped you if you had told me. After all friends don't let friends drive chevys.    Very nice truck though.  Art
1002326,esoxansteel,2017-05-04 23:35:00,1307,"Very nice truck Rick    Im a Dodge man by heart and soul, got it from my dad, but i really like those new Sierras, and Silverados, especially with the after market accessories available, and the front grilles matching the body panels."
1002332,manitoubass2,2017-05-05 00:05:00,11391,Thanks guys!  OI it's a 2016  I've owned many vehicles but never a truck. Pretty excited about it!
1002336,BassMan11,2017-05-05 00:15:00,583,Gteat choice MB2. I made a purchase myself last week. You will be happy with it      Ready for the season. Now if the water levels in Ottawa would just go down a bit we will be all good to go!
1002338,manitoubass2,2017-05-05 00:40:00,11391,^^^ nice ride! Both of em!
1002339,DaveRoach,2017-05-05 00:46:00,202,She's a beaut congrats!!
1002340,myot,2017-05-05 00:53:00,131,Must be the week of new trucks I picked mine up Tuesday
1002341,manitoubass2,2017-05-05 00:55:00,11391,"Lol, must be!  A whole lotta new fishing spots just opened up???"
1002342,GBW,2017-05-05 01:13:00,8460,Nice ride Rick.  I get my 'bowtie' tomorrow
1002343,Rich Clemens,2017-05-05 01:15:00,3131,May as well add a pic of my new ride. 
1002345,Old Ironmaker,2017-05-05 01:38:00,8243,"Rich a Ford, why oh why, the humanity.  I haven't seen those chromed slot wheels on any Chev after 2012. Interesting. Looking closer yes she is similar but has the rear bumper step up that I really need, actually I need a ladder now to get in the box. I'm really surprised a northern boy like you has never had a pick up. Living on the 36th floor in a downtown apt in 76' I had a pick up.  Nice ride Bassman. My last truck was a 89' Sierra, she went away with 600,000 K's on her. GM gave me 3500 bananas on a GM loyalty trade in. And other than all the body metal gone it ran like new, the frame was solid still."
1002346,leaf4,2017-05-05 01:52:00,2466,"All of our work trucks have this sort of ladder on them, they're awesome! The post on the left is to grab and pull yourself up if you need to lol  "
1002347,manitoubass2,2017-05-05 02:08:00,11391,"In a work truck that lil device is worth its weight in gold.  I like all trucks. They all have upsides/downsides  Ideally I was going to buy a tundra, just couldn't find the right deal. $65,000 is alot of mula.  But im more than happy with this purchase, as is the wife. We REALLY needed a second vehicle"
1002351,chris.brock,2017-05-05 03:25:00,4053,This guy pretty well sums it up.    Nice rig Rick!
1002352,manitoubass2,2017-05-05 03:29:00,11391,"Hahahahah holy Christ Chris, don't get banned  That is hilarious ????"
1002355,LittleWorm,2017-05-05 05:04:00,122,Beautiful truck. Congrats.
1002359,grimsbylander,2017-05-05 11:45:00,3016,"Beautiful truck Rick! Gonna just throw the herd of kids in the back under a cargo net??? Nice! Can't hear them on the long drives, no worry about spilling juice boxes and all you have to do is hammer the brakes to get their attention!! That's some solid family planning!  PS That's the exact truck I'd buy. I have the same model and colour in a 2012 and haven't had a single issue."
1002360,AKRISONER,2017-05-05 12:22:00,5558,"oh man, became a truck man myself last summer for the first time...i will never not own a truck again...only vehicle that you can call a vehicle as well as a tool...problem now is that I have too many friends that want my help lol"
1002361,Beans,2017-05-05 12:26:00,3339,Beauty !
1002373,BillM,2017-05-05 15:46:00,17367,Nice Rick!
1002374,manitoubass2,2017-05-05 16:09:00,11391,Thanks again guys!  T minus 50 mins before she shows up!!!!
1002376,Dutch01,2017-05-05 16:26:00,1431,Congrats! Two years in and I still love my '15 Silverado. You're going to love it.
