270202,trapshooter,2008-11-21 18:21:00,1234,"Wow, great hunting John!!  Congrats on a fine season so far."
282553,Leecher,2008-12-21 23:32:00,7832," Great looking doe Matt    Congratulations Open sight was the same for me until my brother in law got me a scope, Sportchief 1.5 x 4.5 zoom.... got it installed on my 303 Lee Enfield and the first time I shot at a deer with it missed  But after that, got used to it and can shoot into the 10 ring on target and confident at a neck shot on a deer.  Thanks for sharing Jacques"
282556,richyb,2008-12-21 23:34:00,774,I found it hard to pick up a running deer with a scope also so i have a red dot now ..
282560,BassAsin,2008-12-21 23:40:00,806,"i use a scope moose hunting but thats a different story the 1st six deer i shot were all open sights running and no problems i'm the only one out of 11 who doesnt have a scope normallly and i must say you have a very nice lookin gun jaques,  as for the red dot i have a problem lookin over the scope for the dot on the target. HAHAH"
282596,Leecher,2008-12-22 00:24:00,7832, richyb I would never shoot at a moving deer with or without a scope.  I prefer to wait or let it pass or until it stops to take a good shot.... I always make my first shot count cause I hate running after a down animal
282597,Leecher,2008-12-22 00:27:00,7832," Matt, like I said in my previous reply, I would never shoot at a moving deer with or without a scope. I prefer to wait, let it pass or until it stops to take a good shot.... I always make my first shot count cause I hate running after a down animal"
282602,BassAsin,2008-12-22 00:35:00,806,i would like to say the same but we hunt with dogs and dont see many slow moving deer!  it is a great sound to hear the dogs coming and is a huge rush although there are many times when i sneak away from the gang and do a walk and stalk thats how i got one 2 years ago. wish we could can the dogs a few times in the hunt  and still hunt. also i think after being raised into a dog using camp shooting on the run becomes a natural ability. and i must say i largly respect the fact you make it count!!!  PS that doe tastes great having some deer sausage as i type!  Matt!!
282648,boatman,2008-12-22 01:55:00,350,"Enough with the little bucks. Here is the monster I got this year! Just kidding, of course.  82 yards away. 1 shot. Dropped after +/- 25 yards. "
282656,Leecher,2008-12-22 02:07:00,7832," Great looking buck boatman    Congratulations +/- 25 yards, didn't go too far... Great shooting  Looks like a 2 1/2 year old buck from the pic.... Real nice Thanks for sharing  Keep'm coming guys.... Looking real good Leechman"
282659,BassAsin,2008-12-22 02:07:00,806,it appears as though it has 4 points more than mine. nice shootin and congrats!
270200,JohnAB,2008-11-21 18:13:00,178,"Been a good year so far for our group. 1 bull elk, 3 bull moose, 1 cow moose and a 4x4 whitetail. This weekend deer (both whitetails and mulies) are on the agenda.  This is moi with my bull moose shot Nov 8, 2008. 442 lasered yards, broadside, one shot thru the heart with my 300 Weatherby.    Nathan, friends boy with his first ever bull moose.    Couple of yotes have also fallen victim. First one with my 300, second one was with my 22-250.    "
