661007,pikehunter,2012-01-27 11:30:00,1659,    Well done !
660890,motion,2012-01-27 01:34:00,403,"Ya, sure seems that way. Funny, he mentioned to me on the phone that the two of you have become good friends. Thats what makes this community so great. A diverse bunch, helping each other, with a common bond.......fishing."
660895,Leecher,2012-01-27 01:45:00,7832,That's awesome Tony   Kudos to Paul
660898,Rod Caster,2012-01-27 01:49:00,5784,I'm not suprised.  
660899,Twocoda,2012-01-27 01:50:00,4130,the title of this thread sounds like a FOX network sitcom...
660901,Skipper D,2012-01-27 01:54:00,1970,"We should all chip in and get him a super man suite or some thing like that , he can were it to work and use it to make tv commercials for his business ."
660903,danc,2012-01-27 01:58:00,4677,"Paul has also sent me a few parts and did some trouble shooting as well. Once again, thanks Paul."
660905,motion,2012-01-27 02:11:00,403," Jacques, all I can say is: Il est un homme fantastique!   Neither am I really. Just reading his past posts tells me a great deal about him. Never seems to have anything negative to say.   "
660907,motion,2012-01-27 02:13:00,403, Super-Paul!!
660910,mercman,2012-01-27 02:16:00,7054,"Just doing my job sir !! I enjoy helping people out when ever i can.Thats why i bought this bussiness. Keep your older appliances as long as you can.Most repairs are easy for most people to do themselves.New appliance look pretty, but most of them are crap and are made to last 5 years max.  Enjoy the G2G Tony ! Take lots of pics and i hope you all catch your limits  Paul"
660911,Nipfisher,2012-01-27 02:17:00,2449,  Dr. Paul (Dr. Phill) lol
660913,mercman,2012-01-27 02:18:00,7054,  And.......?did ya fix mommies washer yet Or are you out fishing instead
660916,Skipper D,2012-01-27 02:24:00,1970,SPSPSPSP ........LOL
660921,mike rousseau,2012-01-27 02:35:00,4661,  I changed the parts provided by you...  But it was something else... And after seeing my frustration for 4 hours and not fixing the problem... My mom decided to call the repair man...
660927,motion,2012-01-27 02:41:00,403, Did I start something here?
660931,mercman,2012-01-27 02:46:00,7054,  Wimp !!!!!!
660933,mercman,2012-01-27 02:47:00,7054,  Nope......see above post
660938,motion,2012-01-27 03:01:00,403,You guys are too much!
660953,mercman,2012-01-27 03:44:00,7054,"  Just kidding with Mike. He tackled a huge job, changing the main bearing and seal on a Magic Chef washer. It means removing both inner and outer tubs.Good on ya for try to help your Mom Did you have any extra parts left over"
660988,Big Cliff,2012-01-27 09:59:00,6899,"When our fridge decided to give us problems, we called The service guy who told us it was going to cost something in excess of $500.00 to fix it. Thermostat was gone and the cold water line going to the outlet on the door had started to leak.  Paul got me the parts at cost delivered to my door and in less than three hours I had the thing working like new again. (I could probably do it in half the time now).  Every once in a while someone special comes along, Paul sure is one of them!"
660996,Billy Bob,2012-01-27 10:40:00,5865,SUPER PAUL.......GREAT MAN OF STEEL....  When I went up to Cliff's last summer there was a suprise package waiting for me from Paul.....many things in there but one was a can of Canadian Maple Syrup that I will FINALLY be having this weekend with my vanilla ice cream.... ...THANKS AGAIN PAUL.....errrrr Frank.  Paul is a SUPER HERO in my eyes....me thinks he has some American blood in him.....
661005,skeeter,2012-01-27 11:13:00,1907,Mercman the Super Hero!!!!! AKA Frank!!   
