947226,NANUK,2015-12-01 02:13:00,797,^^ well said porkpie !!
947100,Gerritt,2015-11-30 18:05:00,6129,"As I have come to learn presentation is everything....   Took me a while.. Paid my dues.   To insult others, to get your voice heard........ Will never be passable. You can think your right all you like, all day long....  Being negative about it however, will win you very few friends...  Been there, offering you friendly advice as you put it.  OG out."
947101,Mister G,2015-11-30 18:09:00,1429,"Please show me where I have offended anyone......Wayne used profanity towards me for no reason whatsoever but I'm being attacked by his posse and I don't understand why. I guess not being in the ""clique"" as others have PMed me explains it best."
947103,lew,2015-11-30 18:11:00,12766,Really sad when an interesting post goes down the drain.
947109,Headhunter,2015-11-30 18:45:00,5703,"When you reference a term that only a very small percent of people would get, but to most would be seen as disparaging, then continue, you should expect to get flack for it. HH"
947111,cram,2015-11-30 18:49:00,1733,"On a more important note, you folks who aren't familiar with ""Margie"" need to see Fargo. It's an all time classic movie."
947115,Mister G,2015-11-30 18:59:00,1429,"When you reference a term that only a very small percent of people would get, but to most would be seen as disparaging, then continue, you should expect to get flack for it. HH Now that's funny and you are REALLY reaching for something there, but you're not getting it done IMHO."
947117,Mister G,2015-11-30 19:01:00,1429,"On a more important note, you folks who aren't familiar with ""Margie"" need to see Fargo. It's an all time classic movie. Yep, it's a great movie but as I said it starts off slow........and by the end of the show you gotta LOVE Margie.  BTW do you know where I can get something to eat around here that's reasonable..........LOL"
947145,irishfield,2015-11-30 21:46:00,26272,"You can butter it up anyway you want Mister G, you were still being a condescending prick.  ""You can listen to your certified trained marine tech or Margie...............it's your choice......... :whistling:""  Have you ever posted anything on OFC of a helpful nature, all I've ever read is your negative Nancy posts.  Carry on, have a nice day!"
947147,Mister G,2015-11-30 22:03:00,1429,"You can butter it up anyone you want Mister G, you were still being a condescending prick. ""You can listen to your certified trained marine tech or Margie...............it's your choice......... :whistling:"" Have you ever posted anything on OFC of a helpful nature, all I've ever read is your negative Nancy posts. Carry on, have a nice day! OK BOSS .....sorry I hurt your feelings."
947178,Sinker,2015-11-30 23:53:00,8692,This thread just gets funnier every time I check it lmao......  S.
947219,porkpie,2015-12-01 01:47:00,2521,"I'm not in anyone's ""clique"" and never will be, but there are couple guys on this site that probably need a break from the Internet. A couple of threads have devolved into nothing but mud slinging. It's one thing to argue a point, or state your case and another to crap all over each other. This isn't real life, just a pleasant distraction. If it's bothering you so much that you need to be nasty , it's probably time to move on!"
945659,irishfield,2015-11-20 22:29:00,26272,"Some day you should stop taking stuff so literal Mister G, you'll live longer!  Yah, you can probably buy a cartridge thru hull pump for 50 bucks. Consider what it's going to cost you when your boat is down to the water line while tied to the cottage dock. Then finding a gas powered water pump to get the boat floating again and what in it's contents has been ruined by going to ""level floatation"". Let alone trying to figure out why it sunk in the first place. All prevented with $3 worth of plumbing antifreeze."
945673,cram,2015-11-20 22:53:00,1733,"Here's a question for you handy guys.....my etec has a fuel/water separator under the hood. The dealer that sold it to me said not to touch it for 3 yrs, and another marina said the same thing.  I find that very weird; if there's water in there, isn't it likely to break?.  Shouldn't it be changed annually?"
945674,irishfield,2015-11-20 23:05:00,26272,"Verado has the same thing, or similar. Coarse filter (before the fuel rail fine filter) and it's also a water separator, complete with monitor contacts and the smartcraft gauges will display water is detected.  I disassemble, drain canister and change this filter every year. 30 bucks well spent.  As for water and cracks... as long as you get good gas, tank filler lid is closed, probably not a big chance of having enough water in there to do any damage if you neglect it."
945676,cram,2015-11-20 23:15:00,1733,"Verado has the same thing, or similar. Coarse filter (before the fuel rail fine filter) and it's also a water separator, complete with monitor contacts and the smartcraft gauges will display water is detected.  I disassemble, drain canister and change this filter every year. 30 bucks well spent.  As for water and cracks... as long as you get good gas, tank filler lid is closed, probably not a big chance of having enough water in there to do any damage if you neglect it. Thanks Wayne.  I'll do that next year."
946031,Mister G,2015-11-23 22:09:00,1429,"Some day you should stop taking stuff so literal Mister G, you'll live longer!  Yah, you can probably buy a cartridge thru hull pump for 50 bucks. Consider what it's going to cost you when your boat is down to the water line while tied to the cottage dock. Then finding a gas powered water pump to get the boat floating again and what in it's contents has been ruined by going to ""level floatation"". Let alone trying to figure out why it sunk in the first place. All prevented with $3 worth of plumbing antifreeze. OK Margie............................"
946033,irishfield,2015-11-23 22:22:00,26272,damn off
946034,jtracc,2015-11-23 22:35:00,97,"I take my opti to merc tech.  Plugs in the computer and the motor winterizes it's self, pretty easy.  Can't use premium in the optis. Been using optis for 10 years and never had issues with bad gas. Never had issues at all. Gas in boat tank doesn't last more then a week or two. I been using seafoam twice a month since spring and more since fall.  Motor runs great and is as clean as I have ever seen it.  That seafoam is good stuff."
946051,Joeytier,2015-11-24 00:30:00,3990,Can't use premium?
946053,irishfield,2015-11-24 00:36:00,26272,"Don't understand that either Joey and I wouldn't be running Seafoam constantly either. Fuel stabilizer yes, Seafoam no."
946080,jtracc,2015-11-24 03:12:00,97,"No premium on opti's. The higher octane will cause the motor to over heat and blow the power head due to the timing. The computer can't compensate so it will knock and ping, over a short time the power head will blow. The computer will store the info and any warranty will be voided.   Merc recommends lower octane fuel and highlights the importance of not using higher octane fuel.  What's wrong with  Seafoam?  It's a fantastic product and works better then anything I have tried. Quick clean cant even do what this stuff does.  You can eat off my exhaust ports.  Pls don't knock what you don't understand.  Thx Joe"
946082,irishfield,2015-11-24 03:24:00,26272,"No need to be cleaning something constantly if you're burning the amount of fuel you claim, especially in a timed fuel injected 2 stroke. Probably not even the need for stabil if you're going through that kind of fuel.  Must suck not being able to get gas at most marinas, since most have gone strictly to ethanol free premium to appease customers. Premium may burn slower, but it certainly isn't going to burn hotter if you aren't adding any extra air.  As for knocking what I don't understand, don't even go there.  BTW, you seem worried about voiding your warranty. I can guarantee there's a bigger chance of that happening running Seafoam than what the Opti is recommended to have added to it's fuel, being Quicksilver Quickleen. Fuel recommendation is 87 octane and Premium 92 is acceptable.  I think you need to find a new service tech that isn't so quick to brainwash while taking your money."
946084,chris.brock,2015-11-24 03:37:00,4053,"The computer will store the info and any warranty will be voided. Merc recommends lower octane fuel and highlights the importance of not using higher octane fuel.    If that's the case, another reason to avoid Mercs. Who really knows what's coming out of the pump."
946086,Joeytier,2015-11-24 03:48:00,3990,"Yeah, I'm not a small engine expert by any means, but the idea of premium fuel causing overheating and voiding your warranty sounds pretty off to me.  Would hate having to be stuck using crappy ethanol-rich 87 octane fuel (especially in Canada)."
946115,Mister G,2015-11-24 12:00:00,1429,Many outboards recommend 87 octane.......read your owners manual and you will be surprised what's in there.  You can listen to your certified trained marine tech or Margie...............it's your choice.........
946165,irishfield,2015-11-24 18:18:00,26272,"You're a piece of work Mister G, thanks for reminding me of why I had stopped trying to help guys here with technical advise.  Have fun lads, bust'm if you can."
946166,Mister G,2015-11-24 18:21:00,1429,"You're a piece of work Mister G, thanks for reminding me of why I had stopped trying to help guys here with technical advise.  Have fun lads, bust'm if you can. Only YOU have used profanity towards me, but I guess that's OK."
946171,2 tone z71,2015-11-24 18:36:00,1311,
946181,lew,2015-11-24 19:05:00,12766,"Keep on doing what you've always done around here Wayne, your knowledge & help on many things is always appreciated."
946203,Mister G,2015-11-24 20:30:00,1429,"...he's a Etec fanatitic Wanye he's already been brainwashed ,don't let one ignorant idiot affect the help you give the rest of us I think you should watch who you call ignorant buddy boy."
946209,Headhunter,2015-11-24 20:38:00,5703,Isn't calling someone Margie akin to swearing at them? HH
946210,Sinker,2015-11-24 20:40:00,8692,Fightin words where I come from.....  S.
946235,2 tone z71,2015-11-24 21:55:00,1311,
946236,2 tone z71,2015-11-24 21:55:00,1311,
946295,jtracc,2015-11-25 01:21:00,97,"Went over my manual, it does recommend 87 says higher octane runs cooler and causes excess carbon build up.  It can also cause knocking.  I take my merc to Top Gun Marine, have for years nough said about that.  If one was fat and unhealthy then went on a diet and worked out and lost the weight, would one stop what is working or continue with the success?  Just saying.  I do appreciate all the helpful info you provided for me... I'm glad theirs guys like you that can point guys like me in the right direction.  I think I'm gonna call you ""tips"""
946296,jtracc,2015-11-25 01:25:00,97,Every forum has one.  Ontario fishing community is not immune.
944791,captpierre,2015-11-15 01:17:00,2521,So did my usual winterizing of my 115 and put her to bed. Then took her out again with the nice fall weather. Didn't use the live wells. Do I need to re squirt fogging oil into the cylinders again and turn her over a bit? And do I need to pump more antifreeze into the front and back live well system after not turning pump on since winterizing with antifreeze. Feeling kinda lazy but want to do it right
944792,chris.brock,2015-11-15 01:20:00,4053,"By running it, the fogging you did a couple weeks ago is now useless.  edit- like Wayne and Mike I don't fog my 4 stroke either, always premium (no ethanol) gas, last tank with Stabil  I don't fog 2 strokes either, premium gas, Stabil, and a cap full of oil down the spark plug hole and pull it over a few times."
944793,Joeytier,2015-11-15 01:21:00,3990,"Well yes, if you have gas in the motor and fuel lines and no fogging oil, it's not winterized."
944794,irishfield,2015-11-15 01:34:00,26272,"Why I cap my livewell intake ports after winterizeing and as for fogging, unless you're storing beyond next summer, I wouldn't be bothered with fogging a 4 stroke. Quick check of your lower unit oil for water (pull lower plug.. look.. feel oil.. put back plug). Presuming that you put stabil in your last fuel fill you're good, otherwise you need to go fishing again!"
944795,mike rousseau,2015-11-15 01:37:00,4661,Never fogged a 4 stroke before... Just stabilizer
944796,cram,2015-11-15 01:46:00,1733,"my livewell pipes (both the intake and drain) empty when I pull the boat out of the water.  I still pour antifreeze in just in case there's something in the pump, but you could likely get away with just turning it on for a second to run air through it."
944797,chris.brock,2015-11-15 01:53:00,4053,"my livewell pipes (both the intake and drain) empty when I pull the boat out of the water.  I still pour antifreeze in just in case, but it does seem kind of pointless.  Unless you can see the plumbing, there could be a low spot. Easy and cheap, I'd still pour in some antifreeze."
944799,captpierre,2015-11-15 02:01:00,2521,I've always wondered about the fogging oil. Seems only the bottom side of the cylinder gets the benefit after I squirt it in. Unlike the old 2 stroke where I sprayed it into the running carbs and drowned her. Using a funnel and hose I pour antifreeze into the rear live well intake and run the pump first to the front well. Then close the front well valve and open the rear valve. I doubt any water gas gone into the pump and plumbing after not running the pump since winterizing. But I'm not sure.
944801,irishfield,2015-11-15 02:05:00,26272,"IF you didn't cap that intake, then just putting the boat in the water refilled the pump and lines to the hull water line. Pending how your thru hull pump is mounted, and how the hoses go forward from it, they could hold some water. I know the way mine run that the boat ramp isn't steep enough to empty the hose running to the front live well. (why I cap them before fall Musky fishing)"
944803,cram,2015-11-15 02:23:00,1733," Unless you can see the plumbing, there could be a low spot. Easy and cheap, I'd still pour in some antifreeze. I can see the plumbing.  I pour it anyway in case there's something left in the intake pump.  Seems pointless, but you never know.  Edited my post."
944804,captpierre,2015-11-15 02:23:00,2521,It's a Lund and the rail slope  to the boathouse is pretty steep but I'll re winterizing the wells. Thanks. 
944805,irishfield,2015-11-15 02:25:00,26272,Better safe than sorry. If the pump or hose cracks open the boat sinks.
944818,spincast,2015-11-15 12:19:00,3279,"sweet ride.   do the antifreeze thing - cheap insurance, I cap off the outlets, duct tape the intake screens and splash well holes as well - just so the mice don't see a potential doorway to a luxury winter condo. Fingers crossed, so far that seems to have worked."
945002,Mister G,2015-11-16 19:32:00,1429,Do you have a compressor. If so you could just blow out the lines with compressed air. I have been doing this for many many years without any problems. And I always fog my outboard before I put it away for the winter.
945021,wormdunker,2015-11-16 22:59:00,1711,Cheap insurance to fog the engine & pour some anti freeze into the water lines.  I do it every fall.
945023,Joeytier,2015-11-16 23:21:00,3990,Why not fog a 4stroke?  Seems like the heads and pistons would be just as susceptible to corrosion/rust as a 2stroke?
945025,Mister G,2015-11-16 23:36:00,1429,Why not fog a 4stroke?  Seems like the heads and pistons would be just as susceptible to corrosion/rust as a 2stroke? The theory behind not having to fog a 4 stroker is because the internal engine parts are already coated / protected with crankcase oil while a 2 stroker is not............but depending on the engine this could be a false pretense because of piston ring blow-by with fuel washing down the cylinder walls and thus your engine in not getting the protection it needs and you think you are getting.  Fogging a 4 stroke is still a good idea IMHO.......but do what you want because you are going to anyways....
945341,fishindevil,2015-11-19 09:12:00,6254,Well I have a four stroke 50hp 2011yamaha outboard and I was speaking with a few Yamaha marine mechanics about that issue to fog or not to fog ?? And they both said basically if it's not going to be stored longer than 6months that it will not need it ... Like Wayne said top it up with premium gas run top quality fuel stabilizer through it make sure water is all drained fresh oil up top & check gear case oil fill it with fresh oil and maybe a corrosion spray on everything and put it away !!!! I have done the above for several years and no issues
945348,Lape0019,2015-11-19 13:38:00,647,"My Mercury manual specifically states not to fog the engine. It is a fourtroke. It states if you want to add anything, add a little of the crankcase oil.  I don't fog, my marina recommends I don't do anything so All I do is change the oils and rund 91 (all of the time) with fuel stabilizer and quick kleen through her.  I do not bother with Antifreeze in my live well pumps either. But, I can see where my pumps are."
945352,Sinker,2015-11-19 14:26:00,8692,I've never fogged an engine in my life. My 20 year old outboard runs like a top.  S.
945353,lew,2015-11-19 14:42:00,12766,"I use a product called Storage Seal, just remove the 4 plugs, give a squirt into each cylinder and replace the plugs. Hit the key for 2 seconds and it's good to go for the winter.  Been doing this with a couple 4 strokes for the last 15 years and never an issue.  "
945472,bobkayla,2015-11-19 23:34:00,148,"As far as livewell lines freezing ,,,,my garden hose has water in the bottom of  it hanging  on the clip,,,never split the hose,,,don't worry about your lines they will be fine"
945514,irishfield,2015-11-20 02:32:00,26272,"Well when your $350 thru hull pump splits in half and your boat sinks, don't call me."
945533,John Bacon,2015-11-20 05:05:00,3277,"As far as livewell lines freezing ,,,,my garden hose has water in the bottom of it hanging on the clip,,,never split the hose,,,don't worry about your lines they will be fine  Garden hoses are usually flexible and can expand with the ice.  The hoses in your boat, not to mention the pumps, may not be so foregiving."
945539,Mister G,2015-11-20 11:16:00,1429,"Well when your $350 thru hull pump splits in half and your boat sinks, don't call me. WOW, somebody has been taking you to the cleaners for a bilge or livewell pump. I can put one in for around $50."
