1079057,David Chong,2022-03-09 14:29:00,836,They look great!!!!
1078980,akaShag,2022-03-04 01:18:00,2073,"Exactly.  Misfish posted a link to a video of a guy showing the set-up.  If I can find that reply I will re-post it here.  But basically your fly is like a drop-shot rig, with a heavier lure a foot or so below it.  For Simcoe, maybe a Meegs with an ice bug up 18 inches kind of thing for lakers and whities."
1078981,akaShag,2022-03-04 01:23:00,2073,Here is that post: 
1078987,misfish,2022-03-04 08:50:00,29133,
1078989,SirCranksalot,2022-03-04 13:17:00,3291,Thx Brian. I have used a drop shot rig on other occasions/situations with just a sinker on the end. I just was not sure what akaShag was describing. He has now clarified. thx to both of you. I might give those Meegs a try as well.
1078993,misfish,2022-03-04 17:01:00,29133,"White tubes and swim baits dead stick. Same as Simcoe. If your using a finder that is. Once you see one coming up for the bait,start reeling til it smashes the bait."
1079029,SirCranksalot,2022-03-07 14:03:00,3291,"So you are suggesting tube/swimbait on a dropshot on a dead stick? With my set-up my dead stick is usually 30-50 ft away.  I did a bit more 'research' and I think my odds are against me. The fish we usually catch have white flesh which means, as I understand it, that they are eating other fish rather than bugs or crustaceans. The guy on the other site who catches them in H'burton seems to catch mostly orange colored lakers."
1079030,akaShag,2022-03-07 14:11:00,2073,"That has definitely been my experience as well, wrt colour of flesh.  But it is still worth putting a snack out there for the greys, and if you are fishing a lake where both lakers and whitefish are present, you may well catch a bonus whitie on the fly. Doug"
1079031,SirCranksalot,2022-03-07 14:17:00,3291,"Yeah, worth a try. Like the times you say to yourself--""Ah, I'm tired of eating fish. Maybe I'll snack on a few bugs"" I am sure we all have had that thought, eh. 😉"
1079035,misfish,2022-03-07 17:49:00,29133,"Nope. Your tube or swim bait is your main bait,bottom of the line."
1078334,misfish,2022-01-25 15:56:00,29133,"I tied these up, not many. Wanted to get some feed back if they would sell. I would charge 2 for $5. They are weighted. Lead wraps and bead.      "
1078338,misfish,2022-01-25 18:43:00,29133,Would seem they are worth it. Bought out. Order for more. LOL
1078339,tender52,2022-01-25 19:41:00,270,Lookin good bud. 
1078343,ketchenany,2022-01-25 23:09:00,3229,You need to hire and employee!
1078344,misfish,2022-01-25 23:14:00,29133,There is no profit as there is.LOL
1078365,misfish,2022-01-28 15:40:00,29133,"   Something I am working on,,,,,,,,,,,,, "
1078367,Big Cliff,2022-01-28 19:21:00,6899,Those are absolutly amazing!
1078368,ketchenany,2022-01-28 20:07:00,3229,2 for $5.00 or 3 for $10.00?
1078369,Big Cliff,2022-01-28 23:00:00,6899,I'll go for a volume discount 6 for $15.00 😊
1078370,Rizzo,2022-01-28 23:51:00,4754,"amazing! And some of the math here makes me laugh. No lying, I have literally seen stores advertising $3 each or 3 for $10...I told them I will take 3 but want to pay for each separately"
1078378,Big Cliff,2022-01-29 15:50:00,6899,"Can you make some up with a white body (similar to lawn grubs) (the smaller the better)  if so, I would be interested in 8 of them."
1078394,misfish,2022-01-31 17:42:00,29133,Hope you have readers Cliff 
1078397,Terry,2022-01-31 21:32:00,14456,"Oh a dime a piece, I will take them all lol"
1078398,misfish,2022-01-31 22:05:00,29133,"Many years ago, 1979/80, a dime was a dime. Now I hear,  a dime is not really a dime, but more like a hundo."
1078400,Big Cliff,2022-01-31 23:29:00,6899,"OMG, Those look absolutely amazing! You truly are an artist. I  will come and pick them up anytime after Friday if that works for you."
1078492,Big Cliff,2022-02-05 21:17:00,6899,"I got a package in the mail today, it was anticipated but turned out to be way beyond my expectations. Brian, you are amazing! If these don't catch fish, dinamite wouldn't! Thank you so much!"
1078493,misfish,2022-02-05 21:42:00,29133,It is the least I can do SIR. I hope you catch many a perch with them. Please post pics when you do.  Tight lines Cliff.
1078499,SirCranksalot,2022-02-06 00:50:00,3291,If I buy some and I don't catch fish can I get my $$ back?😁
1078500,Big Cliff,2022-02-06 01:12:00,6899,"If you can't catch fish with these, you might as well give up fishing 😂"
1078501,SirCranksalot,2022-02-06 01:23:00,3291,Touche! 
1078503,misfish,2022-02-06 15:49:00,29133,Word is the perch and whities are spitting up reds. Got a few orders . 
1078530,misfish,2022-02-09 17:20:00,29133,"Only dink perch around this morning,but 90% took the high hook maggot and worm. Tough conditions out there. Lots of slush. Crazy amount."
1078537,Big Cliff,2022-02-10 01:05:00,6899,"Went out yesterday, boy was the fishing ever slow, we did manage a herring and some small perch, all but one was taken on my new favorite ice bugs. Thank you so much Brian these are amazing 😊"
1078709,SirCranksalot,2022-02-18 15:28:00,3291,A friend caught this on a Simcoe bug on Wed. Can't wait to try my Misfish specials!!(His actual smile much bigger than the one shown) 
1078725,akaShag,2022-02-19 13:36:00,2073,"So you are fishing those with a maggot on them?  Have you tried a perch eyeball? (and yes, folks, it IS legal to use a perch eyeball for bait here in Ontario.) Doug"
