6588480,Bigtaproot,2021-08-10 05:07:00,900,Best pic I have seen in 16 months
6588148,bbheli,2021-08-09 07:41:00,1387,News outlets in real time are not reporting 7+ hours to cross at Ft Francis.
6588152,'Taterguy,2021-08-09 07:47:00,33,LEG BAG! Thanks for all the updates. I don't cross until September. Many thanks to the intrepid travelers who are blazing the path and sharing their experiences. Good luck to all.
6588154,walleyecheek,2021-08-09 07:47:00,2231,dont forget there still working without a contract !
6588156,walleyecheek,2021-08-09 07:56:00,2231,I wonder if anyone thought about setting up porta potties along the parade route ?
6588168,five in the box,2021-08-09 08:12:00,17,They do have a couple porta potties along the way in FF. Lot of people peeing between the paper trailers too. The gas stations are #1 in the #2 business though.
6588050,bus33,2021-08-09 03:53:00,289,Update…..4 1/2 hours in line and I would say 4 to go. The Canada border wait time website says 4…that’s not accurate. I-Falls
6588052,djk50164,2021-08-09 03:58:00,370,thanks for the updates sounds like a place I would not like to be right now.
6588056,troutwater,2021-08-09 04:18:00,299,The wait time is currently listed at 6 hours at Fort Frances.....bring a jug to pee into lol
6588060,JAY221,2021-08-09 04:37:00,877,"I wish I was in line with you guys! Thanks for reporting. Later, Jay"
6588062,BCNeal,2021-08-09 04:39:00,19,Ouch!
6588064,Skywagon,2021-08-09 04:40:00,1106,"Buss33: What is your current physical location? I just talked to a friend who is just getting ready to leave his motel (in I Falls) to get in line, thanks to your update I told him to prepare, including Troutwater's suggestion of the pee jug."
6588068,bus33,2021-08-09 04:50:00,289,"We just paid our toll. I heard from a truck that went through that there are only 2 of 4 check stations open. It is 5:49 AM now…going on 6 hours in line. There are people in line whose 72 hour covid test window ran out.For those of you headed up in the future, I would schedule your covid test as close to your arrival time as you can. I don’t know if the line will always be this bad but allow for the line and any potential breakdowns. You don’t want to be in line and have your 72 hour window run out."
6588070,mswope13,2021-08-09 04:53:00,73,"Been in line at I-Falls since 3:30. From walking up to the bridge, looks like an 8 hour wait to get up to the agents. Move 100’ in 30 minutes."
6588072,Bstar,2021-08-09 05:09:00,564,Border Wait Times is showing FF at 6 hours! That's crazy! Hopefully this is an initial inrush that will relax over time. Hope it calms down by Thursday afternoon. I wonder how Grand Portage or Baudette are?
6588078,JAY221,2021-08-09 05:38:00,877,"Remember it is NOT just us fishermen but people that get to go see family and friends for the first time in a long time. I don’t know if you could tell but has anybody seen or been denied entry? Later, Jay"
6587898,MN_Moose,2021-08-08 11:06:00,964,Who's going to be the first to cross the Canada border? report your experience and recommendations
6587906,bus33,2021-08-08 11:42:00,289,Leaving home is 2 hours ..will be there at midnight God help me!
6587908,MikeAnkeny,2021-08-08 11:51:00,67,"D-day! Never was so much owed by so many to so few. Thanks first wave, we will come after you secure the beach."
6587912,lassh,2021-08-08 12:06:00,553,Good Luck and have a great trip!
6587916,JAY221,2021-08-08 12:17:00,877,"Please post a short report of your experience crossing. I wish you the best of luck. I will follow in less than 2 weeks!! Later, Jay"
6587918,hoppy63,2021-08-08 12:31:00,367,Good luck. We are about 84 hours away.
6587920,hoppy63,2021-08-08 12:35:00,367,Which crossing will you be using? Any and all info will be appreciated. We will be crossing at the soo. Will report our experience asap once across.....I hope!
6587938,BreezyPoint,2021-08-08 14:40:00,1581,Crossing in Baudette at noon tomorrow. Will post about experience.Frank
6587948,troutwater,2021-08-08 15:32:00,299,"I'm not in the first wave, but I'm crossing Tuesday afternoon/evening"
6588036,bus33,2021-08-08 23:59:00,289,Got in in line at International Falls at 11pm…..line is at least a mile long. We are advancing one car length every 10 minutes. At this rate I will get across at day break….maybe.
