6605030,Wallguy123,2021-10-22 05:19:00,13,How late do you usually keep your boat out?
6603384,prov1800,2021-10-13 19:11:00,5010,Must be talking about keystone lodge.and further yet there are a dozen private cottages
6603434,Eckohlt,2021-10-14 03:43:00,3685,That's the one
6603476,prov1800,2021-10-14 07:34:00,5010,Glad we got that figured out. How was your trip
6603532,prov1800,2021-10-14 09:36:00,5010,Here are the deer I took last year.We had a good season and nice mild weather.Bit of snow to help sliding gear in some 500 yds and deer out.All big bush pretty remote hunts.
6603558,7 Mag,2021-10-14 10:07:00,1887,That's a nice buck! I've dragged a lot of deer out of the woods so i know how much work that was!
6603562,Eckohlt,2021-10-14 10:19:00,3685,"Trip to press lake was good but hot weather,it's a long trek on a gravel road back to the resort,very private place.fishing was good not great but good,average size was alittle small,but great owners and very well run,now I'm searching for new water for next oct,might try cedar or maybe give gull rock another shot"
6603278,prov1800,2021-10-13 14:25:00,5010,Well halfway through October and weather is starting to cool off and some rain.My thumb still kinda sore and with deer season iam going to put my boat away while the going is good.Had a great 2021 season and had a great run since border opened.Cant complain.Caught a few thousand walleyes and put 54 muskies in the net.Time to move on to deer season.Have some baits out and deer are already coming.Will be looking forward to that and will be back on here when the ice fishing starts.Got to love all the seasons.Catch you guys sometime in the new year.
6603284,RichA$1970,2021-10-13 14:48:00,1159,"Hope the thumb heals quick and although it probably wasn’t too hard for you, thanks for the posts on your time on the water while many of us were just dreaming on getting up to God’s Country. I hope next year you have to deal with a little more traffic from the sanctuary you had the past 2 seasons and everyone can enjoy the gifts of Sunset Country."
6603286,Eckohlt,2021-10-13 14:57:00,3685,John do you also get free bait for the deer?lol
6603288,7 Mag,2021-10-13 14:59:00,1887,Thanks for the all the reports and pictures John! Looking forward to some deer pictures!
6603290,Eckohlt,2021-10-13 15:00:00,3685,"I'm hoping to put a few thousand in the boat next year also,starting in June then July then sept then oct,john is that a resort in Muskie bay on cedar or private place?"
6603324,prov1800,2021-10-13 16:42:00,5010,No.lol.Just bought 1000 lbs last week.Last me a while.Buddy from Madison will load up what he can to.
6603328,prov1800,2021-10-13 16:45:00,5010,Are you talking maybe cliff.Nothing in muskie bay on Cedar.But 2 places in muskie bay on cliff.one private and for sale.
6603332,prov1800,2021-10-13 16:51:00,5010,Just put cam in and have some deer already.Looks like a doe and 2 fawns and spike buck.Shot a good buck there last year.
6603350,rather-be-fishin,2021-10-13 17:48:00,429,Thanks for all your posts & pictures! Much enjoyed! Have a nice Fall & successful deer hunt & look forward to the ice fishing posts & pics! RBF
6603358,7 Mag,2021-10-13 18:08:00,1887,Are you moose hunting this year?
