59159,mattyk,2007-04-12 16:35:00,2110,wow thats a really nice fish! Thanks for posting a pic.
59093,Basskicker,2007-04-12 13:54:00,421,You guys just don't keep up.....nice fish!!! I sure was nasty out there last night. Hey Cliff.....you must be getting pretty good with that net by now....hehehe  ....oh by the way I haven't forgot about opener.  Jason
59095,ccmtcanada,2007-04-12 14:00:00,7971," Yes Jason...I'm getting pretty darned good with that net!! LOL.  I haven't forgotten either...saved your PM...haha.  If you want to get together before then, just let me know.  Cliff"
59104,Basskicker,2007-04-12 14:20:00,421,Hey Cliff....maybe this weekend...Saturday I'm going to Ottawa to watch the game....maybe Sunday afternoon if your free. Just let me know  Jason
59105,Golfisher,2007-04-12 14:21:00,586,"At this rate, the student will soon beat the master.  CC must be looking back his shoulder constantly nowadays."
59110,ccmtcanada,2007-04-12 14:40:00,7971, Cool Jason...PM sent.
59133,snag,2007-04-12 15:26:00,1932,"Well, we know who wears the waders in the family.  Hey Cliff, How 'bout a spa day? We could get our nails done."
59136,walleyejigger,2007-04-12 15:31:00,876,"way to go Bly, looks like team 9 has a ringer,"
59137,Puckhead,2007-04-12 15:32:00,377,lol at snog..
59138,Bly,2007-04-12 15:38:00,1556,  ROFL!!  Let me know how that goes...  bly
59140,Victor,2007-04-12 15:48:00,1609,nice fish bly! really can't wait till the end of the week so i can get out there ...  i've also bought a samurai-7i ... not as smooth as i thot it would be with the 7BB ... well more isn't necessery better but for that price it's a pretty decent reel.  Thanks for the report
59145,Bly,2007-04-12 16:06:00,1556," I have only used a few different reels  (4 to be exact lol)  and I was very pleasantly surprised with the feel of the Diawa for what I paid for it.   My casting was much smoother with more control and the better drag was much appreciated last night.  After the Easter trip, was glad not to see any loops and slack in my line.  Again....new at this but I think I can see why Diawa is well liked  Good luck this weekend!!!  bly"
59155,ecxstriper,2007-04-12 16:24:00,343, Hey cliff I only pay for fishing equiment and not for spa days unless it is for an injury incured while fishing .
59157,ccmtcanada,2007-04-12 16:30:00,7971, Ummm...the hangnail I have is from getting my fingers caught in the net...does that count???
59158,ccmtcanada,2007-04-12 16:31:00,7971," I'll have to see if she lets me...if she's fishing, then I'll be manning the net....  I could use a good manicure though...I'll call you."
