957591,LefroyFisherman,2016-02-13 15:02:00,602,Geez Manitou looks like you really don't like Dora!
957254,adam lancia,2016-02-11 21:59:00,234,"Hi all, I'm just wondering when SAIL, LeBarons and Gagnon's usually have their spring fishing gear sales...? Thanks in advance!"
957255,misfish,2016-02-11 22:16:00,29133,"Cabelas is in full swing right now. They are full to the rafters with everything. They over stocked big time. I,ll be watching very closely on a flip hut."
957257,Old Ironmaker,2016-02-11 22:17:00,8243,"Forget about their sales go to the Hamilton Bassmasters Spring Swap Sale. I don't know exactly when, someone here knows. Speil when is it this year?"
957258,misfish,2016-02-11 22:22:00,29133,"Forget about their sales go to the Hamilton Bassmasters Spring Swap Sale. I don't know exactly when, someone here knows. Speil when is it this year?  Will you be there? Cause I am."
957262,captpierre,2016-02-11 22:32:00,2521,LeBaron usually has a no tax sale on during the shows. Haven't heard anything yet.
957264,bigugli,2016-02-11 22:45:00,6138,"Saturday April 2nd. Hours of  9 - 2. It is a great show for deals, meet up with small manufacturers, guides, etc..."
957266,misfish,2016-02-11 22:59:00,29133,"Saturday April 2nd. Hours of  9 - 2. It is a great show for deals, meet up with small manufacturers, guides, etc...  And SALSA"
957267,Loonietoon,2016-02-11 23:26:00,1450, Will you be there? Cause I am. I am waiting to hear if I have a table or not.. lots of stuff to sell that I have never used.. lots of Muskie lures also
957268,Garnet,2016-02-11 23:29:00,2056,Bowmanville and Trenton are March 13
957283,adam lancia,2016-02-12 01:03:00,234,"Forget about their sales go to the Hamilton Bassmasters Spring Swap Sale. I don't know exactly when, someone here knows. Speil when is it this year?  I have a $50 SAIL gift certificate that I'll be putting towards trying out some new line and a few odds and ends. I want to try and turn that $50 into $56.50 (I think they do a save the tax event, correct...?). I'd like to make it to the swap meets but I won't be in town for the one in Hamilton. I'll look up the dates for the one in Bowmanville but Trenton is too far to drive for a swap meet from the GTA (for me at least...)."
957293,fishdawg,2016-02-12 02:01:00,912,"New for this year, Canada's Great lakes Marketplace and seminars in St Catharines Sat Feb 27 http://www.greatlakestrollingseminar.com/"
957296,Freshtrax,2016-02-12 02:26:00,2215,A few of us trollers will be attending that one
957299,Old Ironmaker,2016-02-12 03:05:00,8243,"We need name cards to ID us OFC rats that we didn't need for our G2G in Hamilton. Wormdunker actually printed some up, bless his soul. There were only a dozen of us so not required. Or maybe we can develop a secret hand shake for OFC members for the swap meet or if we meet someone in France or Istanbul, then we will know he or she is one of us in our secret society..........  Maybe ball caps are easier. If you pay for them I will sell. Of course with permission from the secret society, Art, Spiel et all."
957300,Freshtrax,2016-02-12 03:25:00,2215,on that note i would like n ofc sticker for my boat!
957301,206,2016-02-12 03:29:00,563,Bowmanville and Trenton are March 13 not sure why the lil Trenton one would do the same day as Pete's Bowmanville one but oh well....I need to find out if that guy from Ottawa with all the totes full of baits and plastics will be in Trenton?
957319,Old Ironmaker,2016-02-12 06:05:00,8243,50 bucks will get you a knife sharpener there. At the Hamertown sale a rod and reel.
957320,Old Ironmaker,2016-02-12 06:10:00,8243,"Is there such a thing? I need 3. Boat, truck and cottage. The first guy or lady that want's a Tattoo I'm chipping in."
957324,Freshtrax,2016-02-12 07:23:00,2215,I have seen two on trucks going down the road so they do exist.
957331,manitoubass2,2016-02-12 09:16:00,11391,Ive even seen then way up here. Actually ended up having coffee with the guys as they headed up north from the states.  Cant remember who they were??? But one guy wrote a book or two and they were also walleyecentral guys.  And just so ya know its real easy to make a sticker
957337,Garnet,2016-02-12 11:53:00,2056,Yes he will be at Trenton. And I guess you know they moved it to Batawa couple years ago.  I will go to Bowmanville in morning and if weather is good Batawa at noon. Will likely miss my Bellville buddy's as they will do opposite.
957343,adam lancia,2016-02-12 12:57:00,234,"50 bucks will get you a knife sharpener there. At the Hamertown sale a rod and reel.  If I weren't going to be in Rio then, I'd be making the drive down there. I don't imagine that gift certificate would do me much good there though, and I'm definitely not taking any of the Kijiji numbnuts up on their offer of paying 75% of a gift card's value to offload it..."
957344,manitoubass2,2016-02-12 13:07:00,11391,Better be a slit like this!  
957351,bigugli,2016-02-12 13:51:00,6138,There is also a fishing/ outdoor show in Ft Erie on March 13th at the community centre.
957362,206,2016-02-12 15:04:00,563,Yes he will be at Trenton. And I guess you know they moved it to Batawa couple years ago.  I will go to Bowmanville in morning and if weather is good Batawa at noon. Will likely miss my Bellville buddy's as they will do opposite. Sweet I maybe in the same boat as you....no pun intended!
957588,jedimaster,2016-02-13 14:29:00,3472,"Anyone been to the show? Looking for a new shakey head rod, just wondering if its worth while going. Anyone see a deal on a loomis GLX or NRX or a St.Croix Elite"
