1004537,Dutch01,2017-05-25 18:33:00,1431,So....I guess political threads are okay again?
1004647,John Bacon,2017-05-26 14:39:00,3277," Was it like the Tesla systems? Those look amazing.  Tesla solar roof: https://c1cleantechnicacom-wpengine.netdna-ssl.com/files/2016/10/Unknown-1.jpeg  Plus powerwall: https://www.tesla.com/en_CA/powerwall  When I ran the calcs this system would pay for itself in 4.5 years in Northern Ontario. 1 year if you need to replace the shingles anyway.  Really?  The figure that I read was $50,000 USD for a Tesla roof with battery system.  We wouldn't need the battery system in Ontario if you sell back to the grid.   But even without a battery system a one year pay back doesn't sound reasonable."
1004648,manitoubass2,2017-05-26 14:42:00,11391,"Just install some turbines and a waterfall on your property lol  I seem to be one of the few not getting nailed on hydro(thankfully)  We have 10 people in the house, high school age kids that don't understand why it shouldn't take an hour to shower, and our bill is still only around $120-140/month"
1004651,DRIFTER_016,2017-05-26 15:30:00,10439,Isn't that because its always dark then  The sun is very low in the sky during those months and would mostly be blocked by trees and terrain. And it's only above the horizon for a few hours.
1004652,Raf,2017-05-26 15:31:00,3495,Are you hooked into Manitoba's power grid? LOL  Doesn't make sense unless you have everything running on gas.
1004654,John Bacon,2017-05-26 15:42:00,3277,Just install some turbines and a waterfall on your property lol   Do you have instructions for installing a waterfall on your property
1004655,DRIFTER_016,2017-05-26 15:48:00,10439, Do you have instructions for installing a waterfall on your property  Check Youtube they have videos on everything!!!!!!
1004656,manitoubass2,2017-05-26 15:48:00,11391,"I can't explain it, it is was it is. Been that way for a few years since neighbours complained of $1200/month bills  I just hope it keeps up lol"
1004685,aplumma,2017-05-26 19:34:00,6896,To the few who keep going political you are on your last round of forgiveness. It is summer time we are all busy with the great outdoors I do not have time to read all of the threads so I expect people to police themselves for the most part many have done a good job. For the few who keep pushing the political thoughts here you are going to become really unhappy when your account is Mod Qed if you have to ask if it is you then it most likely is.  Enjoy the summer and if you have forgotten the rules then please reread them I prefer NOT to have to Q anyone.  http://ontariofishingcommunity.com/forums/index.php?app=forums&module=extras&section=boardrules   Art
1004405,DRIFTER_016,2017-05-24 21:48:00,10439,"well this makes tons of sense. :shakes head: We're going to save you $24B off your hydro bill and it's only going to cost you $45B!!!! Man, politicians are complete morons!!!  http://www.cp24.com/news/liberal-hydro-rebate-plan-will-cost-45b-and-save-ratepayers-24b-watchdog-1.3426861"
1004407,LittleWorm,2017-05-24 22:02:00,122,Good ol liberal government. If there's a way to screw the working person over they will find it.
1004411,ketchenany,2017-05-24 22:59:00,3229,Hope they get wiped off the map. Instead of paying debt off they increase it. This is a real bright move when the head boy is making 4 million a year. You want to read some real money waste read the action plan on climate change.
1004412,leaf4,2017-05-24 23:02:00,2466,"So much for the pipe dream of ""clean affordable renewable energy"""
1004413,ketchenany,2017-05-24 23:19:00,3229,"I wrote these jokers when they announced their reduction plan and asked ""what happens after 4 years"". NOT a peep put of them! MY MMP, Transpotattion paid 19 mil for trusses that were put upside down!"
1004415,Fisherman,2017-05-24 23:30:00,7201,"The problem is the average Jane/Joe looks at it from day to day, smiles, says thank you for the decline in hydro rates.  In the long run they have absolutely no concept of what interest, deficit and debt does.  Shows how many morons are out there."
1004416,John Bacon,2017-05-24 23:40:00,3277,"Re: ""Energy Minister Glenn Thibeault has said OPG has expertise in managing hydro-related debt.""That's an understatement.  Hopefully the voters won't fall for it... I know, wishful thinking."
1004420,ketchenany,2017-05-25 00:17:00,3229,"A lot have, save now to pay a lot later and they get re-elected. If they pass the legislation next week it will be law and no turning back, we are stuck with it. Correct me if I'm wrong.  I have known a few people who put a lot on their mortgage and in the long run lost it!  My dad used to say ""wear your shoe, how it fits, not too tight; but not too loose"".  Followed his advice and it does work."
1004436,moxie,2017-05-25 01:56:00,1566, Aren't we the morons? Not only for giving them a 4th mandate but have let them get away with what would land us morons in the Crowbar Saloon breaking big rocks into smaller rocks for a very long time.
1004439,LeXXington,2017-05-25 02:20:00,1928,"The problem is the average Jane/Joe looks at it from day to day, smiles, says thank you for the decline in hydro rates.  In the long run they have absolutely no concept of what interest, deficit and debt does.  Shows how many morons are out there. Not sure its right to call them morons,  there are people out there that can not afford to heat their homes in winter.  Given a choice between heat and food some were going for the heat.  A plan to reduce the cost will entice a large number of people.  The mess is there I would love to see a plan to fix it not just kick the problem to my wallet."
1004440,scuro2,2017-05-25 02:23:00,904,http://www.climatecentral.org/news/white-house-budget-aims-to-kill-crazy-climate-science-21471  The Crazy people have taken over. Scientists are seen as scum.
1004442,SirCranksalot,2017-05-25 02:40:00,3291,"I am not trying to defend the indefensible by trying to defend what they have done. I will not be voting for Wynne. But bear in mind that we the public have been shafted by all 3 parties---Peterson, Rae, Harris and now Wynne. Their mucking around with the elec system has always been motivated by politics, not economics and it us poor suckers who end up paying thru the nose!"
1004448,Dara,2017-05-25 03:35:00,3052,We are having a by election in 2 weeks.   Can't wait
1004461,Fishwilly,2017-05-25 11:32:00,206,"The problem is the average Jane/Joe looks at it from day to day, smiles, says thank you for the decline in hydro rates.  In the long run they have absolutely no concept of what interest, deficit and debt does.  Shows how many morons are out there. Hence why the fiberals got in again !!"
1004462,John,2017-05-25 11:40:00,2956,Hate to burst the bubble but that 45B could easily become 80 or 90B..
1004463,dave524,2017-05-25 11:45:00,4508,<-----------
1004469,Fisherman,2017-05-25 12:41:00,7201,"Hate to burst the bubble but that 45B could easily become 80 or 90B..  Hahahaha,  more like a nuclear detonation."
1004473,Sterling,2017-05-25 13:13:00,477,"So much for the pipe dream of ""clean affordable renewable energy""  It's sad because this is a thing. We just can't get it right. The big boys like China, USA, Germany, etc etc etc are making major investments in renewable energy. And I doubt this is done in the spirit of environmental care. These countries aren't stupid.  Solar, wind, geothermal and to a certain extent hydro, are a sound ways of producing energy affordably.  It's just so sad that Canada can't execute this properly.  My only recommendation is to install your own renewable energy source; whether it be solar or geothermal. Solar is at a point now where it's a clear net gain even without adjusting for future increases in electricity costs."
1004476,leaf4,2017-05-25 13:37:00,2466,"I have looked into solar, 30k, repaid after 8 years. It's not bad imo. The only drawback is the liability, I have a friend who did it with his house and squirrels ended up just wrecking his roof, damaged 3 panels and he had water damage as a result of the damage caused on the roof, he had to shell out big money to remove the panels, fix the roof and then replace and have them setup again."
1004477,ketchenany,2017-05-25 13:43:00,3229,Happy reading    http://www.torontosun.com/2017/03/05/ontarios-hydro-mess-sees-power-producer-paid-to-sit-idle-ndp-mpp
1004482,John Bacon,2017-05-25 14:12:00,3277,"I have looked into solar, 30k, repaid after 8 years. It's not bad imo. The only drawback is the liability, I have a friend who did it with his house and squirrels ended up just wrecking his roof, damaged 3 panels and he had water damage as a result of the damage caused on the roof, he had to shell out big money to remove the panels, fix the roof and then replace and have them setup again.  The new Tesla roofs look good.  They have solar shingles instead of adding solar panels to an existing roof.  That would solve some of the problems with solar.  They are a less efficient though.  Connecting all of those shingles may be an issue those."
1004519,DRIFTER_016,2017-05-25 17:23:00,10439,"I have looked into solar, 30k, repaid after 8 years. It's not bad imo. The only drawback is the liability, I have a friend who did it with his house and squirrels ended up just wrecking his roof, damaged 3 panels and he had water damage as a result of the damage caused on the roof, he had to shell out big money to remove the panels, fix the roof and then replace and have them setup again.  Metal roof!!! Just sayin'."
1004520,AKRISONER,2017-05-25 17:38:00,5558,"in before the lock....  what i wanna know is who the the heck is actually falling for this move??  Seriously, is there anyone out there that truly thinks that borrowing more money to pay the debt is a good idea?"
1004531,John Bacon,2017-05-25 18:14:00,3277,borrowing more money to pay the debt  It is funny when you think of it that way.
1004536,Fisherman,2017-05-25 18:21:00,7201," It is funny when you think of it that way.  I wouldn't exactly call it funny, it's the moronic liberal way."
