6535808,Eckohlt,2021-03-08 17:50:00,3685,"You must have been on one big arse fly in lake to 20 miles from camp,can I ask what lake it was?"
6535792,maddogg,2021-03-08 17:38:00,178,Don't tell my outfitter but when I flew in with just my wife I would put another outboard in the boat as a spare. Sometimes we would be 20 miles from camp and I figure my wife wouldn't be very happy if we had to paddle back with 1 paddle.
6535460,NM_Trout,2021-03-07 21:49:00,1094,"Just thinking about how I miss having oars on the boat at the outposts.I like to maneuver with the motor off, while my daughter fly casts around the rocks and weeds for pike. Using a paddle is a pain. Do any outfitters provide oars for the boats? I've thought about just buying a pair and donating them to the camp."
6535490,kettyspanky,2021-03-08 04:24:00,271,I have 2 in my boat that came from fleet farm I believe. It's one that telescopes in and out. It's like 2 foot long when telescoped in and like 4 foot long when it's all the way out. Very compact and works very well. It's something you could take with you on your trip. Just a suggestion.
6535538,Bill Krejca,2021-03-08 07:25:00,6107,"For those who have never fished with a person at the oars, it is easy to not understand the degree of absolute control one has over the boat. I would go so far as to label it the ultimate in finesse fishing. As I was raised using oars as ""manual spotlock"", I, too, recognize the advantages of oars, which on most fly-in size boats, would be ideal for superior maneuvering. Bill"
6535542,maddogg,2021-03-08 07:31:00,178,"All outposts I've been to have always had a canoe paddle in the boat. It would make more sense to have oars,in case you had motor problems."
6535550,Wallychowder,2021-03-08 07:48:00,1567,I believe its a law that rental boats must have at least one (1) oar ?
6535622,Wawajake,2021-03-08 11:03:00,413,Sadly it looks like a few here don't know the difference between an oar and a paddle. &#x1f642;
6535632,Wallychowder,2021-03-08 11:19:00,1567,"Paddle , oar ...who cares , they'll both get you to where you wanna go.......&#x1f92d;"
6535640,Huntindave,2021-03-08 11:32:00,2194,"NO,,,,,,,,,, if you ever compared the two forms of propulsion when used in the typical 14 ft camp boat, there is no way in heck that you would say ""who cares""."
6535642,Wallychowder,2021-03-08 11:43:00,1567,Oh geez are we going to debate this now ? Hey in an emergency give me one or the other.....i dont really care ! All I'm saying is I'm pretty sure a rental boat no matter where it is ! Needs a oar or oars or a paddle (and i dont mean a paddle fish)
6535644,emma17,2021-03-08 11:44:00,436,"It's understandable how some may think it's splitting hairs w semantics. As I grew up using a row boat I became very accustomed to two oars that had a metal ring around them with a metal peg. One oar's peg is inserted in metal receiver on starboard side and one on port side. Face backwards and pull the oars in same direction for forward propulsion, then use them opposite directions for precision. A paddle is basically the thing you use in a canoe. It is also used as emergency propulsion if the motor doesn't function AND if you do not have oars. I like oars too, but they take up space."
