977915,leaf4,2016-07-28 21:00:00,2466,Lmao woooow
977637,misfish,2016-07-25 22:03:00,29133,"the MTO doesn't specify any particular type of chain, just that it needs to be sufficient strength to prevent detachment in event of a hitch failure...so basically the chain has to have a min breaking strength of whatever you are towing  the gold grade 70 at PA is overkill for towing a boat, but of course it works just fine...you could save a few bucks per foot though, if that matters  somebody mentioned hook strength too...very important point! I always see guys using the large size carbineers from the hardware section, because they are quick and easy...those things suck, they aren't rated for towing and they fold out straight like a paper clip lol  I think it's actually the MTO farm guide that talks about safety chains if you wanted to google it up   I am sure the S hooks are eligal as well. Must be a secure connection to the hitch/reciever. The chain should not be draging on the ground. You want to chain to craddel the hitch. And yes like said, cross the chains. Carbineers are the cats meow. You can also use the thread lock links. I find they get harder to thread lock in, as time goes by. Princess auto or Brafasco would be my choice to purchase new chain."
977651,DRIFTER_016,2016-07-25 23:58:00,10439,When I needed to replace my chains I just got a set of these from BPS. Love the spring clips on them.  http://www.basspro.com/Trailer-Safety-Chains-with-Spring-Clips/product/1108311649143/
977652,G.mech,2016-07-26 00:11:00,830,Everything you ever wanted to know about safety chains and more:  http://www.cerka.ca/catalog/76.asp
977678,wormdunker,2016-07-26 05:13:00,1711,"Ironmaker - To comment on chains I can tell you that 1/4"" chain has a WLL (working load limit) of 2,800 lbs with a built in safety factor of 5.  This means the chain will break at ( 5 X 2,800 = 14,000 lbs).  This applies to a vertical pull.  If the chains are not vertical, but at an angle the values decrease. B S = breaking strength.    WLL = working load limit - sometimes also referred to     SWL (safe working load). 3/8"" diameter chain    WLL 5,680 lbs   B S (5 X 5,680 = 28,400 lbs) The above values are used for Grade T (8) alloy steel. Also these values only apply to steel chains manufactured in Canada or the USA. Every manufacturer has their own rating for chain & steel cable.  To be sure of your purchase ask the retailer to supply the ratings for that particular chain.  Hooks also have a rating chart.  Rust, & deformation of the links will greatly reduce the rating as well."
977685,Old Ironmaker,2016-07-26 11:04:00,8243,I would think the weak point of the chain is either the hook as stated before and the connection to the trailer itself. I see many self tapping bolts that are rusted to all heck and cracks in the tongue where the bolt is attached. I think that connection should be a shoulder threaded stainless through bolt if it isn't. I need to look at my trailer.
977689,Mister G,2016-07-26 12:15:00,1429,"My new trailer has spring loaded cables instead of chains......  BTW is the chain is a little bit long, just twist the chain to shorten them to the length you desire."
977695,Old Ironmaker,2016-07-26 13:07:00,8243,Wouldn't that give you a kink in the chain? I know for sure that kinks in the crane chains was a no go for a lift.
977714,Mister G,2016-07-26 16:21:00,1429,Wouldn't that give you a kink in the chain? I know for sure that kinks in the crane chains was a no go for a lift. Lifted over 50 ton that way and never a break in 30 years....  When pulling with a chain they just break and the broken links fly like a bullet. But using a cable you can see them unraveling for a warning......no warning when a chain breaks.
977716,Old Ironmaker,2016-07-26 16:30:00,8243,Cables are  a great choice.
977737,misfish,2016-07-26 20:23:00,29133,"My new trailer has spring loaded cables instead of chains......  BTW is the chain is a little bit long, just twist the chain to shorten them to the length you desire.  Theres a millwright trick right there. Good call sir G"
977797,wormdunker,2016-07-27 08:27:00,1711,"I like the idea of the spring loaded cables.  As stated above you can see a cable start to deteriorate, whereas a chain needs a thorough inspection of each link before being put into use.  For this reason chains are not allowed to be used for hoisting on some construction sites.  25 years ago chains were not allowed on any site in Ontario."
977802,Tybo,2016-07-27 12:58:00,1373,"The thing,about wire rope. You truly don't know what is is happening to the centre core until strands start to brake on the out side.. Now you are using them under no load conditions.If the centre core is rotten,(which happens a lot with no load ropes.)When needed the rope lets go. I'll stay with my chains on trailers and only Kevlar slings at work."
977831,Mister G,2016-07-27 18:11:00,1429,"The thing,about wire rope. You truly don't know what is is happening to the centre core until strands start to brake on the out side.. Now you are using them under no load conditions.If the centre core is rotten,(which happens a lot with no load ropes.)When needed the rope lets go. I'll stay with my chains on trailers and only Kevlar slings at work. Are you referring to a hemp core cable, because if you are those are dangerous and we almost lost a man because a contractor had them on the job."
977840,Tybo,2016-07-27 20:09:00,1373,"Are you referring to a hemp core cable, because if you are those are dangerous and we almost lost a man because a contractor had them on the job. Never use hemp core.Heard of it but never use.It's been a very long time since I use wire rope slings."
977906,Mister G,2016-07-28 17:33:00,1429,OOPS.............  http://imgur.com/7O0Hd9N
