544194,Cosmos,2011-01-27 13:46:00,588,how do you like it? I was planning to get one.
543823,asdve23rveavwa,2011-01-26 17:39:00,2690,"Garmin GPSMAP 76CSx  In stock 010-00469-00 $259.95  Ah, man...why'd you have to show me that, Terry!!!  How, can I sneak that purchase by the ""little lady""..."
543824,uglyfish,2011-01-26 17:39:00,981,Di have a lowrance h2o and its been great. Got it for 100 bucks. And I think new they're less then 200. Or for a bit more u can get the color model.
543832,asdve23rveavwa,2011-01-26 17:53:00,2690,"Hey, Geoff, maybe we can get a quantity discount on that Garmin that Terry and Doc mentioned, lol!!!!? I'm trying to be cheap too, but, that is a great unit for under $275!"
543833,Fang,2011-01-26 17:57:00,1330,If you want check out the post I made for an older Garmin 12. Exactly what I used that one for - no mapping though just WP and tracking/trail function   Hopefully we can hook up on the other stuff before ice fishing ends. Your Dec/Jan sounded a lot like mine.  Paul
543834,DRIFTER_016,2011-01-26 17:58:00,10439,"If all you want it for is finding your way back you don't need a mapping GPS. You can pick up just about any GPS used for lots less $$$. Check ebay.  I have 2 oldert non mapping GPS units that do the trick for general navigation.  Oh, and I have one of those Garmin GPS Map 76 dealies too. The B&W version though."
543836,Lunkerhunter,2011-01-26 18:00:00,455,i use the garmin oregon 200 and i absolutely love it. a friend has the 400 and its even better.  the oregon has full mapping capabilities as well as depth charts available.
543842,Guest ThisPlaceSucks,2011-01-26 18:17:00,0,"if you're going to use a non-mapping gps, you might as well use a proper suunto, a map, and a pacing factor.  it's will likely be more accurate."
543848,DRIFTER_016,2011-01-26 18:29:00,10439," How do you figure? They both mark a waypoint and can take you to that waypoint. The mapping one just shows you a topo map of the area as opposed to a plain field with a waypoint on it.  I have been using a non mapping GPS in my boat since 1995 and have no problem getting back on the spot. Don't get me wrong I like my mapping handheld and want to replace my boat's GPS, but all the OP want's it for is to get back to his vehicle in white out conditions and a plain old basic GPS will do that and won't cost him $300. He does say he wants a mapping GPS, but for what he wants to do with it, it's not needed."
543850,GBW,2011-01-26 18:33:00,8460,"thanks guys, keep em coming. I found a Garmin eTrex H GPS for $50.  Will it do what I want and is it any good?"
543853,DRIFTER_016,2011-01-26 18:46:00,10439,  They work fine they just don't have mapping. But as I said you don't need mapping for what you said you want it for.
543855,Guest ThisPlaceSucks,2011-01-26 18:51:00,0," I'll rephrase. If you're just getting into the world of GPS, don't start by using an antiquated technology.  And by and large a compass is actually more accurate and much faster than even a mapping gps when it comes to following a route through the bush."
543857,peterc,2011-01-26 18:59:00,28,  Is it my GPS?  Peter
543860,Roy,2011-01-26 19:04:00,13728,Whether you're using a mapping or non mapping GPS you should have a good compass with you at all times.
543862,GBW,2011-01-26 19:05:00,8460,
543867,Guest ThisPlaceSucks,2011-01-26 19:13:00,0,"another consideration is that no gps before 2005 is WAAS enabled.  if you want your gps to work in a whiteout, i would advise being WAAS enabled.  unless you want to buy an external antenna."
543868,Guest ThisPlaceSucks,2011-01-26 19:14:00,0,"  absolutely!  at any elevated security level, homeland security can scramble the US satellites, not to mention mechanical failure."
543891,canadadude,2011-01-26 19:54:00,769,"I'm not sure this is true, I timber cruised in the 80's with a silva, map, arieal photo's and a chain rope. It was pretty accurate, but leaves lots of room for human error, a gps will give you your exact location, the route you've traveled, your destination and where your start pt was.I'll tell you if I was still working the bush I wouldn't leave the truck without a GPS.Your right  relying completly on your GPS could be a mistake, and one should always have a compass with them when traveliing through the bush, but as far a accuracy it's pretty tough to beat todays technology"
543901,Guest ThisPlaceSucks,2011-01-26 20:13:00,0, a non-waas GPS can be up to 100 metres off the mark. we both know you are far more accurate than that.
543922,peterc,2011-01-26 20:38:00,28,"  I have one for sale on other boards.Identical,same price,just curious."
543926,GBW,2011-01-26 20:42:00,8460,I know you do...
543930,archer379,2011-01-26 21:11:00,277,"i just bought a etrac venture hc radioworld has them on sale for a 100.00 comes with case, dash mount, and car adaptor."
