358683,fishaman,2009-07-05 13:56:00,1,Can you fish from shore in this tournament ? Can you fish from shore with the kids at Bingemans ?
358546,jediangler,2009-07-04 20:25:00,1923,"Just got back from a visit to Bingeman's with my daughter to check out the leaderboard. As of 3:30pm Saturday the leading fish is 19"" long. While we were there a couple brought in two fish to be measured. They had their bass in a cooler with a battery powered bubbler so they were in great shape. Hers was 17.5"" and his was 18 5/8"", good enough for 5th place. Of course the guy measuring (not Nelson) dropped the big smallie off of the table and bounced it on the ground before measuring it."
358576,profc,2009-07-04 23:22:00,2,I made it out for a couple hours just south of Kolab park in Kitchener.  The water was fairly dirty and not as high as I expected it would be.  The traffic on the river wasn't crazy. About what you would expect.  I'm thinking about heading out again tomorrow if anyone wouldn't mind me tagging along. Lord knows I could sure use some local tips after today's show.  I got a couple blue gills but no smallies for me!
358585,jediangler,2009-07-05 00:12:00,1923,"Hey profc, welcome to the forum. I've been fishing the Grand here in k-town since I was a little squirt and I've never heard of Kolab park. Where is it? I probably know it by another name. I can PM you a spot or two to try tomorrow."
358587,Musky or Specks,2009-07-05 00:23:00,2710,Hey Jedi are you old enough to have fished it in the late seventies when the bass fishery had recovered from years of pollution but the rest of the world hadnt found out about it yet. I use to live down by forwell rd and use to take the old bridgeport bus to behind the dollhouse Inflate my canadian tire rubber dingy and float back to my place. The smallie fishing was magic compared to today.
358594,jediangler,2009-07-05 00:35:00,1923,"Used to ride our bikes to Bridgeport from Victoria Hills with the poles strapped to our backs. That would have been in 74 or 75. Wasn't in full recovery mode at that time. We liked riding our bikes all the way to New Dundee and fishing Alder lake, those were the days."
358595,Musky or Specks,2009-07-05 00:40:00,2710,It was great from 77-84. Alder still produces the odd good largemouth for me. The pad beds along the west shore. Use to be an old hockey net in the water in one corner that always held a bass.
358597,timmeh,2009-07-05 00:46:00,609, What happened in 85?
358599,Musky or Specks,2009-07-05 00:52:00,2710,"Word started to get out about the amazing fishing. Fish got edumacated. Fishings was still good but the days of double digit 18"" plus fish were over. I remember because after 84 I stopped coming home from school because the fishing just had tapered off."
358601,timmeh,2009-07-05 00:57:00,609,"Dang, I should have been born a few years earlier.  If I get 1 fish over 18"" I'm happy, and any more are a bonus."
358603,Musky or Specks,2009-07-05 01:08:00,2710,It was magic. I was shown how to catch them when I was 12 in 76 by an older gent that I met on the river. Black and gold floating rapala size 9. It was amazing that a kid who didnt know much could just go out and slay big bass so easily. I'll never forget that old guy. Never saw him again but he hooked me for life on fishing and was kind enough to pass on his wisdom to a snot nosed punk that he met. Its why I will ALWAYS help people out that I meet while fishing. If it wasnt for that old guy I probably woulld have got hooked on something else. Although I might still be married..... second thought I REALLY owe the old guy a lot.
358607,ironstone74,2009-07-05 01:39:00,201,"Funny, I too cut my teeth fishing the Grand by the Dollhouse.  Rod strapped to my bike or jammed in a knapsack and off I went with my buddies.  I started probably in 85 or 86, and I felt the same excitement today heading to the river.  I fished a couple hours today, it's hard to get out by myself with a young family and it was great.  I was throwing floating raps and Mepps Aglias.  I got 2 smallies, 1 pretty small ans the 2nd was decent maybe 14 or 15"".  Too little time to work any more water.  I believe it's called Kolb park in Kitchener off of Victoria St. near the bridge over the Grand before Breslau.  It used to be a gravel pit was rehabbed into a pond for fishing and fowl.  I had the whole gang there in the early afternoon and it was packed, no fish for us.  Paul"
358608,Musky or Specks,2009-07-05 01:45:00,2710,That might be the name The creek that flows from mackenzie king public school down to the grand which enters around the end of forwell rd is called Kolb Creek/drain . Use to catch my some big chub out of it when I was younger and the pond that it dumped into by blue springs use to hold some decent carp.
358645,jediangler,2009-07-05 03:52:00,1923,"Thanks Ironstone74, I know the place, just didn't know they had a name for it. It was always Victoria st. bridge to us. Always had better luck closer to the rail bridge just downstream."
